interventionDuration,isReIntervention,interventionType,resolution,timestamp,app,timezone,timeIntervalUntilReIntervention
1.5,False,breathingExercise,dismissedAppOpening,1753207493.2069259,instagram,Europe/Berlin,
1.5,False,breathingExercise,dismissedAppOpening,1753207846.680561,instagram,Europe/Berlin,
1.5,False,breathingExercise,openedApp,1753222549.971078,instagram,Europe/Berlin,
1.5,False,breathingExercise,openedApp,1753259881.513464,instagram,Europe/Berlin,
1.5,False,breathingExercise,openedApp,1753259899.793233,instagram,Europe/Berlin,
1.5,False,breathingExercise,openedApp,1753260501.762572,instagram,Europe/Berlin,
1.5,False,breathingExercise,openedApp,1753261336.615391,instagram,Europe/Berlin,
1.5,False,breathingExercise,openedApp,1753261380.998303,instagram,Europe/Berlin,
1.5,False,breathingExercise,openedApp,1753261609.6735082,instagram,Europe/Berlin,
1.5,False,breathingExercise,openedApp,1753291746.833996,instagram,Europe/Berlin,
1.5,False,breathingExercise,openedApp,1753299687.8560019,instagram,Europe/Berlin,
1.5,False,breathingExercise,openedApp,1753299727.245981,instagram,Europe/Berlin,
1.5,False,breathingExercise,openedApp,1753310104.509571,instagram,Europe/Berlin,
1.5,False,breathingExercise,openedApp,1753310398.692555,instagram,Europe/Berlin,60.0
1.5,False,breathingExercise,dismissedAppOpening,1753310426.2257318,instagram,Europe/Berlin,
1.5,False,breathingExercise,openedApp,1753310442.617158,instagram,Europe/Berlin,60.0
1.5,False,breathingExercise,dismissedAppOpening,1753310766.4049091,instagram,Europe/Berlin,
1.5,False,breathingExercise,openedApp,1753310780.584004,instagram,Europe/Berlin,60.0
1.5,True,breathingExercise,dismissedAppOpening,1753310867.827117,instagram,Europe/Berlin,
1.5,False,breathingExercise,dismissedAppOpening,1753311498.345191,instagram,Europe/Berlin,
1.5,False,breathingExercise,openedApp,1753311829.026133,instagram,Europe/Berlin,1800.0
1.5,False,breathingExercise,dismissedAppOpening,1753312336.136296,instagram,Europe/Berlin,
1.5,False,breathingExercise,dismissedAppOpening,1753312373.402513,instagram,Europe/Berlin,
1.5,False,breathingExercise,openedApp,1753353468.433692,instagram,Europe/Berlin,1800.0
1.5,False,breathingExercise,dismissedAppOpening,1753353678.584711,instagram,Europe/Berlin,
1.5,False,breathingExercise,dismissedAppOpening,1753354115.806596,instagram,Europe/Berlin,
1.5,False,breathingExercise,openedApp,1753354143.3012838,instagram,Europe/Berlin,60.0
1.5,True,breathingExercise,openedApp,1753354229.430183,instagram,Europe/Berlin,1800.0
1.5,False,breathingExercise,openedApp,1753354739.7305999,instagram,Europe/Berlin,120.0
1.5,False,breathingExercise,dismissedAppOpening,1753356485.492348,instagram,Europe/Berlin,
1.5,False,breathingExercise,openedApp,1753360223.582228,instagram,Europe/Berlin,900.0
1.5,False,breathingExercise,openedApp,1753360644.039291,instagram,Europe/Berlin,480.0
1.5,False,breathingExercise,dismissedAppOpening,1753361387.351097,instagram,Europe/Berlin,
1.5,False,breathingExercise,dismissedAppOpening,1753361426.389464,instagram,Europe/Berlin,
1.5,False,breathingExercise,dismissedAppOpening,1753361454.8367162,instagram,Europe/Berlin,
1.5,False,breathingExercise,dismissedAppOpening,1753361492.959838,instagram,Europe/Berlin,
1.5,False,breathingExercise,dismissedAppOpening,1753362840.423341,instagram,Europe/Berlin,
1.5,False,breathingExercise,openedApp,1753362849.641681,instagram,Europe/Berlin,60.0
1.5,False,breathingExercise,dismissedAppOpening,1753364153.2551599,instagram,Europe/Berlin,
1.5,False,breathingExercise,dismissedAppOpening,1753366819.815535,instagram,Europe/Berlin,
1.5,False,breathingExercise,dismissedAppOpening,1753369393.226918,instagram,Europe/Berlin,
1.5,False,breathingExercise,openedApp,1753369413.290807,instagram,Europe/Berlin,120.0
1.5,False,breathingExercise,openedApp,1753374464.854272,instagram,Europe/Berlin,60.0
1.5,False,breathingExercise,dismissedAppOpening,1753375972.352796,instagram,Europe/Berlin,
1.5,False,breathingExercise,openedApp,1753379453.348096,instagram,Europe/Berlin,360.0
1.5,False,breathingExercise,openedApp,1753384629.332911,instagram,Europe/Berlin,360.0
1.5,False,breathingExercise,dismissedAppOpening,1753384696.260592,instagram,Europe/Berlin,
1.5,False,breathingExercise,dismissedAppOpening,1753384812.6563358,instagram,Europe/Berlin,
1.5,False,breathingExercise,dismissedAppOpening,1753384815.382591,instagram,Europe/Berlin,
1.5,False,breathingExercise,openedApp,1753384825.235604,instagram,Europe/Berlin,1800.0
1.5,False,breathingExercise,openedApp,1753385002.588012,instagram,Europe/Berlin,660.0
1.5,False,breathingExercise,dismissedAppOpening,1753385389.8026428,instagram,Europe/Berlin,
1.5,False,breathingExercise,openedApp,1753385400.0329251,instagram,Europe/Berlin,60.0
1.5,False,breathingExercise,openedApp,1753391298.468727,instagram,Europe/Berlin,1800.0
1.5,False,breathingExercise,openedApp,1753394504.658741,instagram,Europe/Berlin,60.0
1.5,False,breathingExercise,dismissedAppOpening,1753414324.946216,instagram,Europe/Berlin,
1.5,False,breathingExercise,dismissedAppOpening,1753427809.431474,instagram,Europe/Berlin,
1.5,False,breathingExercise,openedApp,1753427912.403242,instagram,Europe/Berlin,
1.5,False,breathingExercise,openedApp,1753428014.695706,instagram,Europe/Berlin,
1.5,False,breathingExercise,openedApp,1753428849.631913,instagram,Europe/Berlin,
1.5,False,breathingExercise,dismissedAppOpening,1753434360.1295671,instagram,Europe/Berlin,
1.5,False,breathingExercise,dismissedAppOpening,1753436893.487046,instagram,Europe/Berlin,
1.5,False,breathingExercise,dismissedAppOpening,1753436911.266179,instagram,Europe/Berlin,
1.5,False,breathingExercise,dismissedAppOpening,1753438224.474097,instagram,Europe/Berlin,
1.5,False,breathingExercise,dismissedAppOpening,1753438229.399077,instagram,Europe/Berlin,
1.5,False,breathingExercise,openedApp,1753445345.312323,instagram,Europe/Berlin,
1.5,False,breathingExercise,openedApp,1753450724.983994,instagram,Europe/Berlin,
1.5,False,breathingExercise,openedApp,1753450826.752407,instagram,Europe/Berlin,
1.5,False,breathingExercise,openedApp,1753450929.76493,instagram,Europe/Berlin,
1.5,False,breathingExercise,dismissedAppOpening,1753451147.3074799,instagram,Europe/Berlin,
1.5,False,breathingExercise,openedApp,1753451216.641471,instagram,Europe/Berlin,
1.5,False,breathingExercise,openedApp,1753452018.548397,instagram,Europe/Berlin,
1.5,False,breathingExercise,dismissedAppOpening,1753457203.55169,instagram,Europe/Berlin,
1.5,False,breathingExercise,openedApp,1753463851.668592,instagram,Europe/Berlin,
1.5,False,breathingExercise,openedApp,1753464091.59494,instagram,Europe/Berlin,
1.5,False,breathingExercise,openedApp,1753465546.07892,instagram,Europe/Berlin,
1.5,False,breathingExercise,openedApp,1753467015.682622,instagram,Europe/Berlin,
1.5,False,breathingExercise,dismissedAppOpening,1753471000.443399,instagram,Europe/Berlin,
1.5,False,breathingExercise,dismissedAppOpening,1753532152.836597,instagram,Europe/Berlin,
1.5,False,breathingExercise,openedApp,1753538505.438813,instagram,Europe/Berlin,
1.5,False,breathingExercise,openedApp,1753548647.400974,instagram,Europe/Berlin,
1.5,False,breathingExercise,openedApp,1753568836.049432,instagram,Europe/Berlin,
1.5,False,breathingExercise,dismissedAppOpening,1753610016.324222,instagram,Europe/Berlin,
1.5,False,breathingExercise,openedApp,1753612128.0951328,instagram,Europe/Berlin,
1.5,False,breathingExercise,dismissedAppOpening,1753613059.008223,instagram,Europe/Berlin,
1.5,False,breathingExercise,dismissedAppOpening,1753613088.339587,instagram,Europe/Berlin,
1.5,False,breathingExercise,openedApp,1753621360.345216,instagram,Europe/Berlin,
1.5,False,breathingExercise,openedApp,1753636892.679947,instagram,Europe/Berlin,
1.5,False,breathingExercise,openedApp,1753637196.879829,instagram,Europe/Berlin,
1.5,False,breathingExercise,openedApp,1753637409.0960212,instagram,Europe/Berlin,
1.5,False,breathingExercise,openedApp,1753637963.271881,instagram,Europe/Berlin,
1.5,False,breathingExercise,openedApp,1753649241.067164,instagram,Europe/Berlin,
1.5,False,breathingExercise,openedApp,1753649546.957899,instagram,Europe/Berlin,
1.5,False,breathingExercise,openedApp,1753649606.331173,instagram,Europe/Berlin,
1.5,False,breathingExercise,openedApp,1753649695.958696,instagram,Europe/Berlin,
1.5,False,breathingExercise,openedApp,1753650013.173151,instagram,Europe/Berlin,
1.5,False,breathingExercise,dismissedAppOpening,1753651014.568027,instagram,Europe/Berlin,
1.5,False,breathingExercise,openedApp,1753651072.582312,instagram,Europe/Berlin,
1.5,False,breathingExercise,openedApp,1753651709.513252,instagram,Europe/Berlin,
1.5,False,breathingExercise,dismissedAppOpening,1753651939.653761,instagram,Europe/Berlin,
1.5,False,breathingExercise,openedApp,1753651947.084106,instagram,Europe/Berlin,
1.5,False,breathingExercise,openedApp,1753652206.06043,instagram,Europe/Berlin,
1.5,False,breathingExercise,dismissedAppOpening,1753652244.418021,instagram,Europe/Berlin,
1.5,False,breathingExercise,openedApp,1753656900.613416,instagram,Europe/Berlin,
1.5,False,breathingExercise,dismissedAppOpening,1753656978.061959,instagram,Europe/Berlin,
1.5,False,breathingExercise,openedApp,1753656984.725964,instagram,Europe/Berlin,
1.5,False,breathingExercise,dismissedAppOpening,1753656998.8122,instagram,Europe/Berlin,
1.5,False,breathingExercise,openedApp,1753695233.190351,instagram,Europe/Berlin,
1.5,False,breathingExercise,dismissedAppOpening,1753697772.170395,instagram,Europe/Berlin,
1.5,False,breathingExercise,openedApp,1753698054.608881,instagram,Europe/Berlin,
1.5,False,breathingExercise,openedApp,1753699521.243631,instagram,Europe/Berlin,
1.5,False,breathingExercise,openedApp,1753699991.818584,instagram,Europe/Berlin,
1.5,False,breathingExercise,openedApp,1753700443.8590078,instagram,Europe/Berlin,
1.5,False,breathingExercise,dismissedAppOpening,1753723693.17873,instagram,Europe/Berlin,
