app,timezone,resolution,timestamp,interventionType,isReIntervention,purpose,interventionDuration
instagram,Europe/Berlin,openedApp,1749251969.620359,breathingExercise,False,Langeweile,1.5
instagram,Europe/Berlin,dismissedAppOpening,1749252149.405027,breathingExercise,False,,1.5
whastapp,Europe/Berlin,openedApp,1749253465.13806,breathingExercise,False,Nachricht / Schreiben,1.5
whastapp,Europe/Berlin,dismissedAppOpening,1749285222.592129,breathingExercise,False,,1.5
whastapp,Europe/Berlin,openedApp,1749285391.069602,breathingExercise,False,Nachricht / Schreiben,1.5
instagram,Europe/Berlin,openedApp,1749285879.850457,breathingExercise,False,Nachricht / Schreiben,1.5
instagram,Europe/Berlin,dismissedAppOpening,1749285909.3656511,breathingExercise,False,,1.5
instagram,Europe/Berlin,openedApp,1749286192.584416,breathingExercise,False,Ablenkung,1.5
whastapp,Europe/Berlin,openedApp,1749287732.7921329,breathingExercise,False,Nachricht / Schreiben,1.5
instagram,Europe/Berlin,openedApp,1749288892.046757,breathingExercise,False,Unterhaltung,1.5
instagram,Europe/Berlin,openedApp,1749292286.2667131,breathingExercise,False,Nachricht / Schreiben,1.5
instagram,Europe/Berlin,dismissedAppOpening,1749292861.2716079,breathingExercise,False,,1.5
instagram,Europe/Berlin,dismissedAppOpening,1749292992.616044,breathingExercise,False,,1.5
whastapp,Europe/Berlin,dismissedAppOpening,1749293086.3325272,breathingExercise,False,,1.5
whastapp,Europe/Berlin,openedApp,1749293094.115324,breathingExercise,False,Nachricht / Schreiben,1.5
whastapp,Europe/Berlin,dismissedAppOpening,1749293224.033565,breathingExercise,False,,1.5
instagram,Europe/Berlin,dismissedAppOpening,1749293692.342206,breathingExercise,False,,1.5
instagram,Europe/Berlin,openedApp,1749294545.518306,breathingExercise,False,Nachricht / Schreiben,1.5
instagram,Europe/Berlin,openedApp,1749296639.892901,breathingExercise,False,Nachricht / Schreiben,1.5
instagram,Europe/Berlin,dismissedAppOpening,1749296695.5930939,breathingExercise,False,,1.5
instagram,Europe/Berlin,openedApp,1749296903.0063028,breathingExercise,False,Unterhaltung,1.5
instagram,Europe/Berlin,dismissedAppOpening,1749299582.615741,breathingExercise,False,,1.5
instagram,Europe/Berlin,dismissedAppOpening,1749300695.770319,breathingExercise,False,,1.5
instagram,Europe/Berlin,dismissedAppOpening,1749300802.9405708,breathingExercise,False,,1.5
instagram,Europe/Berlin,openedApp,1749301030.341497,breathingExercise,False,Ablenkung,1.5
instagram,Europe/Berlin,openedApp,1749311503.604926,breathingExercise,False,Nachricht / Schreiben,1.5
instagram,Europe/Berlin,openedApp,1749314960.798349,breathingExercise,False,Unterhaltung,1.5
instagram,Europe/Berlin,openedApp,1749315112.909768,breathingExercise,False,Unterhaltung,1.5
instagram,Europe/Berlin,dismissedAppOpening,1749321720.907799,breathingExercise,False,,1.5
instagram,Europe/Berlin,openedApp,1749322820.917441,breathingExercise,False,Nachricht / Schreiben,1.5
instagram,Europe/Berlin,openedApp,1749324413.2722058,breathingExercise,False,Nachricht / Schreiben,1.5
instagram,Europe/Berlin,dismissedAppOpening,1749325702.138214,breathingExercise,False,,1.5
instagram,Europe/Berlin,openedApp,1749325797.6191092,breathingExercise,False,Unterhaltung,1.5
instagram,Europe/Berlin,openedApp,1749330142.671205,breathingExercise,False,Unterhaltung,1.5
instagram,Europe/Berlin,dismissedAppOpening,1749345023.911399,breathingExercise,False,,1.5
instagram,Europe/Berlin,openedApp,1749345030.642115,breathingExercise,False,Unterhaltung,1.5
instagram,Europe/Berlin,openedApp,1749345151.605391,breathingExercise,False,Unterhaltung,1.5
instagram,Europe/Berlin,openedApp,1749345238.063139,breathingExercise,False,Unterhaltung,1.5
instagram,Europe/Berlin,openedApp,1749345276.0216,breathingExercise,False,Unterhaltung,1.5
instagram,Europe/Berlin,openedApp,1749345318.47758,breathingExercise,False,Unterhaltung,1.5
instagram,Europe/Berlin,dismissedAppOpening,1749345376.832481,breathingExercise,False,,1.5
instagram,Europe/Berlin,dismissedAppOpening,1749345378.7613258,breathingExercise,False,,1.5
instagram,Europe/Berlin,openedApp,1749345396.961509,breathingExercise,False,Unterhaltung,1.5
instagram,Europe/Berlin,openedApp,1749347232.366457,breathingExercise,False,Unterhaltung,1.5
instagram,Europe/Berlin,dismissedAppOpening,1749347456.907765,breathingExercise,False,,1.5
instagram,Europe/Berlin,openedApp,1749347481.1387892,breathingExercise,False,Ablenkung,1.5
instagram,Europe/Berlin,openedApp,1749347567.302762,breathingExercise,False,Unterhaltung,1.5
instagram,Europe/Berlin,dismissedAppOpening,1749348931.66276,breathingExercise,False,,1.5
instagram,Europe/Berlin,openedApp,1749348941.1226568,breathingExercise,False,Klo,1.5
instagram,Europe/Berlin,dismissedAppOpening,1749383073.524043,breathingExercise,False,,1.5
instagram,Europe/Berlin,dismissedAppOpening,1749383821.455487,breathingExercise,False,,1.5
instagram,Europe/Berlin,openedApp,1749383886.148913,breathingExercise,False,Unterhaltung,1.5
instagram,Europe/Berlin,dismissedAppOpening,1749384241.384671,breathingExercise,False,,1.5
instagram,Europe/Berlin,openedApp,1749384368.349938,breathingExercise,False,Unterhaltung,1.5
instagram,Europe/Berlin,dismissedAppOpening,1749385062.912741,breathingExercise,False,,1.5
instagram,Europe/Berlin,openedApp,1749385068.414764,breathingExercise,False,Unterhaltung,1.5
instagram,Europe/Berlin,openedApp,1749385699.0850592,breathingExercise,False,Unterhaltung,1.5
instagram,Europe/Berlin,openedApp,1749386372.927347,breathingExercise,False,Unterhaltung,1.5
instagram,Europe/Berlin,dismissedAppOpening,1749388122.122164,breathingExercise,False,,1.5
instagram,Europe/Berlin,openedApp,1749393709.683895,breathingExercise,False,Unterhaltung,1.5
instagram,Europe/Berlin,openedApp,1749394254.580954,breathingExercise,False,Unterhaltung,1.5
instagram,Europe/Berlin,openedApp,1749396309.842936,breathingExercise,False,Unterhaltung,1.5
instagram,Europe/Berlin,openedApp,1749403470.079434,breathingExercise,False,Nachricht / Schreiben,1.5
instagram,Europe/Berlin,openedApp,1749407144.1903,breathingExercise,False,Unterhaltung,1.5
instagram,Europe/Berlin,dismissedAppOpening,1749407545.9192061,breathingExercise,False,,1.5
instagram,Europe/Berlin,dismissedAppOpening,1749411919.697511,breathingExercise,False,,1.5
instagram,Europe/Berlin,openedApp,1749413060.335016,breathingExercise,False,Unterhaltung,1.5
instagram,Europe/Berlin,dismissedAppOpening,1749413482.115065,breathingExercise,False,,1.5
