isReIntervention,resolution,interventionType,app,interventionDuration,timezone,timestamp
False,openedApp,breathingExercise,instagram,1.5,Europe/London,1752494742.980227
False,openedApp,breathingExercise,instagram,1.5,Europe/London,1752501349.81188
False,openedApp,breathingExercise,instagram,1.5,Europe/London,1752535403.735495
False,openedApp,breathingExercise,instagram,1.5,Europe/London,1752538752.811164
False,openedApp,breathingExercise,instagram,1.5,Europe/London,1752539082.340419
False,openedApp,breathingExercise,instagram,1.5,Europe/London,1752579067.605607
False,openedApp,breathingExercise,instagram,1.5,Europe/London,1752579986.767473
False,dismissedAppOpening,breathingExercise,instagram,1.5,Europe/London,1752580903.152905
False,openedApp,breathingExercise,instagram,1.5,Europe/London,1752581166.681655
False,openedApp,breathingExercise,instagram,1.5,Europe/London,1752584485.7440782
False,openedApp,breathingExercise,instagram,1.5,Europe/London,1752584757.942298
False,openedApp,breathingExercise,instagram,1.5,Europe/London,1752586255.2073588
False,openedApp,breathingExercise,instagram,1.5,Europe/London,1752603370.8416271
False,openedApp,breathingExercise,instagram,1.5,Europe/London,1752603393.1087399
False,openedApp,breathingExercise,instagram,1.5,Europe/London,1752612105.5121799
False,dismissedAppOpening,breathingExercise,instagram,1.5,Europe/London,1752612654.064955
False,openedApp,breathingExercise,instagram,1.5,Europe/London,1752612662.384729
False,dismissedAppOpening,breathingExercise,instagram,1.5,Europe/London,1752614299.107113
False,openedApp,breathingExercise,instagram,1.5,Europe/London,1752614310.133737
False,openedApp,breathingExercise,instagram,1.5,Europe/London,1752615021.087992
False,openedApp,breathingExercise,instagram,1.5,Europe/London,1752617303.278185
False,openedApp,breathingExercise,instagram,1.5,Europe/London,1752617793.706256
False,openedApp,breathingExercise,instagram,1.5,Europe/London,1752618141.268482
False,openedApp,breathingExercise,instagram,1.5,Europe/London,1752618221.62609
False,openedApp,breathingExercise,instagram,1.5,Europe/London,1752619835.684109
False,dismissedAppOpening,breathingExercise,instagram,1.5,Europe/London,1752622772.402184
False,openedApp,breathingExercise,instagram,1.5,Europe/London,1752625562.842925
False,openedApp,breathingExercise,instagram,1.5,Europe/London,1752626801.914923
False,openedApp,breathingExercise,instagram,1.5,Europe/London,1752659906.3025088
False,openedApp,breathingExercise,instagram,1.5,Europe/London,1752678909.570915
False,openedApp,breathingExercise,instagram,1.5,Europe/London,1752679354.23142
False,openedApp,breathingExercise,instagram,1.5,Europe/London,1752679858.759838
False,openedApp,breathingExercise,instagram,1.5,Europe/London,1752680140.3112779
False,openedApp,breathingExercise,instagram,1.5,Europe/London,1752680471.554751
False,openedApp,breathingExercise,instagram,1.5,Europe/London,1752692067.150721
False,openedApp,breathingExercise,instagram,1.5,Europe/London,1752695616.5544682
False,openedApp,breathingExercise,instagram,1.5,Europe/London,1752697484.967468
False,openedApp,breathingExercise,instagram,1.5,Europe/London,1752697799.697921
False,openedApp,breathingExercise,instagram,1.5,Europe/London,1752705119.492271
False,openedApp,breathingExercise,instagram,1.5,Europe/London,1752708108.8303862
False,openedApp,breathingExercise,instagram,1.5,Europe/London,1752711781.45477
False,openedApp,breathingExercise,instagram,1.5,Europe/London,1752751400.6198812
False,dismissedAppOpening,breathingExercise,instagram,1.5,Europe/London,1752751609.648357
False,openedApp,breathingExercise,instagram,1.5,Europe/London,1752751945.86957
False,openedApp,breathingExercise,instagram,1.5,Europe/London,1752752115.705167
False,openedApp,breathingExercise,instagram,1.5,Europe/London,1752752939.80162
False,openedApp,breathingExercise,instagram,1.5,Europe/London,1752783624.0733519
False,openedApp,breathingExercise,instagram,1.5,Europe/London,1752796196.911014
False,openedApp,breathingExercise,instagram,1.5,Europe/London,1752800772.930613
False,openedApp,breathingExercise,instagram,1.5,Europe/London,1752834570.7871032
False,openedApp,breathingExercise,instagram,1.5,Europe/London,1752863851.7687201
False,openedApp,breathingExercise,instagram,1.5,Europe/London,1752866640.002811
False,openedApp,breathingExercise,instagram,1.5,Europe/London,1752934332.4148688
False,openedApp,breathingExercise,instagram,1.5,Europe/London,1752934880.450793
False,openedApp,breathingExercise,instagram,1.5,Europe/London,1752937389.525611
False,openedApp,breathingExercise,instagram,1.5,Europe/London,1752945894.7485762
False,openedApp,breathingExercise,instagram,1.5,Europe/London,1752951456.32885
False,openedApp,breathingExercise,instagram,1.5,Europe/London,1752953480.592387
False,openedApp,breathingExercise,instagram,1.5,Europe/London,1753003771.411345
False,openedApp,breathingExercise,instagram,1.5,Europe/London,1753017047.8740969
False,dismissedAppOpening,breathingExercise,instagram,1.5,Europe/London,1753018047.983686
False,openedApp,breathingExercise,instagram,1.5,Europe/London,1753051769.743455
False,openedApp,breathingExercise,instagram,1.5,Europe/London,1753053097.9907432
False,openedApp,breathingExercise,instagram,1.5,Europe/London,1753090859.3073812
False,openedApp,breathingExercise,instagram,1.5,Europe/London,1753091856.184726
False,dismissedAppOpening,breathingExercise,instagram,1.5,Europe/London,1753092195.399088
False,openedApp,breathingExercise,instagram,1.5,Europe/London,1753097129.553063
False,dismissedAppOpening,breathingExercise,instagram,1.5,Europe/London,1753097275.678122
False,openedApp,breathingExercise,instagram,1.5,Europe/London,1753105535.475352
False,openedApp,breathingExercise,instagram,1.5,Europe/London,1753120600.988325
False,openedApp,breathingExercise,instagram,1.5,Europe/London,1753122477.667083
False,openedApp,breathingExercise,instagram,1.5,Europe/London,1753122621.403026
False,openedApp,breathingExercise,instagram,1.5,Europe/London,1753124219.8874512
False,openedApp,breathingExercise,instagram,1.5,Europe/London,1753127375.627114
False,openedApp,breathingExercise,instagram,1.5,Europe/London,1753128320.7810612
False,openedApp,breathingExercise,instagram,1.5,Europe/London,1753128509.041644
False,openedApp,breathingExercise,instagram,1.5,Europe/London,1753128719.98963
False,openedApp,breathingExercise,instagram,1.5,Europe/London,1753128824.5935159
False,openedApp,breathingExercise,instagram,1.5,Europe/London,1753128910.0283542
False,openedApp,breathingExercise,instagram,1.5,Europe/London,1753128994.741606
False,dismissedAppOpening,breathingExercise,instagram,1.5,Europe/London,1753129021.067241
False,openedApp,breathingExercise,instagram,1.5,Europe/London,1753129070.652022
False,openedApp,breathingExercise,instagram,1.5,Europe/London,1753131918.449667
False,openedApp,breathingExercise,instagram,1.5,Europe/London,1753131937.738707
False,openedApp,breathingExercise,instagram,1.5,Europe/London,1753177606.09144
False,dismissedAppOpening,breathingExercise,instagram,1.5,Europe/London,1753178460.6035929
False,openedApp,breathingExercise,instagram,1.5,Europe/London,1753178470.170329
False,openedApp,breathingExercise,instagram,1.5,Europe/London,1753265121.554579
False,openedApp,breathingExercise,instagram,1.5,Europe/London,1753265736.260839
False,openedApp,breathingExercise,instagram,1.5,Europe/London,1753270115.771225
False,openedApp,breathingExercise,instagram,1.5,Europe/London,1753270976.107565
False,openedApp,breathingExercise,instagram,1.5,Europe/London,1753281389.092165
False,openedApp,breathingExercise,instagram,1.5,Europe/London,1753284684.526794
False,openedApp,breathingExercise,instagram,1.5,Europe/London,1753285403.114933
False,openedApp,breathingExercise,instagram,1.5,Europe/London,1753298363.695394
False,openedApp,breathingExercise,instagram,1.5,Europe/London,1753301253.5322971
False,openedApp,breathingExercise,instagram,1.5,Europe/London,1753301283.8730888
False,dismissedAppOpening,breathingExercise,instagram,1.5,Europe/London,1753315230.0847368
False,openedApp,breathingExercise,instagram,1.5,Europe/London,1753361475.0125299
False,openedApp,breathingExercise,instagram,1.5,Europe/London,1753368769.450063
False,openedApp,breathingExercise,instagram,1.5,Europe/London,1753368905.6334472
False,openedApp,breathingExercise,instagram,1.5,Europe/London,1753368998.902976
False,openedApp,breathingExercise,instagram,1.5,Europe/London,1753369074.5215878
False,dismissedAppOpening,breathingExercise,instagram,1.5,Europe/London,1753371582.0468369
False,openedApp,breathingExercise,instagram,1.5,Europe/London,1753371590.444718
False,openedApp,breathingExercise,instagram,1.5,Europe/London,1753372842.904593
False,openedApp,breathingExercise,instagram,1.5,Europe/London,1753373231.780025
False,openedApp,breathingExercise,instagram,1.5,Europe/London,1753380968.108865
False,openedApp,breathingExercise,instagram,1.5,Europe/London,1753381107.782246
False,openedApp,breathingExercise,instagram,1.5,Europe/London,1753381436.167656
False,openedApp,breathingExercise,instagram,1.5,Europe/London,1753381995.8948898
False,openedApp,breathingExercise,instagram,1.5,Europe/London,1753382921.7235
False,openedApp,breathingExercise,instagram,1.5,Europe/London,1753384925.9205508
False,openedApp,breathingExercise,instagram,1.5,Europe/London,1753389340.0663218
False,openedApp,breathingExercise,instagram,1.5,Europe/London,1753392676.444376
False,openedApp,breathingExercise,instagram,1.5,Europe/London,1753392959.810773
