app,interventionDuration,isReIntervention,resolution,timezone,interventionType,timestamp
instagram,1.5,False,openedApp,America/Los_Angeles,breathingExercise,1748637887.7403831
instagram,1.5,False,openedApp,America/Los_Angeles,breathingExercise,1748651312.708809
instagram,1.5,False,openedApp,America/Los_Angeles,breathingExercise,1748655937.73597
instagram,1.5,False,dismissedAppOpening,America/Los_Angeles,breathingExercise,1748656138.8524241
instagram,1.5,False,openedApp,America/Los_Angeles,breathingExercise,1748656151.3492188
instagram,1.5,False,openedApp,America/Los_Angeles,breathingExercise,1748656224.868091
instagram,1.5,False,openedApp,America/Los_Angeles,breathingExercise,1748657053.9911408
instagram,1.5,False,openedApp,America/Los_Angeles,breathingExercise,1748657074.409858
instagram,1.5,False,openedApp,America/Los_Angeles,breathingExercise,1748657122.215077
instagram,1.5,False,openedApp,America/Los_Angeles,breathingExercise,1748657475.010353
instagram,1.5,False,dismissedAppOpening,America/Los_Angeles,breathingExercise,1748665457.783018
instagram,1.5,False,openedApp,America/Los_Angeles,breathingExercise,1748665474.385745
instagram,1.5,False,openedApp,America/Los_Angeles,breathingExercise,1748665540.971595
instagram,1.5,False,openedApp,America/Los_Angeles,breathingExercise,1748665664.6436238
instagram,1.5,False,dismissedAppOpening,America/Los_Angeles,breathingExercise,1748665677.867662
instagram,1.5,False,dismissedAppOpening,America/Los_Angeles,breathingExercise,1748665684.613462
instagram,1.5,False,openedApp,America/Los_Angeles,breathingExercise,1748665697.111505
instagram,1.5,False,openedApp,America/Los_Angeles,breathingExercise,1748667568.658129
instagram,1.5,False,openedApp,America/Los_Angeles,breathingExercise,1748668254.1587281
instagram,1.5,False,openedApp,America/Los_Angeles,breathingExercise,1748669230.342938
instagram,1.5,False,openedApp,America/Los_Angeles,breathingExercise,1748669463.433508
instagram,1.5,False,openedApp,America/Los_Angeles,breathingExercise,1748669516.152139
instagram,1.5,False,openedApp,America/Los_Angeles,breathingExercise,1748670218.64394
instagram,1.5,False,openedApp,America/Los_Angeles,breathingExercise,1748707346.756266
instagram,1.5,False,dismissedAppOpening,America/Los_Angeles,breathingExercise,1748707400.4915261
instagram,1.5,False,dismissedAppOpening,America/Los_Angeles,breathingExercise,1748707409.417867
instagram,1.5,False,openedApp,America/Los_Angeles,breathingExercise,1748707419.626264
instagram,1.5,False,openedApp,America/Los_Angeles,breathingExercise,1748707747.48248
instagram,1.5,False,openedApp,America/Los_Angeles,breathingExercise,1748707787.8678951
instagram,1.5,False,openedApp,America/Los_Angeles,breathingExercise,1748712079.087465
instagram,1.5,False,openedApp,America/Los_Angeles,breathingExercise,1748712431.05576
instagram,1.5,False,openedApp,America/Los_Angeles,breathingExercise,1748712570.925633
instagram,1.5,False,openedApp,America/Los_Angeles,breathingExercise,1748712684.583292
instagram,1.5,False,openedApp,America/Los_Angeles,breathingExercise,1748723731.818204
instagram,1.5,False,openedApp,America/Los_Angeles,breathingExercise,1748727154.9114661
instagram,1.5,False,openedApp,America/Los_Angeles,breathingExercise,1748755710.162702
instagram,1.5,False,openedApp,America/Los_Angeles,breathingExercise,1748758604.2777739
instagram,1.5,False,openedApp,America/Los_Angeles,breathingExercise,1748758665.746797
instagram,1.5,False,openedApp,America/Los_Angeles,breathingExercise,1748758761.983885
instagram,1.5,False,openedApp,America/Los_Angeles,breathingExercise,1748758870.556346
instagram,1.5,False,openedApp,America/Los_Angeles,breathingExercise,1748759077.116997
instagram,1.5,False,openedApp,America/Los_Angeles,breathingExercise,1748759276.676631
instagram,1.5,False,openedApp,America/Los_Angeles,breathingExercise,1748759747.011971
instagram,1.5,False,dismissedAppOpening,America/Los_Angeles,breathingExercise,1748760009.964232
instagram,1.5,False,openedApp,America/Los_Angeles,breathingExercise,1748760044.161947
instagram,1.5,False,openedApp,America/Los_Angeles,breathingExercise,1748760670.949531
instagram,1.5,False,openedApp,America/Los_Angeles,breathingExercise,1748761476.208261
instagram,1.5,False,openedApp,America/Los_Angeles,breathingExercise,1748761650.9351702
instagram,1.5,False,dismissedAppOpening,America/Los_Angeles,breathingExercise,1748764590.613334
instagram,1.5,False,openedApp,America/Los_Angeles,breathingExercise,1748765768.597731
instagram,1.5,False,openedApp,America/Los_Angeles,breathingExercise,1748795855.392962
instagram,1.5,False,openedApp,America/Los_Angeles,breathingExercise,1748796331.700428
instagram,1.5,False,dismissedAppOpening,America/Los_Angeles,breathingExercise,1748798331.404396
instagram,1.5,False,dismissedAppOpening,America/Los_Angeles,breathingExercise,1748799518.5006762
instagram,1.5,False,openedApp,America/Los_Angeles,breathingExercise,1748799585.11732
