timezone,interventionDuration,timestamp,app,resolution,interventionType,isReIntervention
Europe/London,1.5,1751966144.144884,instagram,dismissedAppOpening,breathingExercise,False
Europe/London,1.5,1751966157.288863,instagram,dismissedAppOpening,breathingExercise,False
Europe/London,1.5,1751966284.719973,instagram,dismissedAppOpening,breathingExercise,False
Europe/London,1.5,1751966656.589223,instagram,dismissedAppOpening,breathingExercise,False
Europe/London,1.5,1751966707.172888,instagram,dismissedAppOpening,breathingExercise,False
Europe/London,1.5,1751966897.9477758,instagram,dismissedAppOpening,breathingExercise,False
Europe/London,1.5,1751966906.842033,instagram,dismissedAppOpening,breathingExercise,False
Europe/London,1.5,1751966972.605336,instagram,dismissedAppOpening,breathingExercise,False
Europe/London,1.5,1751967029.623913,instagram,dismissedAppOpening,breathingExercise,False
Europe/London,1.5,1751967649.403741,instagram,openedApp,breathingExercise,False
Europe/London,1.5,1751968197.271667,instagram,dismissedAppOpening,breathingExercise,False
Europe/London,1.5,1751968313.0279732,instagram,dismissedAppOpening,breathingExercise,False
Europe/London,1.5,1751968505.650385,instagram,dismissedAppOpening,breathingExercise,False
Europe/London,1.5,1751968608.1155329,instagram,dismissedAppOpening,breathingExercise,False
Europe/London,1.5,1751968626.6165972,instagram,dismissedAppOpening,breathingExercise,False
Europe/London,1.5,1751969705.0834432,instagram,dismissedAppOpening,breathingExercise,False
Europe/London,1.5,1751969712.755128,instagram,dismissedAppOpening,breathingExercise,False
Europe/London,1.5,1751969715.154768,instagram,dismissedAppOpening,breathingExercise,False
Europe/London,1.5,1751970175.523086,instagram,dismissedAppOpening,breathingExercise,False
Europe/London,1.5,1751970319.728138,instagram,dismissedAppOpening,breathingExercise,False
Europe/London,1.5,1751972206.720848,instagram,openedApp,breathingExercise,False
Europe/London,1.5,1751972441.578274,instagram,openedApp,breathingExercise,False
Europe/London,1.5,1751972571.3133678,instagram,dismissedAppOpening,breathingExercise,False
Europe/London,1.5,1751972755.865582,instagram,dismissedAppOpening,breathingExercise,False
Europe/London,1.5,1751975084.104515,instagram,openedApp,breathingExercise,False
Europe/London,1.5,1751977399.580813,instagram,dismissedAppOpening,breathingExercise,False
Europe/London,1.5,1751978128.10994,instagram,dismissedAppOpening,breathingExercise,False
Europe/London,1.5,1751978446.306962,instagram,dismissedAppOpening,breathingExercise,False
Europe/London,1.5,1751978517.286336,instagram,openedApp,breathingExercise,False
Europe/London,1.5,1751978579.501567,instagram,openedApp,breathingExercise,False
Europe/London,1.5,1751978692.5569348,instagram,openedApp,breathingExercise,False
Europe/London,1.5,1751978892.542079,instagram,dismissedAppOpening,breathingExercise,False
Europe/London,1.5,1751979163.720052,instagram,openedApp,breathingExercise,False
Europe/London,1.5,1751979303.9475532,instagram,openedApp,breathingExercise,False
Europe/London,1.5,1751979356.241425,instagram,openedApp,breathingExercise,False
Europe/London,1.5,1751979522.56876,instagram,openedApp,breathingExercise,False
Europe/London,1.5,1751979821.8305368,instagram,dismissedAppOpening,breathingExercise,False
Europe/London,1.5,1751979867.989676,instagram,openedApp,breathingExercise,False
Europe/London,1.5,1751981166.520189,instagram,openedApp,breathingExercise,False
Europe/London,1.5,1751982123.245909,instagram,dismissedAppOpening,breathingExercise,False
Europe/London,1.5,1751983012.1440458,instagram,openedApp,breathingExercise,False
Europe/London,1.5,1751983678.9668431,instagram,dismissedAppOpening,breathingExercise,False
Europe/London,1.5,1751984173.05143,instagram,dismissedAppOpening,breathingExercise,False
Europe/London,1.5,1751987403.515212,instagram,openedApp,breathingExercise,False
Europe/London,1.5,1751987669.261214,instagram,openedApp,breathingExercise,False
Europe/London,1.5,1751988041.445822,instagram,openedApp,breathingExercise,False
Europe/London,1.5,1751990734.820812,instagram,dismissedAppOpening,breathingExercise,False
Europe/London,1.5,1751990870.816298,instagram,openedApp,breathingExercise,False
Europe/London,1.5,1751991272.120682,instagram,openedApp,breathingExercise,False
Europe/London,1.5,1751991295.220865,instagram,openedApp,breathingExercise,False
Europe/London,1.5,1751991453.804265,instagram,openedApp,breathingExercise,False
Europe/London,1.5,1751991632.39915,instagram,openedApp,breathingExercise,False
Europe/London,1.5,1751992180.545218,instagram,dismissedAppOpening,breathingExercise,False
Europe/London,1.5,1751993027.1388369,instagram,openedApp,breathingExercise,False
Europe/London,1.5,1751993952.4468021,instagram,openedApp,breathingExercise,False
Europe/London,1.5,1751994026.348932,instagram,dismissedAppOpening,breathingExercise,False
Europe/London,1.5,1751994680.396904,instagram,openedApp,breathingExercise,False
Europe/London,1.5,1751998878.421431,instagram,openedApp,breathingExercise,False
Europe/London,1.5,1751999036.1196141,instagram,dismissedAppOpening,breathingExercise,False
Europe/London,1.5,1751999047.273421,instagram,openedApp,breathingExercise,False
Europe/London,1.5,1751999333.3888001,instagram,dismissedAppOpening,breathingExercise,False
Europe/London,1.5,1751999452.5041041,instagram,openedApp,breathingExercise,False
Europe/London,1.5,1752000405.943946,instagram,dismissedAppOpening,breathingExercise,False
Europe/London,1.5,1752001493.850152,instagram,openedApp,breathingExercise,False
Europe/London,1.5,1752001782.154491,instagram,openedApp,breathingExercise,False
Europe/London,1.5,1752002295.267133,instagram,dismissedAppOpening,breathingExercise,False
Europe/London,1.5,1752004188.106039,instagram,openedApp,breathingExercise,False
Europe/London,1.5,1752004776.829031,instagram,openedApp,breathingExercise,False
Europe/London,1.5,1752005294.725698,instagram,dismissedAppOpening,breathingExercise,False
Europe/London,1.5,1752012019.067529,instagram,dismissedAppOpening,breathingExercise,False
Europe/London,1.5,1752050314.9510121,instagram,openedApp,breathingExercise,False
Europe/London,1.5,1752051638.825541,instagram,dismissedAppOpening,breathingExercise,False
Europe/London,1.5,1752059647.936976,instagram,dismissedAppOpening,breathingExercise,False
Europe/London,1.5,1752060220.840339,instagram,openedApp,breathingExercise,False
Europe/London,1.5,1752062999.003028,instagram,dismissedAppOpening,breathingExercise,False
Europe/London,1.5,1752064471.402409,instagram,openedApp,breathingExercise,False
Europe/London,1.5,1752066911.93048,instagram,openedApp,breathingExercise,False
Europe/London,1.5,1752069081.502718,instagram,openedApp,breathingExercise,False
Europe/London,1.5,1752069885.040022,instagram,openedApp,breathingExercise,False
Europe/London,1.5,1752070188.977449,instagram,openedApp,breathingExercise,False
Europe/London,1.5,1752072567.0377069,instagram,openedApp,breathingExercise,False
Europe/London,1.5,1752072613.99822,instagram,openedApp,breathingExercise,False
Europe/London,1.5,1752073934.792279,instagram,openedApp,breathingExercise,False
Europe/London,1.5,1752074238.78967,instagram,dismissedAppOpening,breathingExercise,False
Europe/London,1.5,1752074278.187047,instagram,dismissedAppOpening,breathingExercise,False
Europe/London,1.5,1752076365.309607,instagram,openedApp,breathingExercise,False
Europe/London,1.5,1752077171.081942,instagram,openedApp,breathingExercise,False
Europe/London,1.5,1752077646.906878,instagram,openedApp,breathingExercise,False
Europe/London,1.5,1752077786.449185,instagram,dismissedAppOpening,breathingExercise,False
Europe/London,1.5,1752077832.323605,instagram,openedApp,breathingExercise,False
Europe/London,1.5,1752078213.633841,instagram,dismissedAppOpening,breathingExercise,False
Europe/London,1.5,1752078298.3113441,instagram,openedApp,breathingExercise,False
Europe/London,1.5,1752078468.1715798,instagram,openedApp,breathingExercise,False
Europe/London,1.5,1752079094.977355,instagram,openedApp,breathingExercise,False
Europe/London,1.5,1752081143.9238849,instagram,openedApp,breathingExercise,False
Europe/London,1.5,1752084926.998023,instagram,openedApp,breathingExercise,False
Europe/London,1.5,1752085038.610004,instagram,openedApp,breathingExercise,False
Europe/London,1.5,1752085108.0466661,instagram,openedApp,breathingExercise,False
Europe/London,1.5,1752085429.903491,instagram,dismissedAppOpening,breathingExercise,False
Europe/London,1.5,1752085918.631709,instagram,openedApp,breathingExercise,False
Europe/London,1.5,1752086293.426402,instagram,openedApp,breathingExercise,False
Europe/London,1.5,1752086402.9629989,instagram,dismissedAppOpening,breathingExercise,False
Europe/London,1.5,1752086558.623876,instagram,openedApp,breathingExercise,False
Europe/London,1.5,1752086595.540728,instagram,openedApp,breathingExercise,False
Europe/London,1.5,1752088136.777018,instagram,openedApp,breathingExercise,False
Europe/London,1.5,1752088770.538444,instagram,openedApp,breathingExercise,False
Europe/London,1.5,1752089960.4289289,instagram,dismissedAppOpening,breathingExercise,False
Europe/London,1.5,1752090218.5076141,instagram,openedApp,breathingExercise,False
Europe/London,1.5,1752094041.405175,instagram,dismissedAppOpening,breathingExercise,False
Europe/London,1.5,1752131908.149634,instagram,openedApp,breathingExercise,False
Europe/London,1.5,1752132697.189269,instagram,openedApp,breathingExercise,False
Europe/London,1.5,1752133030.602241,instagram,openedApp,breathingExercise,False
Europe/London,1.5,1752133983.18006,instagram,openedApp,breathingExercise,False
Europe/London,1.5,1752134613.699586,instagram,dismissedAppOpening,breathingExercise,False
Europe/London,1.5,1752135719.082316,instagram,openedApp,breathingExercise,False
Europe/London,1.5,1752136096.5377731,instagram,openedApp,breathingExercise,False
Europe/London,1.5,1752140979.250852,instagram,openedApp,breathingExercise,False
Europe/London,1.5,1752141060.6135201,instagram,dismissedAppOpening,breathingExercise,False
Europe/London,1.5,1752141856.272197,instagram,openedApp,breathingExercise,False
Europe/London,1.5,1752143690.887745,instagram,dismissedAppOpening,breathingExercise,False
Europe/London,1.5,1752143898.578932,instagram,openedApp,breathingExercise,False
Europe/London,1.5,1752144369.355665,instagram,openedApp,breathingExercise,False
Europe/London,1.5,1752145172.252009,instagram,openedApp,breathingExercise,False
Europe/London,1.5,1752146237.301713,instagram,openedApp,breathingExercise,False
Europe/London,1.5,1752146453.073091,instagram,dismissedAppOpening,breathingExercise,False
Europe/London,1.5,1752146495.0712938,instagram,dismissedAppOpening,breathingExercise,False
Europe/London,1.5,1752146740.6940908,instagram,openedApp,breathingExercise,False
Europe/London,1.5,1752146822.6893148,instagram,dismissedAppOpening,breathingExercise,False
Europe/London,1.5,1752147373.482645,instagram,dismissedAppOpening,breathingExercise,False
Europe/London,1.5,1752147647.3952122,instagram,dismissedAppOpening,breathingExercise,False
Europe/London,1.5,1752151286.231477,instagram,dismissedAppOpening,breathingExercise,False
Europe/London,1.5,1752151298.089302,instagram,openedApp,breathingExercise,False
Europe/London,1.5,1752153125.550963,instagram,dismissedAppOpening,breathingExercise,False
Europe/London,1.5,1752153146.53681,instagram,openedApp,breathingExercise,False
Europe/London,1.5,1752154891.4175348,instagram,openedApp,breathingExercise,False
Europe/London,1.5,1752155041.612893,instagram,dismissedAppOpening,breathingExercise,False
Europe/London,1.5,1752155208.338235,instagram,openedApp,breathingExercise,False
Europe/London,1.5,1752155534.540359,instagram,dismissedAppOpening,breathingExercise,False
Europe/London,1.5,1752155942.459111,instagram,dismissedAppOpening,breathingExercise,False
Europe/London,1.5,1752157382.189122,instagram,dismissedAppOpening,breathingExercise,False
Europe/London,1.5,1752158415.34064,instagram,openedApp,breathingExercise,False
Europe/London,1.5,1752158816.98891,instagram,dismissedAppOpening,breathingExercise,False
Europe/London,1.5,1752159054.843555,instagram,dismissedAppOpening,breathingExercise,False
Europe/London,1.5,1752159589.238308,instagram,openedApp,breathingExercise,False
Europe/London,1.5,1752159647.288096,instagram,dismissedAppOpening,breathingExercise,False
Europe/London,1.5,1752162522.764689,instagram,openedApp,breathingExercise,False
Europe/London,1.5,1752162856.563755,instagram,openedApp,breathingExercise,False
Europe/London,1.5,1752167672.057862,instagram,openedApp,breathingExercise,False
Europe/London,1.5,1752170049.2281399,instagram,openedApp,breathingExercise,False
Europe/London,1.5,1752171413.590565,instagram,openedApp,breathingExercise,False
Europe/London,1.5,1752171818.046924,instagram,dismissedAppOpening,breathingExercise,False
Europe/London,1.5,1752172079.4245338,instagram,openedApp,breathingExercise,False
Europe/London,1.5,1752173199.211986,instagram,openedApp,breathingExercise,False
Europe/London,1.5,1752173575.886815,instagram,openedApp,breathingExercise,False
Europe/London,1.5,1752173666.1700191,instagram,openedApp,breathingExercise,False
Europe/London,1.5,1752173848.311736,instagram,dismissedAppOpening,breathingExercise,False
Europe/London,1.5,1752173870.0461888,instagram,openedApp,breathingExercise,False
Europe/London,1.5,1752174066.196825,instagram,dismissedAppOpening,breathingExercise,False
Europe/London,1.5,1752175815.160496,instagram,dismissedAppOpening,breathingExercise,False
Europe/London,1.5,1752177187.519127,instagram,dismissedAppOpening,breathingExercise,False
Europe/London,1.5,1752181237.896872,instagram,dismissedAppOpening,breathingExercise,False
Europe/London,1.5,1752213036.817793,instagram,dismissedAppOpening,breathingExercise,False
Europe/London,1.5,1752213665.36039,instagram,openedApp,breathingExercise,False
Europe/London,1.5,1752214429.629545,instagram,openedApp,breathingExercise,False
Europe/London,1.5,1752215077.407228,instagram,openedApp,breathingExercise,False
Europe/London,1.5,1752215696.528038,instagram,dismissedAppOpening,breathingExercise,False
Europe/London,1.5,1752215804.383068,instagram,openedApp,breathingExercise,False
Europe/London,1.5,1752216444.475772,instagram,openedApp,breathingExercise,False
Europe/London,1.5,1752216636.318396,instagram,openedApp,breathingExercise,False
Europe/London,1.5,1752217893.074688,instagram,openedApp,breathingExercise,False
Europe/London,1.5,1752218006.561336,instagram,dismissedAppOpening,breathingExercise,False
Europe/London,1.5,1752225850.067477,instagram,openedApp,breathingExercise,False
Europe/London,1.5,1752225966.106948,instagram,openedApp,breathingExercise,False
Europe/London,1.5,1752226075.3676062,instagram,openedApp,breathingExercise,False
Europe/London,1.5,1752226146.781231,instagram,openedApp,breathingExercise,False
Europe/London,1.5,1752226241.521497,instagram,openedApp,breathingExercise,False
Europe/London,1.5,1752226354.933408,instagram,dismissedAppOpening,breathingExercise,False
Europe/London,1.5,1752227097.023663,instagram,openedApp,breathingExercise,False
Europe/London,1.5,1752227156.520979,instagram,openedApp,breathingExercise,False
Europe/London,1.5,1752227173.283566,instagram,openedApp,breathingExercise,False
Europe/London,1.5,1752227403.163665,instagram,openedApp,breathingExercise,False
Europe/London,1.5,1752227730.8500519,instagram,dismissedAppOpening,breathingExercise,False
Europe/London,1.5,1752227846.848734,instagram,openedApp,breathingExercise,False
Europe/London,1.5,1752227919.813643,instagram,dismissedAppOpening,breathingExercise,False
Europe/London,1.5,1752228056.9824119,instagram,openedApp,breathingExercise,False
Europe/London,1.5,1752228621.8373141,instagram,openedApp,breathingExercise,False
Europe/London,1.5,1752229587.153213,instagram,dismissedAppOpening,breathingExercise,False
Europe/London,1.5,1752230164.81319,instagram,openedApp,breathingExercise,False
Europe/London,1.5,1752230757.6077662,instagram,dismissedAppOpening,breathingExercise,False
Europe/London,1.5,1752231149.781444,instagram,openedApp,breathingExercise,False
Europe/London,1.5,1752235547.161354,instagram,openedApp,breathingExercise,False
Europe/London,1.5,1752235669.712884,instagram,openedApp,breathingExercise,False
Europe/London,1.5,1752235693.9001431,instagram,openedApp,breathingExercise,False
Europe/London,1.5,1752235831.334764,instagram,openedApp,breathingExercise,False
Europe/London,1.5,1752237196.6882849,instagram,openedApp,breathingExercise,False
Europe/London,1.5,1752240452.583459,instagram,openedApp,breathingExercise,False
Europe/London,1.5,1752244812.039668,instagram,openedApp,breathingExercise,False
Europe/London,1.5,1752244912.870975,instagram,openedApp,breathingExercise,False
Europe/London,1.5,1752248364.229969,instagram,dismissedAppOpening,breathingExercise,False
Europe/London,1.5,1752248637.311977,instagram,dismissedAppOpening,breathingExercise,False
Europe/London,1.5,1752307123.516495,instagram,openedApp,breathingExercise,False
Europe/London,1.5,1752308134.7703152,instagram,openedApp,breathingExercise,False
Europe/London,1.5,1752308236.3594851,instagram,openedApp,breathingExercise,False
Europe/London,1.5,1752308459.920753,instagram,openedApp,breathingExercise,False
Europe/London,1.5,1752308572.494937,instagram,openedApp,breathingExercise,False
Europe/London,1.5,1752308898.118644,instagram,openedApp,breathingExercise,False
Europe/London,1.5,1752309060.852339,instagram,dismissedAppOpening,breathingExercise,False
Europe/London,1.5,1752309819.99024,instagram,openedApp,breathingExercise,False
Europe/London,1.5,1752310150.0262551,instagram,openedApp,breathingExercise,False
Europe/London,1.5,1752310399.372791,instagram,dismissedAppOpening,breathingExercise,False
Europe/London,1.5,1752311213.554595,instagram,dismissedAppOpening,breathingExercise,False
Europe/London,1.5,1752834028.204458,instagram,dismissedAppOpening,breathingExercise,False
Europe/London,1.5,1752835050.9928842,instagram,dismissedAppOpening,breathingExercise,False
Europe/London,1.5,1752835137.6611319,instagram,dismissedAppOpening,breathingExercise,False
Europe/London,1.5,1752835281.307701,instagram,dismissedAppOpening,breathingExercise,False
Europe/London,1.5,1752835571.838115,instagram,dismissedAppOpening,breathingExercise,False
Europe/London,1.5,1752835606.5049791,instagram,dismissedAppOpening,breathingExercise,False
Europe/London,1.5,1752835755.8250442,instagram,dismissedAppOpening,breathingExercise,False
Europe/London,1.5,1752845947.0448542,instagram,openedApp,breathingExercise,False
Europe/London,1.5,1752846520.077177,instagram,dismissedAppOpening,breathingExercise,False
Europe/London,1.5,1752847153.046166,instagram,dismissedAppOpening,breathingExercise,False
Europe/London,1.5,1752847398.115257,instagram,openedApp,breathingExercise,False
Europe/London,1.5,1752848342.591929,instagram,openedApp,breathingExercise,False
Europe/London,1.5,1752848616.9058928,instagram,dismissedAppOpening,breathingExercise,False
Europe/London,1.5,1752848626.039505,instagram,openedApp,breathingExercise,False
Europe/London,1.5,1752849965.817885,instagram,dismissedAppOpening,breathingExercise,False
Europe/London,1.5,1752850533.477521,instagram,dismissedAppOpening,breathingExercise,False
Europe/London,1.5,1752852621.799792,instagram,openedApp,breathingExercise,False
Europe/London,1.5,1752853336.4155111,instagram,dismissedAppOpening,breathingExercise,False
Europe/London,1.5,1752853836.697856,instagram,openedApp,breathingExercise,False
Europe/London,1.5,1752853865.709193,instagram,dismissedAppOpening,breathingExercise,False
Europe/London,1.5,1752858047.248363,instagram,openedApp,breathingExercise,False
Europe/London,1.5,1752859247.120759,instagram,openedApp,breathingExercise,False
Europe/London,1.5,1752860197.812872,instagram,dismissedAppOpening,breathingExercise,False
Europe/London,1.5,1752860284.283249,instagram,openedApp,breathingExercise,False
Europe/London,1.5,1752860703.16626,instagram,dismissedAppOpening,breathingExercise,False
Europe/London,1.5,1752860733.999584,instagram,dismissedAppOpening,breathingExercise,False
Europe/London,1.5,1752860748.676198,instagram,openedApp,breathingExercise,False
Europe/London,1.5,1752861415.849231,instagram,openedApp,breathingExercise,False
Europe/London,1.5,1752861558.385546,instagram,dismissedAppOpening,breathingExercise,False
Europe/London,1.5,1752863052.962709,instagram,openedApp,breathingExercise,False
Europe/London,1.5,1752863747.3213382,instagram,openedApp,breathingExercise,False
Europe/London,1.5,1752864080.595048,instagram,dismissedAppOpening,breathingExercise,False
Europe/London,1.5,1752864186.330112,instagram,openedApp,breathingExercise,False
Europe/London,1.5,1752865371.089807,instagram,openedApp,breathingExercise,False
Europe/London,1.5,1752866113.630295,instagram,openedApp,breathingExercise,False
Europe/London,1.5,1752866669.4345322,instagram,openedApp,breathingExercise,False
Europe/London,1.5,1752866957.227216,instagram,openedApp,breathingExercise,False
Europe/London,1.5,1752867069.790944,instagram,openedApp,breathingExercise,False
Europe/London,1.5,1752871874.560972,instagram,dismissedAppOpening,breathingExercise,False
Europe/London,1.5,1752871947.3150082,instagram,openedApp,breathingExercise,False
Europe/London,1.5,1752872213.596283,instagram,openedApp,breathingExercise,False
Europe/London,1.5,1752872630.804415,instagram,openedApp,breathingExercise,False
Europe/London,1.5,1752872801.204586,instagram,openedApp,breathingExercise,False
Europe/London,1.5,1752873363.131808,instagram,openedApp,breathingExercise,False
Europe/London,1.5,1752906760.104838,instagram,openedApp,breathingExercise,False
Europe/London,1.5,1752906872.408144,instagram,openedApp,breathingExercise,False
Europe/London,1.5,1752907071.203733,instagram,dismissedAppOpening,breathingExercise,False
Europe/London,1.5,1752907134.508049,instagram,openedApp,breathingExercise,False
Europe/London,1.5,1752909826.989959,instagram,openedApp,breathingExercise,False
Europe/London,1.5,1752912969.109373,instagram,openedApp,breathingExercise,False
Europe/London,1.5,1752913027.9013371,instagram,dismissedAppOpening,breathingExercise,False
Europe/London,1.5,1752913512.4271169,instagram,openedApp,breathingExercise,False
Europe/London,1.5,1752913537.854811,instagram,dismissedAppOpening,breathingExercise,False
Europe/London,1.5,1752913779.281012,instagram,dismissedAppOpening,breathingExercise,False
Europe/London,1.5,1752913820.8786001,instagram,openedApp,breathingExercise,False
Europe/London,1.5,1752914166.971095,instagram,openedApp,breathingExercise,False
Europe/London,1.5,1752915257.040705,instagram,dismissedAppOpening,breathingExercise,False
Europe/London,1.5,1752915374.288772,instagram,openedApp,breathingExercise,False
Europe/London,1.5,1752915415.2509232,instagram,openedApp,breathingExercise,False
Europe/London,1.5,1752915521.9791188,instagram,openedApp,breathingExercise,False
Europe/London,1.5,1752915659.102518,instagram,openedApp,breathingExercise,False
Europe/London,1.5,1752916020.411334,instagram,openedApp,breathingExercise,False
Europe/London,1.5,1752916384.735313,instagram,openedApp,breathingExercise,False
Europe/London,1.5,1752916651.751741,instagram,openedApp,breathingExercise,False
Europe/London,1.5,1752916773.373701,instagram,openedApp,breathingExercise,False
Europe/London,1.5,1752916825.694221,instagram,openedApp,breathingExercise,False
Europe/London,1.5,1752917031.728142,instagram,openedApp,breathingExercise,False
Europe/London,1.5,1752917127.1337209,instagram,openedApp,breathingExercise,False
Europe/London,1.5,1752917177.118147,instagram,openedApp,breathingExercise,False
Europe/London,1.5,1752917256.160946,instagram,openedApp,breathingExercise,False
Europe/London,1.5,1752917458.5566468,instagram,openedApp,breathingExercise,False
