timezone,interventionDuration,resolution,isReIntervention,app,timestamp,interventionType,purpose
Europe/Sofia,1.5,dismissedAppOpening,False,instagram,1750970557.507862,breathingExercise,
Europe/Sofia,1.5,dismissedAppOpening,False,instagram,1750970559.252249,breathingExercise,
Europe/Sofia,1.5,dismissedAppOpening,False,instagram,1750970561.144764,breathingExercise,
Europe/Sofia,1.5,openedApp,False,instagram,1750970751.6983871,breathingExercise,Auf dem Laufenden bleiben
Europe/Sofia,,closedApp,False,instagram,1750970791.877893,,
Europe/Sofia,1.5,dismissedAppOpening,False,instagram,1750990230.3807821,breathingExercise,
Europe/Sofia,1.5,openedApp,False,snapchat,1750990247.2502918,breathingExercise,Nachricht / Schreiben
Europe/Sofia,,closedApp,False,snapchat,1750990280.4690418,,
Europe/Sofia,1.5,openedApp,False,instagram,1750990289.682992,breathingExercise,Auf dem Laufenden bleiben
Europe/Sofia,,closedApp,False,instagram,1750990336.256782,,
Europe/Sofia,1.5,openedApp,False,snapchat,1750990348.403615,breathingExercise,Auf dem Laufenden bleiben
Europe/Sofia,1.5,dismissedAppOpening,False,snapchat,1750990550.40257,breathingExercise,
Europe/Sofia,1.5,dismissedAppOpening,False,instagram,1750990552.5190701,breathingExercise,
Europe/Sofia,1.5,openedApp,False,instagram,1750990584.843451,breathingExercise,Auf dem Laufenden bleiben
Europe/Sofia,,closedApp,False,instagram,1750990679.938282,,
Europe/Sofia,1.5,dismissedAppOpening,False,instagram,1750990985.812469,breathingExercise,
Europe/Sofia,1.5,dismissedAppOpening,False,instagram,1750990988.534545,breathingExercise,
Europe/Sofia,1.5,openedApp,False,instagram,1750992228.546036,breathingExercise,Auf dem Laufenden bleiben
Europe/Sofia,,closedApp,False,instagram,1750992583.9170198,,
Europe/Sofia,1.5,dismissedAppOpening,False,snapchat,1750992585.662099,breathingExercise,
Europe/Sofia,1.5,openedApp,False,instagram,1750993163.2200742,breathingExercise,Ablenkung
Europe/Sofia,,closedApp,False,instagram,1750993186.1532102,,
Europe/Sofia,1.5,openedApp,False,instagram,1750993278.723351,breathingExercise,Nachricht / Schreiben
Europe/Sofia,1.5,openedApp,False,instagram,1750993330.054492,breathingExercise,Nachricht / Schreiben
Europe/Sofia,,closedApp,False,instagram,1750993365.877871,,
Europe/Sofia,,closedApp,False,instagram,1750993582.3103762,,
Europe/Sofia,1.5,dismissedAppOpening,False,instagram,1750995522.30786,breathingExercise,
Europe/Sofia,1.5,openedApp,False,instagram,1750995864.172528,breathingExercise,Nachricht / Schreiben
Europe/Sofia,,closedApp,False,instagram,1750996060.4389992,,
Europe/Sofia,1.5,dismissedAppOpening,False,snapchat,1750996062.040051,breathingExercise,
Europe/Sofia,1.5,dismissedAppOpening,False,instagram,1750997140.0280452,breathingExercise,
Europe/Sofia,1.5,openedApp,False,snapchat,1750997829.698934,breathingExercise,Langeweile
Europe/Sofia,,closedApp,False,snapchat,1750997891.120116,,
Europe/Sofia,1.5,openedApp,False,instagram,1750997903.270416,breathingExercise,Auf dem Laufenden bleiben
Europe/Sofia,,closedApp,False,instagram,1750997928.40676,,
Europe/Sofia,1.5,dismissedAppOpening,False,snapchat,1750997931.446578,breathingExercise,
Europe/Sofia,1.5,openedApp,False,instagram,1750998023.089932,breathingExercise,Auf dem Laufenden bleiben
Europe/Sofia,,closedApp,False,instagram,1750998434.880713,,
Europe/Sofia,1.5,openedApp,False,instagram,1750999908.2722979,breathingExercise,Langeweile
Europe/Sofia,,closedApp,False,instagram,1751000599.517767,,
Europe/Sofia,,closedApp,False,instagram,1751000663.631974,,
Europe/Sofia,1.5,openedApp,False,instagram,1751001181.101633,breathingExercise,Nachricht / Schreiben
Europe/Sofia,,closedApp,False,instagram,1751001523.245076,,
Europe/Sofia,1.5,dismissedAppOpening,False,instagram,1751002255.77126,breathingExercise,
Europe/Sofia,1.5,openedApp,False,instagram,1751002310.89767,breathingExercise,Langeweile
Europe/Sofia,,closedApp,False,instagram,1751002601.3696032,,
Europe/Sofia,,closedApp,False,instagram,1751002882.019433,,
Europe/Sofia,,closedApp,False,instagram,1751003323.935814,,
Europe/Sofia,,closedApp,False,instagram,1751004767.728826,,
Europe/Sofia,1.5,openedApp,False,instagram,1751012039.781872,breathingExercise,Langeweile
Europe/Sofia,,closedApp,False,instagram,1751012066.740376,,
Europe/Sofia,,closedApp,False,instagram,1751012261.416071,,
Europe/Sofia,,closedApp,False,instagram,1751012302.0720282,,
Europe/Sofia,1.5,dismissedAppOpening,False,instagram,1751013380.881925,breathingExercise,
Europe/Berlin,1.5,openedApp,False,instagram,1751025216.198851,breathingExercise,Langeweile
Europe/Berlin,,closedApp,False,instagram,1751025320.056088,,
Europe/Berlin,,closedApp,False,instagram,1751025547.082077,,
Europe/Berlin,1.5,openedApp,False,instagram,1751026145.133048,breathingExercise,Langeweile
Europe/Berlin,,closedApp,False,instagram,1751026161.558141,,
Europe/Berlin,,closedApp,False,instagram,1751026478.70751,,
Europe/Berlin,,closedApp,False,instagram,1751026653.95243,,
Europe/Berlin,,closedApp,False,instagram,1751029673.078641,,
Europe/Berlin,1.5,openedApp,False,instagram,1751029954.6996799,breathingExercise,Nachricht / Schreiben
Europe/Berlin,,closedApp,False,instagram,1751030023.212697,,
Europe/Berlin,,closedApp,False,instagram,1751030141.0025558,,
Europe/Berlin,1.5,dismissedAppOpening,False,instagram,1751030734.750917,breathingExercise,
Europe/Berlin,1.5,dismissedAppOpening,False,instagram,1751030737.234235,breathingExercise,
Europe/Berlin,1.5,openedApp,False,snapchat,1751031459.982874,breathingExercise,Langeweile
Europe/Berlin,,closedApp,False,snapchat,1751031472.963532,,
Europe/Berlin,1.5,openedApp,False,instagram,1751031481.423204,breathingExercise,Langeweile
Europe/Berlin,,closedApp,False,instagram,1751031619.440199,,
Europe/Berlin,1.5,openedApp,False,instagram,1751032236.943225,breathingExercise,Nachricht / Schreiben
Europe/Berlin,,closedApp,False,instagram,1751032266.271295,,
Europe/Berlin,1.5,openedApp,False,instagram,1751033236.112862,breathingExercise,Nachricht / Schreiben
Europe/Berlin,,closedApp,False,instagram,1751033250.366691,,
Europe/Berlin,1.5,dismissedAppOpening,False,instagram,1751033974.848703,breathingExercise,
Europe/Berlin,1.5,dismissedAppOpening,False,snapchat,1751034384.661694,breathingExercise,
Europe/Berlin,1.5,dismissedAppOpening,False,snapchat,1751034442.0428262,breathingExercise,
Europe/Berlin,1.5,openedApp,False,instagram,1751034580.109061,breathingExercise,Langeweile
Europe/Berlin,,closedApp,False,instagram,1751034601.146566,,
Europe/Berlin,,closedApp,False,instagram,1751034725.6406488,,
Europe/Berlin,,closedApp,False,instagram,1751034775.244546,,
Europe/Berlin,1.5,openedApp,False,instagram,1751037250.3187342,breathingExercise,Langeweile
Europe/Berlin,,closedApp,False,instagram,1751037345.352467,,
Europe/Berlin,1.5,dismissedAppOpening,False,instagram,1751037810.028376,breathingExercise,
Europe/Berlin,1.5,openedApp,False,instagram,1751037817.42095,breathingExercise,Nachricht / Schreiben
Europe/Berlin,,closedApp,False,instagram,1751037917.072521,,
Europe/Berlin,,closedApp,False,instagram,1751037941.137285,,
Europe/Berlin,1.5,dismissedAppOpening,False,snapchat,1751037943.805825,breathingExercise,
Europe/Berlin,1.5,openedApp,False,instagram,1751038425.707927,breathingExercise,Nachricht / Schreiben
Europe/Berlin,,closedApp,False,instagram,1751038489.106576,,
Europe/Berlin,1.5,dismissedAppOpening,False,instagram,1751038844.607054,breathingExercise,
Europe/Berlin,1.5,openedApp,False,instagram,1751039237.217805,breathingExercise,Nachricht / Schreiben
Europe/Berlin,,closedApp,False,instagram,1751039282.33056,,
Europe/Berlin,1.5,openedApp,False,instagram,1751040869.4372869,breathingExercise,Nachricht / Schreiben
Europe/Berlin,,closedApp,False,instagram,1751040886.4181828,,
Europe/Berlin,,closedApp,False,instagram,1751041056.697061,,
Europe/Berlin,1.5,openedApp,False,instagram,1751041994.619978,breathingExercise,Nachricht / Schreiben
Europe/Berlin,,closedApp,False,instagram,1751042093.076613,,
Europe/Berlin,1.5,openedApp,False,snapchat,1751042102.6394482,breathingExercise,Langeweile
Europe/Berlin,1.5,dismissedAppOpening,False,snapchat,1751043471.6077251,breathingExercise,
Europe/Berlin,1.5,openedApp,False,instagram,1751043477.645297,breathingExercise,Nachricht / Schreiben
Europe/Berlin,,closedApp,False,instagram,1751043991.984846,,
Europe/Berlin,1.5,openedApp,False,instagram,1751048957.788202,breathingExercise,Nachricht / Schreiben
Europe/Berlin,,closedApp,False,instagram,1751049069.813793,,
Europe/Berlin,1.5,openedApp,False,instagram,1751050325.978744,breathingExercise,Nachricht / Schreiben
Europe/Berlin,,closedApp,False,instagram,1751050373.262165,,
Europe/Berlin,1.5,openedApp,False,instagram,1751054867.050987,breathingExercise,Nachricht / Schreiben
Europe/Berlin,,closedApp,False,instagram,1751054902.033512,,
Europe/Berlin,,closedApp,False,instagram,1751055027.301735,,
Europe/Berlin,1.5,dismissedAppOpening,False,instagram,1751055604.431261,breathingExercise,
Europe/Berlin,1.5,openedApp,False,instagram,1751055621.480926,breathingExercise,Nachricht / Schreiben
Europe/Berlin,,closedApp,False,instagram,1751055648.779453,,
Europe/Berlin,1.5,dismissedAppOpening,False,snapchat,1751055799.930207,breathingExercise,
Europe/Berlin,1.5,openedApp,False,instagram,1751058771.761594,breathingExercise,Nachricht / Schreiben
Europe/Berlin,,closedApp,False,instagram,1751058828.4388618,,
Europe/Berlin,1.5,openedApp,False,instagram,1751061928.971303,breathingExercise,Nachricht / Schreiben
Europe/Berlin,,closedApp,False,instagram,1751061972.9120069,,
Europe/Berlin,1.5,openedApp,False,instagram,1751064607.31138,breathingExercise,Langeweile
Europe/Berlin,,closedApp,False,instagram,1751064672.396772,,
Europe/Berlin,1.5,openedApp,False,instagram,1751066273.185097,breathingExercise,Nachricht / Schreiben
Europe/Berlin,,closedApp,False,instagram,1751066286.045224,,
Europe/Berlin,1.5,openedApp,False,snapchat,1751067475.053598,breathingExercise,Nachricht / Schreiben
Europe/Berlin,,closedApp,False,snapchat,1751067511.2612,,
Europe/Berlin,1.5,openedApp,False,snapchat,1751067775.522737,breathingExercise,Nachricht / Schreiben
Europe/Berlin,1.5,openedApp,False,instagram,1751067794.278668,breathingExercise,Nachricht / Schreiben
Europe/Berlin,1.5,openedApp,False,snapchat,1751069699.463379,breathingExercise,Nachricht / Schreiben
Europe/Berlin,,closedApp,False,snapchat,1751069723.545133,,
Europe/Berlin,1.5,openedApp,False,instagram,1751070124.284957,breathingExercise,Langeweile
Europe/Berlin,,closedApp,False,instagram,1751070241.883677,,
Europe/Berlin,,closedApp,False,instagram,1751070580.735793,,
Europe/Berlin,1.5,openedApp,False,instagram,1751070771.2617378,breathingExercise,Nachricht / Schreiben
Europe/Berlin,,closedApp,False,instagram,1751070864.6999788,,
Europe/Berlin,1.5,openedApp,False,instagram,1751071701.292788,breathingExercise,Nachricht / Schreiben
Europe/Berlin,,closedApp,False,instagram,1751071730.268941,,
Europe/Berlin,,closedApp,False,instagram,1751071800.999028,,
Europe/Berlin,1.5,openedApp,False,snapchat,1751071874.089319,breathingExercise,Nachricht / Schreiben
Europe/Berlin,,closedApp,False,snapchat,1751071935.1498852,,
Europe/Berlin,1.5,openedApp,False,instagram,1751072855.040189,breathingExercise,Nachricht / Schreiben
Europe/Berlin,,closedApp,False,instagram,1751072872.37086,,
Europe/Berlin,1.5,openedApp,False,instagram,1751073617.4705229,breathingExercise,Nachricht / Schreiben
Europe/Berlin,,closedApp,False,instagram,1751073631.1583261,,
Europe/Berlin,1.5,openedApp,False,snapchat,1751073638.041179,breathingExercise,Nachricht / Schreiben
Europe/Berlin,1.5,openedApp,False,instagram,1751074415.858846,breathingExercise,Nachricht / Schreiben
Europe/Berlin,1.5,dismissedAppOpening,False,snapchat,1751074427.519343,breathingExercise,
Europe/Berlin,1.5,openedApp,False,instagram,1751078923.748712,breathingExercise,Langeweile
Europe/Berlin,,closedApp,False,instagram,1751078956.611414,,
Europe/Berlin,,closedApp,False,instagram,1751078986.86244,,
Europe/Berlin,1.5,openedApp,False,instagram,1751079223.8187761,breathingExercise,Nachricht / Schreiben
Europe/Berlin,,closedApp,False,instagram,1751079330.747021,,
Europe/Berlin,,closedApp,False,instagram,1751079335.5013871,,
Europe/Berlin,,closedApp,False,instagram,1751079469.215554,,
Europe/Berlin,1.5,openedApp,False,instagram,1751095455.745277,breathingExercise,Nachricht / Schreiben
Europe/Berlin,,closedApp,False,instagram,1751095596.707343,,
Europe/Berlin,1.5,openedApp,False,instagram,1751103306.814821,breathingExercise,Nachricht / Schreiben
Europe/Berlin,,closedApp,False,instagram,1751103441.133171,,
Europe/Berlin,1.5,openedApp,False,snapchat,1751103664.466618,breathingExercise,Langeweile
Europe/Berlin,,closedApp,False,snapchat,1751103699.140956,,
Europe/Berlin,1.5,dismissedAppOpening,False,instagram,1751104082.477591,breathingExercise,
Europe/Berlin,,closedApp,False,snapchat,1751103769.545947,,
Europe/Berlin,1.5,openedApp,False,instagram,1751104769.694078,breathingExercise,Nachricht / Schreiben
Europe/Berlin,1.5,dismissedAppOpening,False,instagram,1751105032.574518,breathingExercise,
Europe/Berlin,1.5,openedApp,False,instagram,1751108033.720402,breathingExercise,Langeweile
Europe/Berlin,,closedApp,False,instagram,1751108101.10415,,
Europe/Berlin,,closedApp,False,instagram,1751108225.9256768,,
Europe/Berlin,1.5,openedApp,False,instagram,1751119548.481357,breathingExercise,Nachricht / Schreiben
Europe/Berlin,,closedApp,False,instagram,1751119647.476342,,
Europe/Berlin,1.5,openedApp,False,instagram,1751122376.282133,breathingExercise,Nachricht / Schreiben
Europe/Berlin,,closedApp,False,instagram,1751122389.154488,,
Europe/Berlin,1.5,openedApp,False,snapchat,1751122844.1001701,breathingExercise,Nachricht / Schreiben
Europe/Berlin,,closedApp,False,snapchat,1751123055.784399,,
Europe/Berlin,1.5,openedApp,False,instagram,1751123061.671953,breathingExercise,Nachricht / Schreiben
Europe/Berlin,,closedApp,False,instagram,1751123090.566886,,
Europe/Berlin,1.5,openedApp,False,instagram,1751123597.302857,breathingExercise,Nachricht / Schreiben
Europe/Berlin,,closedApp,False,instagram,1751124216.5038881,,
Europe/Berlin,1.5,openedApp,False,instagram,1751124566.75809,breathingExercise,Nachricht / Schreiben
Europe/Berlin,,closedApp,False,instagram,1751124615.097474,,
Europe/Berlin,1.5,openedApp,False,instagram,1751128868.605544,breathingExercise,Nachricht / Schreiben
Europe/Berlin,,closedApp,False,instagram,1751128887.7326531,,
Europe/Berlin,1.5,openedApp,False,instagram,1751131999.422704,breathingExercise,Nachricht / Schreiben
Europe/Berlin,,closedApp,False,instagram,1751132069.560566,,
Europe/Berlin,1.5,dismissedAppOpening,False,snapchat,1751132070.600243,breathingExercise,
Europe/Berlin,1.5,openedApp,False,instagram,1751133532.82952,breathingExercise,Nachricht / Schreiben
Europe/Berlin,1.5,openedApp,False,instagram,1751156351.5014849,breathingExercise,Nachricht / Schreiben
Europe/Berlin,,closedApp,False,instagram,1751156690.306556,,
Europe/Berlin,1.5,dismissedAppOpening,False,snapchat,1751156874.963725,breathingExercise,
Europe/Berlin,1.5,openedApp,False,instagram,1751157403.992821,breathingExercise,Nachricht / Schreiben
Europe/Berlin,,closedApp,False,instagram,1751157427.9707131,,
Europe/Berlin,1.5,openedApp,False,instagram,1751179255.144649,breathingExercise,Nachricht / Schreiben
Europe/Berlin,,closedApp,False,instagram,1751179706.528759,,
Europe/Berlin,1.5,openedApp,False,snapchat,1751179711.656661,breathingExercise,Nachricht / Schreiben
Europe/Berlin,,closedApp,False,snapchat,1751179756.3879719,,
Europe/Berlin,1.5,openedApp,False,instagram,1751180826.1556392,breathingExercise,Auf dem Laufenden bleiben
Europe/Berlin,,closedApp,False,instagram,1751181194.4134889,,
Europe/Berlin,,closedApp,False,instagram,1751181504.489038,,
Europe/Berlin,,closedApp,False,instagram,1751181975.554338,,
Europe/Berlin,1.5,openedApp,False,snapchat,1751181983.399059,breathingExercise,Nachricht / Schreiben
Europe/Berlin,,closedApp,False,snapchat,1751182073.83528,,
Europe/Berlin,1.5,openedApp,False,instagram,1751184372.821702,breathingExercise,Nachricht / Schreiben
Europe/Berlin,,closedApp,False,instagram,1751184405.6040602,,
Europe/Berlin,1.5,openedApp,False,instagram,1751184592.7361012,breathingExercise,Nachricht / Schreiben
Europe/Berlin,,closedApp,False,instagram,1751184986.568375,,
Europe/Berlin,1.5,openedApp,False,snapchat,1751184995.3743749,breathingExercise,Nachricht / Schreiben
Europe/Berlin,1.5,openedApp,False,instagram,1751185270.057036,breathingExercise,Nachricht / Schreiben
Europe/Berlin,1.5,openedApp,False,instagram,1751186254.503974,breathingExercise,Nachricht / Schreiben
Europe/Berlin,,closedApp,False,instagram,1751186280.59182,,
Europe/Berlin,1.5,openedApp,False,instagram,1751186763.424024,breathingExercise,Nachricht / Schreiben
Europe/Berlin,,closedApp,False,instagram,1751186809.77662,,
Europe/Berlin,1.5,dismissedAppOpening,False,instagram,1751187047.367278,breathingExercise,
Europe/Berlin,1.5,openedApp,False,instagram,1751188548.7307758,breathingExercise,Nachricht / Schreiben
Europe/Berlin,,closedApp,False,instagram,1751189217.898947,,
Europe/Berlin,1.5,openedApp,False,snapchat,1751195392.310073,breathingExercise,Nachricht / Schreiben
Europe/Berlin,,closedApp,False,snapchat,1751195405.053729,,
Europe/Berlin,1.5,openedApp,False,instagram,1751195410.350021,breathingExercise,Nachricht / Schreiben
Europe/Berlin,,closedApp,False,instagram,1751195646.403808,,
Europe/Berlin,1.5,dismissedAppOpening,False,snapchat,1751195647.91324,breathingExercise,
Europe/Berlin,1.5,openedApp,False,instagram,1751199743.541054,breathingExercise,Nachricht / Schreiben
Europe/Berlin,,closedApp,False,instagram,1751199771.1356559,,
Europe/Berlin,,closedApp,False,instagram,1751199919.148066,,
Europe/Berlin,1.5,openedApp,False,instagram,1751200595.973275,breathingExercise,Nachricht / Schreiben
