isReIntervention,interventionType,app,resolution,timestamp,timezone,interventionDuration,purpose
False,breathingExercise,instagram,dismissedAppOpening,1749667739.9797568,America/Chicago,1.5,
False,breathingExercise,instagram,openedApp,1749668979.312356,America/Chicago,1.5,Stay In the Loop
False,breathingExercise,instagram,openedApp,1749670502.658299,America/Chicago,1.5,Message
False,breathingExercise,instagram,dismissedAppOpening,1749670831.3527489,America/Chicago,1.5,
False,breathingExercise,instagram,openedApp,1749670950.524442,America/Chicago,1.5,Message
False,breathingExercise,instagram,dismissedAppOpening,1749671263.174366,America/Chicago,1.5,
False,breathingExercise,tikTok,openedApp,1749672371.824913,America/Chicago,1.5,Search Info
False,breathingExercise,instagram,openedApp,1749675202.581486,America/Chicago,1.5,Relax
False,breathingExercise,instagram,openedApp,1749675457.647625,America/Chicago,1.5,Stay In the Loop
False,breathingExercise,instagram,dismissedAppOpening,1749677161.40102,America/Chicago,1.5,
False,breathingExercise,instagram,openedApp,1749677184.5043678,America/Chicago,1.5,Stay In the Loop
False,breathingExercise,instagram,openedApp,1749677773.717592,America/Chicago,1.5,Message
False,breathingExercise,instagram,dismissedAppOpening,1749678435.8137689,America/Chicago,1.5,
False,breathingExercise,instagram,dismissedAppOpening,1749678520.661159,America/Chicago,1.5,
False,breathingExercise,tikTok,openedApp,1749678590.3549972,America/Chicago,1.5,Relax
False,breathingExercise,instagram,dismissedAppOpening,1749678797.0612822,America/Chicago,1.5,
False,breathingExercise,instagram,dismissedAppOpening,1749678902.024386,America/Chicago,1.5,
False,breathingExercise,instagram,dismissedAppOpening,1749678925.051503,America/Chicago,1.5,
False,breathingExercise,instagram,dismissedAppOpening,1749678996.8590422,America/Chicago,1.5,
False,breathingExercise,instagram,dismissedAppOpening,1749679139.8930712,America/Chicago,1.5,
False,breathingExercise,instagram,dismissedAppOpening,1749679278.323388,America/Chicago,1.5,
False,breathingExercise,tikTok,openedApp,1749679582.819642,America/Chicago,1.5,Escape / Avoid
False,breathingExercise,tikTok,openedApp,1749680570.617189,America/Chicago,1.5,Entertainment
False,breathingExercise,instagram,openedApp,1749680675.549464,America/Chicago,1.5,Relax
False,breathingExercise,instagram,openedApp,1749687494.5111852,America/Chicago,1.5,Message
False,breathingExercise,instagram,dismissedAppOpening,1749687742.697382,America/Chicago,1.5,
False,breathingExercise,instagram,dismissedAppOpening,1749687858.6240149,America/Chicago,1.5,
False,breathingExercise,instagram,dismissedAppOpening,1749687880.177063,America/Chicago,1.5,
False,breathingExercise,instagram,dismissedAppOpening,1749687916.973582,America/Chicago,1.5,
False,breathingExercise,instagram,dismissedAppOpening,1749688639.7805839,America/Chicago,1.5,
False,breathingExercise,tikTok,openedApp,1749688650.7883692,America/Chicago,1.5,Entertainment
False,breathingExercise,tikTok,openedApp,1749689826.02178,America/Chicago,1.5,Toilet
False,breathingExercise,instagram,dismissedAppOpening,1749690498.7790918,America/Chicago,1.5,
False,breathingExercise,instagram,openedApp,1749690507.656992,America/Chicago,1.5,Check likes
False,breathingExercise,instagram,dismissedAppOpening,1749690711.3138719,America/Chicago,1.5,
False,breathingExercise,tikTok,openedApp,1749690729.897671,America/Chicago,1.5,Escape / Avoid
False,breathingExercise,instagram,dismissedAppOpening,1749693105.444329,America/Chicago,1.5,
False,breathingExercise,instagram,openedApp,1749693828.887016,America/Chicago,1.5,Escape / Avoid
False,breathingExercise,tikTok,openedApp,1749694134.176334,America/Chicago,1.5,Relax
False,breathingExercise,tikTok,dismissedAppOpening,1749694921.824408,America/Chicago,1.5,
False,breathingExercise,tikTok,openedApp,1749694951.312739,America/Chicago,1.5,Relax
False,breathingExercise,instagram,dismissedAppOpening,1749695711.903897,America/Chicago,1.5,
False,breathingExercise,instagram,openedApp,1749695720.387768,America/Chicago,1.5,Can’t sleep
False,breathingExercise,instagram,openedApp,1749695960.367755,America/Chicago,1.5,Entertainment
False,breathingExercise,instagram,dismissedAppOpening,1749696321.9607081,America/Chicago,1.5,
False,breathingExercise,instagram,dismissedAppOpening,1749696357.705158,America/Chicago,1.5,
False,breathingExercise,tikTok,openedApp,1749696967.327455,America/Chicago,1.5,Relax
