isReIntervention,app,interventionDuration,resolution,timestamp,interventionType,timezone
False,safari,1.5,dismissedAppOpening,1751429187.20759,breathingExercise,America/Toronto
False,safari,1.5,dismissedAppOpening,1751430125.6191468,breathingExercise,America/Toronto
False,safari,1.5,dismissedAppOpening,1751430552.969596,breathingExercise,America/Toronto
False,safari,1.5,dismissedAppOpening,1751430962.629393,breathingExercise,America/Toronto
False,safari,1.5,dismissedAppOpening,1751431526.493788,breathingExercise,America/Toronto
False,safari,1.5,openedApp,1751431613.583267,breathingExercise,America/Toronto
False,safari,1.5,dismissedAppOpening,1751431857.0656462,breathingExercise,America/Toronto
False,safari,1.5,openedApp,1751431864.303544,breathingExercise,America/Toronto
False,safari,1.5,dismissedAppOpening,1751432028.959234,breathingExercise,America/Toronto
False,safari,1.5,openedApp,1751432074.117883,breathingExercise,America/Toronto
False,safari,1.5,dismissedAppOpening,1751432342.930637,breathingExercise,America/Toronto
False,safari,1.5,dismissedAppOpening,1751432344.9483619,breathingExercise,America/Toronto
False,safari,1.5,openedApp,1751432349.491082,breathingExercise,America/Toronto
False,safari,1.5,openedApp,1751432475.8810601,breathingExercise,America/Toronto
False,safari,1.5,openedApp,1751432793.332514,breathingExercise,America/Toronto
False,safari,1.5,openedApp,1751462921.008678,breathingExercise,America/Toronto
False,safari,1.5,openedApp,1751464591.349153,breathingExercise,America/Toronto
False,safari,1.5,openedApp,1751464877.515055,breathingExercise,America/Toronto
False,safari,1.5,openedApp,1751464964.8685632,breathingExercise,America/Toronto
False,safari,1.5,openedApp,1751465156.023419,breathingExercise,America/Toronto
False,safari,1.5,openedApp,1751466326.438702,breathingExercise,America/Toronto
False,safari,1.5,openedApp,1751466420.795613,breathingExercise,America/Toronto
False,safari,1.5,dismissedAppOpening,1751469431.4497108,breathingExercise,America/Toronto
False,safari,1.5,openedApp,1751473792.464077,breathingExercise,America/Toronto
False,safari,1.5,dismissedAppOpening,1751473906.296834,breathingExercise,America/Toronto
False,safari,1.5,openedApp,1751484811.777756,breathingExercise,America/Toronto
False,safari,1.5,openedApp,1751485522.9995651,breathingExercise,America/Toronto
False,safari,1.5,openedApp,1751485736.116407,breathingExercise,America/Toronto
False,safari,1.5,openedApp,1751486072.460569,breathingExercise,America/Toronto
False,safari,1.5,openedApp,1751486152.6969619,breathingExercise,America/Toronto
False,safari,1.5,openedApp,1751486227.9951491,breathingExercise,America/Toronto
False,safari,1.5,openedApp,1751486332.474413,breathingExercise,America/Toronto
False,safari,1.5,openedApp,1751486382.601171,breathingExercise,America/Toronto
False,safari,1.5,openedApp,1751486473.9509459,breathingExercise,America/Toronto
False,safari,1.5,openedApp,1751496043.8872318,breathingExercise,America/Toronto
False,safari,1.5,dismissedAppOpening,1751497935.434537,breathingExercise,America/Toronto
False,safari,1.5,openedApp,1751498006.230418,breathingExercise,America/Toronto
False,safari,1.5,openedApp,1751498185.711632,breathingExercise,America/Toronto
False,safari,1.5,openedApp,1751498441.6720428,breathingExercise,America/Toronto
False,safari,1.5,openedApp,1751498497.626287,breathingExercise,America/Toronto
False,safari,1.5,openedApp,1751499010.811924,breathingExercise,America/Toronto
False,safari,1.5,openedApp,1751499269.974105,breathingExercise,America/Toronto
False,safari,1.5,openedApp,1751499652.725625,breathingExercise,America/Toronto
False,safari,1.5,openedApp,1751499721.971733,breathingExercise,America/Toronto
False,safari,1.5,openedApp,1751499930.873334,breathingExercise,America/Toronto
False,safari,1.5,openedApp,1751500371.4315681,breathingExercise,America/Toronto
False,safari,1.5,openedApp,1751500592.3302999,breathingExercise,America/Toronto
False,safari,1.5,openedApp,1751501143.0074592,breathingExercise,America/Toronto
False,safari,1.5,openedApp,1751501566.9570189,breathingExercise,America/Toronto
False,safari,1.5,dismissedAppOpening,1751501672.027864,breathingExercise,America/Toronto
False,safari,1.5,openedApp,1751501966.587342,breathingExercise,America/Toronto
