resolution,timestamp,interventionDuration,app,timezone,isReIntervention,interventionType,purpose,timeIntervalUntilReIntervention
openedApp,1750067427.968152,6.0,whastapp,Asia/Singapore,False,breathingExercise,Stay In the Loop,
closedApp,1750067464.50189,,whastapp,Asia/Singapore,False,,,
openedApp,1750067478.037812,6.0,instagram,Asia/Singapore,False,breathingExercise,Stay In the Loop,
closedApp,1750067613.32991,,whastapp,Asia/Singapore,False,,,
closedApp,1750067670.4265819,,whastapp,Asia/Singapore,False,,,
openedApp,1750068201.454895,6.0,whastapp,Asia/Singapore,False,breathingExercise,Stay In the Loop,
openedApp,1750068225.531383,6.0,facebook,Asia/Singapore,False,breathingExercise,Stay In the Loop,
openedApp,1750069847.127149,6.0,whastapp,Asia/Singapore,False,breathingExercise,Stay In the Loop,
closedApp,1750069880.052538,,whastapp,Asia/Singapore,False,,,
closedApp,1750070013.0581331,,whastapp,Asia/Singapore,False,,,
closedApp,1750070096.558085,,whastapp,Asia/Singapore,False,,,
closedApp,1750070141.190017,,whastapp,Asia/Singapore,False,,,
openedApp,1750070155.606358,6.0,facebook,Asia/Singapore,False,breathingExercise,Stay In the Loop,
openedApp,1750070359.79008,6.0,facebook,Asia/Singapore,False,breathingExercise,Stay In the Loop,
dismissedAppOpening,1750070523.7514791,6.0,whastapp,Asia/Singapore,False,breathingExercise,,
dismissedAppOpening,1750071192.671833,6.0,whastapp,Asia/Singapore,False,breathingExercise,,
openedApp,1750071862.761191,6.0,whastapp,Asia/Singapore,False,breathingExercise,Stay In the Loop,
closedApp,1750071886.161274,,whastapp,Asia/Singapore,False,,,
closedApp,1750071947.17631,,whastapp,Asia/Singapore,False,,,
closedApp,1750074384.714097,,whastapp,Asia/Singapore,False,,,
closedApp,1750074452.317414,,whastapp,Asia/Singapore,False,,,
openedApp,1750074477.939536,6.0,outlook,Asia/Singapore,False,breathingExercise,Message,
closedApp,1750074765.249615,,outlook,Asia/Singapore,False,,,
openedApp,1750074782.23733,6.0,instagram,Asia/Singapore,False,breathingExercise,Stay In the Loop,
dismissedAppOpening,1750076796.7998052,6.0,instagram,Asia/Singapore,False,breathingExercise,,
openedApp,1750076813.20393,6.0,whastapp,Asia/Singapore,False,breathingExercise,Stay In the Loop,
openedApp,1750076835.631669,6.0,instagram,Asia/Singapore,False,breathingExercise,Stay In the Loop,
closedApp,1750076965.748787,,whastapp,Asia/Singapore,False,,,
closedApp,1750077074.647941,,whastapp,Asia/Singapore,False,,,
closedApp,1750077116.004328,,whastapp,Asia/Singapore,False,,,
closedApp,1750077253.655401,,whastapp,Asia/Singapore,False,,,
openedApp,1750077344.102862,6.0,instagram,Asia/Singapore,False,breathingExercise,Stay In the Loop,
openedApp,1750080533.806426,6.0,whastapp,Asia/Singapore,False,breathingExercise,Stay In the Loop,
closedApp,1750080562.0149832,,whastapp,Asia/Singapore,False,,,
closedApp,1750084296.830995,,whastapp,Asia/Singapore,False,,,
openedApp,1750084319.2732549,6.0,instagram,Asia/Singapore,False,breathingExercise,Stay In the Loop,
openedApp,1750116656.0392861,6.0,whastapp,Asia/Singapore,False,breathingExercise,Stay In the Loop,
openedApp,1750118349.392198,6.0,whastapp,Asia/Singapore,False,breathingExercise,Stay In the Loop,
openedApp,1750118582.506885,6.0,outlook,Asia/Singapore,False,breathingExercise,Stay In the Loop,
closedApp,1750118635.277004,,outlook,Asia/Singapore,False,,,
closedApp,1750118676.2457762,,outlook,Asia/Singapore,False,,,
dismissedAppOpening,1750119372.649808,6.0,whastapp,Asia/Singapore,False,breathingExercise,,
openedApp,1750120640.287678,6.0,instagram,Asia/Singapore,False,breathingExercise,Stay In the Loop,
dismissedAppOpening,1750120689.8128638,6.0,whastapp,Asia/Singapore,False,breathingExercise,,
openedApp,1750120710.810765,6.0,whastapp,Asia/Singapore,False,breathingExercise,Stay In the Loop,
closedApp,1750120758.381624,,whastapp,Asia/Singapore,False,,,
openedApp,1750121715.387052,6.0,whastapp,Asia/Singapore,False,breathingExercise,Stay In the Loop,
closedApp,1750121739.8235168,,whastapp,Asia/Singapore,False,,,
closedApp,1750125830.137291,,whastapp,Asia/Singapore,False,,,
openedApp,1750129522.9197721,6.0,whastapp,Asia/Singapore,False,breathingExercise,Stay In the Loop,
closedApp,1750129537.572536,,whastapp,Asia/Singapore,False,,,
closedApp,1750129838.463779,,whastapp,Asia/Singapore,False,,,
closedApp,1750131837.729302,,whastapp,Asia/Singapore,False,,,
closedApp,1750132415.0379949,,whastapp,Asia/Singapore,False,,,
closedApp,1750132507.459995,,whastapp,Asia/Singapore,False,,,
closedApp,1750132684.0736098,,whastapp,Asia/Singapore,False,,,
openedApp,1750133031.734089,6.0,whastapp,Asia/Singapore,False,breathingExercise,Stay In the Loop,
openedApp,1750137545.2956371,6.0,outlook,Asia/Singapore,False,breathingExercise,Stay In the Loop,
closedApp,1750137568.143399,,outlook,Asia/Singapore,False,,,
closedApp,1750137690.47838,,outlook,Asia/Singapore,False,,,
openedApp,1750137707.259808,6.0,whastapp,Asia/Singapore,False,breathingExercise,Stay In the Loop,
closedApp,1750137730.308084,,whastapp,Asia/Singapore,False,,,
closedApp,1750137951.5949302,,whastapp,Asia/Singapore,False,,,
closedApp,1750138051.747892,,whastapp,Asia/Singapore,False,,,
closedApp,1750138250.516335,,whastapp,Asia/Singapore,False,,,
openedApp,1750138590.0258641,6.0,instagram,Asia/Singapore,False,breathingExercise,Stay In the Loop,
openedApp,1750138919.559597,6.0,instagram,Asia/Singapore,False,breathingExercise,Stay In the Loop,
openedApp,1750138941.475045,6.0,whastapp,Asia/Singapore,False,breathingExercise,Stay In the Loop,
closedApp,1750138954.6342921,,whastapp,Asia/Singapore,False,,,
closedApp,1750139033.316842,,whastapp,Asia/Singapore,False,,,
dismissedAppOpening,1750140090.8835812,6.0,whastapp,Asia/Singapore,False,breathingExercise,,
openedApp,1750142252.355187,6.0,whastapp,Asia/Singapore,False,breathingExercise,Stay In the Loop,
closedApp,1750142265.978728,,whastapp,Asia/Singapore,False,,,
closedApp,1750143111.863515,,whastapp,Asia/Singapore,False,,,
openedApp,1750155099.368806,6.0,outlook,Asia/Singapore,False,breathingExercise,Stay In the Loop,
closedApp,1750155174.912253,,outlook,Asia/Singapore,False,,,
closedApp,1750155247.469345,,outlook,Asia/Singapore,False,,,
closedApp,1750155289.2628,,outlook,Asia/Singapore,False,,,
closedApp,1750155553.6242151,,outlook,Asia/Singapore,False,,,
openedApp,1750159491.497159,6.0,whastapp,Asia/Singapore,False,breathingExercise,Stay In the Loop,
closedApp,1750159578.920213,,whastapp,Asia/Singapore,False,,,
openedApp,1750160050.6633549,6.0,whastapp,Asia/Singapore,False,breathingExercise,Stay In the Loop,
dismissedAppOpening,1750160532.0363011,6.0,whastapp,Asia/Singapore,False,breathingExercise,,
closedApp,1750161586.7940102,,whastapp,Asia/Singapore,False,,,
openedApp,1750162964.4188251,6.0,whastapp,Asia/Singapore,False,breathingExercise,Stay In the Loop,
openedApp,1750163596.918791,6.0,outlook,Asia/Singapore,False,breathingExercise,Stay In the Loop,
openedApp,1750164088.803066,6.0,whastapp,Asia/Singapore,False,breathingExercise,Stay In the Loop,
closedApp,1750163689.912624,,outlook,Asia/Singapore,False,,,
closedApp,1750163041.502532,,whastapp,Asia/Singapore,False,,,
closedApp,1750163513.593793,,whastapp,Asia/Singapore,False,,,
closedApp,1750163581.284239,,whastapp,Asia/Singapore,False,,,
closedApp,1750164109.880618,,whastapp,Asia/Singapore,False,,,
openedApp,1750164751.543328,6.0,whastapp,Asia/Singapore,False,breathingExercise,Stay In the Loop,
closedApp,1750164781.1322331,,whastapp,Asia/Singapore,False,,,
closedApp,1750165120.70625,,whastapp,Asia/Singapore,False,,,
openedApp,1750165616.348867,6.0,instagram,Asia/Singapore,False,breathingExercise,Stay In the Loop,
openedApp,1750170235.623385,6.0,whastapp,Asia/Singapore,False,breathingExercise,Stay In the Loop,
closedApp,1750170261.482312,,whastapp,Asia/Singapore,False,,,
dismissedAppOpening,1750170300.514224,6.0,outlook,Asia/Singapore,False,breathingExercise,,
openedApp,1750175632.306604,6.0,whastapp,Asia/Singapore,False,breathingExercise,Stay In the Loop,
closedApp,1750205150.773464,,whastapp,Asia/Singapore,False,,,
openedApp,1750205354.688381,6.0,facebook,Asia/Singapore,False,breathingExercise,Stay In the Loop,
dismissedAppOpening,1750205768.868658,6.0,whastapp,Asia/Singapore,False,breathingExercise,,
openedApp,1750205958.560103,6.0,whastapp,Asia/Singapore,False,breathingExercise,Stay In the Loop,
closedApp,1750205977.291976,,whastapp,Asia/Singapore,False,,,
closedApp,1750206252.540081,,whastapp,Asia/Singapore,False,,,
openedApp,1750206431.978106,6.0,facebook,Asia/Singapore,False,breathingExercise,Stay In the Loop,
openedApp,1750206627.295796,6.0,whastapp,Asia/Singapore,False,breathingExercise,Stay In the Loop,
dismissedAppOpening,1750206638.786751,6.0,facebook,Asia/Singapore,False,breathingExercise,,
openedApp,1750206664.442646,6.0,instagram,Asia/Singapore,False,breathingExercise,Stay In the Loop,
openedApp,1750207381.840989,6.0,whastapp,Asia/Singapore,False,breathingExercise,Stay In the Loop,
closedApp,1750207398.530632,,whastapp,Asia/Singapore,False,,,
closedApp,1750207409.988854,,whastapp,Asia/Singapore,False,,,
openedApp,1750213508.4659262,6.0,whastapp,Asia/Singapore,False,breathingExercise,Stay In the Loop,
closedApp,1750213524.572725,,whastapp,Asia/Singapore,False,,,
openedApp,1750219173.373115,6.0,whastapp,Asia/Singapore,False,breathingExercise,Stay In the Loop,
openedApp,1750219550.694995,6.0,whastapp,Asia/Singapore,False,breathingExercise,Stay In the Loop,
closedApp,1750219566.914706,,whastapp,Asia/Singapore,False,,,
openedApp,1750222530.636331,6.0,whastapp,Asia/Singapore,False,breathingExercise,Stay In the Loop,
closedApp,1750222563.820471,,whastapp,Asia/Singapore,False,,,
openedApp,1750222680.458952,6.0,instagram,Asia/Singapore,False,breathingExercise,Stay In the Loop,
dismissedAppOpening,1750224331.694524,6.0,instagram,Asia/Singapore,False,breathingExercise,,
openedApp,1750224568.608368,6.0,whastapp,Asia/Singapore,False,breathingExercise,Stay In the Loop,
closedApp,1750224625.2440062,,whastapp,Asia/Singapore,False,,,
openedApp,1750225340.7452788,6.0,whastapp,Asia/Singapore,False,breathingExercise,Stay In the Loop,
closedApp,1750225402.148818,,whastapp,Asia/Singapore,False,,,
openedApp,1750225420.387741,6.0,instagram,Asia/Singapore,False,breathingExercise,Stay In the Loop,
openedApp,1750226095.131386,6.0,instagram,Asia/Singapore,False,breathingExercise,Stay In the Loop,
openedApp,1750226457.004307,6.0,outlook,Asia/Singapore,False,breathingExercise,Stay In the Loop,
closedApp,1750226472.765775,,outlook,Asia/Singapore,False,,,
openedApp,1750227286.335051,6.0,whastapp,Asia/Singapore,False,breathingExercise,Stay In the Loop,
openedApp,1750227310.576995,6.0,outlook,Asia/Singapore,False,breathingExercise,Stay In the Loop,
closedApp,1750227354.905823,,outlook,Asia/Singapore,False,,,
closedApp,1750227367.911851,,whastapp,Asia/Singapore,False,,,
openedApp,1750230313.648686,6.0,instagram,Asia/Singapore,False,breathingExercise,Stay In the Loop,
openedApp,1750234426.545412,6.0,whastapp,Asia/Singapore,False,breathingExercise,Stay In the Loop,
closedApp,1750234514.0945048,,whastapp,Asia/Singapore,False,,,
closedApp,1750236537.046617,,whastapp,Asia/Singapore,False,,,
openedApp,1750236629.512093,6.0,instagram,Asia/Singapore,False,breathingExercise,Stay In the Loop,
openedApp,1750236876.8382869,6.0,instagram,Asia/Singapore,False,breathingExercise,Stay In the Loop,
openedApp,1750237194.397835,6.0,instagram,Asia/Singapore,False,breathingExercise,Stay In the Loop,
openedApp,1750237479.80928,6.0,instagram,Asia/Singapore,False,breathingExercise,Stay In the Loop,
openedApp,1750237729.636698,6.0,instagram,Asia/Singapore,False,breathingExercise,Stay In the Loop,
openedApp,1750237783.0094671,6.0,whastapp,Asia/Singapore,False,breathingExercise,Stay In the Loop,
closedApp,1750237808.4464378,,whastapp,Asia/Singapore,False,,,
openedApp,1750239248.008806,6.0,whastapp,Asia/Singapore,False,breathingExercise,Stay In the Loop,
closedApp,1750239289.6647239,,whastapp,Asia/Singapore,False,,,
closedApp,1750239572.670301,,whastapp,Asia/Singapore,False,,,
openedApp,1750239843.596181,6.0,whastapp,Asia/Singapore,False,breathingExercise,Stay In the Loop,
openedApp,1750241016.586882,6.0,whastapp,Asia/Singapore,False,breathingExercise,Stay In the Loop,
openedApp,1750245866.7115831,6.0,whastapp,Asia/Singapore,False,breathingExercise,Stay In the Loop,
closedApp,1750248204.577359,,whastapp,Asia/Singapore,False,,,
closedApp,1750248315.464769,,whastapp,Asia/Singapore,False,,,
openedApp,1750248329.944195,6.0,outlook,Asia/Singapore,False,breathingExercise,Stay In the Loop,
closedApp,1750248365.630464,,outlook,Asia/Singapore,False,,,
closedApp,1750248417.8963761,,outlook,Asia/Singapore,False,,,
closedApp,1750248423.0948238,,outlook,Asia/Singapore,False,,,
closedApp,1750248500.223582,,outlook,Asia/Singapore,False,,,
closedApp,1750248520.19313,,outlook,Asia/Singapore,False,,,
openedApp,1750248544.567741,6.0,whastapp,Asia/Singapore,False,breathingExercise,Stay In the Loop,
closedApp,1750248879.3099298,,whastapp,Asia/Singapore,False,,,
closedApp,1750249582.732923,,whastapp,Asia/Singapore,False,,,
dismissedAppOpening,1750249590.0015101,6.0,outlook,Asia/Singapore,False,breathingExercise,,
openedApp,1750251509.556503,6.0,facebook,Asia/Singapore,False,breathingExercise,Stay In the Loop,
dismissedAppOpening,1750252094.7710829,6.0,whastapp,Asia/Singapore,False,breathingExercise,,
openedApp,1750252109.546402,6.0,whastapp,Asia/Singapore,False,breathingExercise,Stay In the Loop,
closedApp,1750252159.037287,,whastapp,Asia/Singapore,False,,,
closedApp,1750252227.385624,,whastapp,Asia/Singapore,False,,,
openedApp,1750252256.3769112,6.0,facebook,Asia/Singapore,False,breathingExercise,Stay In the Loop,
closedApp,1750252305.096937,,whastapp,Asia/Singapore,False,,,
closedApp,1750252371.027956,,whastapp,Asia/Singapore,False,,,
closedApp,1750252494.2602339,,whastapp,Asia/Singapore,False,,,
openedApp,1750253822.64784,6.0,whastapp,Asia/Singapore,False,breathingExercise,Stay In the Loop,
closedApp,1750253887.32231,,whastapp,Asia/Singapore,False,,,
openedApp,1750253904.2486172,6.0,instagram,Asia/Singapore,False,breathingExercise,Stay In the Loop,
openedApp,1750254908.834595,6.0,whastapp,Asia/Singapore,False,breathingExercise,Stay In the Loop,
closedApp,1750254986.303165,,whastapp,Asia/Singapore,False,,,
closedApp,1750255112.038821,,whastapp,Asia/Singapore,False,,,
closedApp,1750257401.87388,,whastapp,Asia/Singapore,False,,,
openedApp,1750289995.036627,6.0,whastapp,Asia/Singapore,False,breathingExercise,Stay In the Loop,
closedApp,1750290083.951027,,whastapp,Asia/Singapore,False,,,
dismissedAppOpening,1750294199.817659,6.0,whastapp,Asia/Singapore,False,breathingExercise,,
openedApp,1750298680.322536,6.0,whastapp,Asia/Singapore,False,breathingExercise,Message,
closedApp,1750298747.617209,,whastapp,Asia/Singapore,False,,,
openedApp,1750298761.6880531,6.0,instagram,Asia/Singapore,False,breathingExercise,Stay In the Loop,
dismissedAppOpening,1750299576.475905,6.0,whastapp,Asia/Singapore,False,breathingExercise,,
closedApp,1750298826.2447062,,whastapp,Asia/Singapore,False,,,
closedApp,1750298890.075532,,whastapp,Asia/Singapore,False,,,
dismissedAppOpening,1750299590.021093,6.0,whastapp,Asia/Singapore,False,breathingExercise,,
dismissedAppOpening,1750303827.082018,6.0,whastapp,Asia/Singapore,False,breathingExercise,,
openedApp,1750305500.019716,6.0,whastapp,Asia/Singapore,False,breathingExercise,Stay In the Loop,
closedApp,1750305541.4357572,,whastapp,Asia/Singapore,False,,,
closedApp,1750305562.6364222,,whastapp,Asia/Singapore,False,,,
dismissedAppOpening,1750310715.8045878,6.0,whastapp,Asia/Singapore,False,breathingExercise,,
openedApp,1750310741.842344,6.0,whastapp,Asia/Singapore,False,breathingExercise,Stay In the Loop,
closedApp,1750310773.9922009,,whastapp,Asia/Singapore,False,,,
openedApp,1750314419.6537051,6.0,whastapp,Asia/Singapore,False,breathingExercise,Message,
closedApp,1750314579.943538,,whastapp,Asia/Singapore,False,,,
closedApp,1750315518.675431,,whastapp,Asia/Singapore,False,,,
openedApp,1750315647.443653,6.0,outlook,Asia/Singapore,False,breathingExercise,Stay In the Loop,
closedApp,1750315684.7762,,outlook,Asia/Singapore,False,,,
closedApp,1750316766.9779801,,outlook,Asia/Singapore,False,,,
openedApp,1750316781.667654,6.0,whastapp,Asia/Singapore,False,breathingExercise,Stay In the Loop,
openedApp,1750318337.367291,6.0,whastapp,Asia/Singapore,False,breathingExercise,Stay In the Loop,
closedApp,1750316843.765432,,whastapp,Asia/Singapore,False,,,
closedApp,1750317083.5087318,,whastapp,Asia/Singapore,False,,,
openedApp,1750318793.417921,6.0,outlook,Asia/Singapore,False,breathingExercise,Stay In the Loop,
closedApp,1750318813.5408568,,outlook,Asia/Singapore,False,,,
openedApp,1750321900.05539,6.0,whastapp,Asia/Singapore,False,breathingExercise,Stay In the Loop,
closedApp,1750322036.103874,,whastapp,Asia/Singapore,False,,,
closedApp,1750322203.433937,,whastapp,Asia/Singapore,False,,,
closedApp,1750322212.8325129,,whastapp,Asia/Singapore,False,,,
closedApp,1750322357.748682,,whastapp,Asia/Singapore,False,,,
closedApp,1750323081.9183168,,whastapp,Asia/Singapore,False,,,
closedApp,1750323122.5609,,whastapp,Asia/Singapore,False,,,
closedApp,1750323194.412607,,whastapp,Asia/Singapore,False,,,
closedApp,1750323416.700947,,whastapp,Asia/Singapore,False,,,
openedApp,1750323434.0508819,6.0,outlook,Asia/Singapore,False,breathingExercise,Stay In the Loop,
closedApp,1750323572.271708,,outlook,Asia/Singapore,False,,,
openedApp,1750323692.8713288,6.0,whastapp,Asia/Singapore,False,breathingExercise,Message,
closedApp,1750323969.138447,,whastapp,Asia/Singapore,False,,,
closedApp,1750324073.583925,,whastapp,Asia/Singapore,False,,,
closedApp,1750324111.464395,,whastapp,Asia/Singapore,False,,,
closedApp,1750324217.7286959,,whastapp,Asia/Singapore,False,,,
closedApp,1750324909.732024,,whastapp,Asia/Singapore,False,,,
closedApp,1750324990.06526,,whastapp,Asia/Singapore,False,,,
closedApp,1750325024.92164,,whastapp,Asia/Singapore,False,,,
openedApp,1750325293.929212,6.0,whastapp,Asia/Singapore,False,breathingExercise,Message,
closedApp,1750325321.3808908,,whastapp,Asia/Singapore,False,,,
openedApp,1750329118.505518,6.0,outlook,Asia/Singapore,False,breathingExercise,Stay In the Loop,
closedApp,1750329149.1055942,,outlook,Asia/Singapore,False,,,
closedApp,1750329217.279568,,outlook,Asia/Singapore,False,,,
openedApp,1750329554.461739,6.0,whastapp,Asia/Singapore,False,breathingExercise,Stay In the Loop,
dismissedAppOpening,1750330943.875101,6.0,outlook,Asia/Singapore,False,breathingExercise,,
closedApp,1750329723.5762382,,whastapp,Asia/Singapore,False,,,
closedApp,1750329853.370363,,whastapp,Asia/Singapore,False,,,
closedApp,1750330612.374871,,whastapp,Asia/Singapore,False,,,
openedApp,1750333498.26566,6.0,whastapp,Asia/Singapore,False,breathingExercise,Message,
closedApp,1750333515.7973099,,whastapp,Asia/Singapore,False,,,
closedApp,1750333595.308375,,whastapp,Asia/Singapore,False,,,
closedApp,1750333748.192641,,whastapp,Asia/Singapore,False,,,
closedApp,1750333948.0015879,,whastapp,Asia/Singapore,False,,,
closedApp,1750334859.380429,,whastapp,Asia/Singapore,False,,,
openedApp,1750335425.557209,6.0,whastapp,Asia/Singapore,False,breathingExercise,Stay In the Loop,
closedApp,1750335476.902525,,whastapp,Asia/Singapore,False,,,
closedApp,1750335486.021326,,whastapp,Asia/Singapore,False,,,
closedApp,1750335560.13874,,whastapp,Asia/Singapore,False,,,
dismissedAppOpening,1750335961.267019,6.0,whastapp,Asia/Singapore,False,breathingExercise,,
openedApp,1750341392.76985,6.0,whastapp,Asia/Singapore,False,breathingExercise,Stay In the Loop,
closedApp,1750341418.269912,,whastapp,Asia/Singapore,False,,,
openedApp,1750341432.317618,6.0,facebook,Asia/Singapore,False,breathingExercise,Stay In the Loop,
openedApp,1750349909.568891,6.0,whastapp,Asia/Singapore,False,breathingExercise,Stay In the Loop,
closedApp,1750349948.814005,,whastapp,Asia/Singapore,False,,,
openedApp,1750380089.676735,6.0,whastapp,Asia/Singapore,False,breathingExercise,Stay In the Loop,
closedApp,1750380102.3031769,,whastapp,Asia/Singapore,False,,,
dismissedAppOpening,1750385276.6488419,6.0,whastapp,Asia/Singapore,False,breathingExercise,,
openedApp,1750385307.539702,6.0,whastapp,Asia/Singapore,False,breathingExercise,Toilet,
dismissedAppOpening,1750385621.913196,6.0,whastapp,Asia/Singapore,False,breathingExercise,,
openedApp,1750385905.7570848,6.0,whastapp,Asia/Singapore,False,breathingExercise,Stay In the Loop,
closedApp,1750385921.621258,,whastapp,Asia/Singapore,False,,,
openedApp,1750386210.783267,6.0,whastapp,Asia/Singapore,False,breathingExercise,Stay In the Loop,
closedApp,1750386542.049965,,whastapp,Asia/Singapore,False,,,
closedApp,1750387623.40665,,whastapp,Asia/Singapore,False,,,
openedApp,1750391496.791084,6.0,whastapp,Asia/Singapore,False,breathingExercise,Stay In the Loop,
