timestamp,resolution,timezone,isReIntervention,app,interventionType,interventionDuration
1750626847.538779,dismissedAppOpening,Europe/Berlin,False,whastapp,breathingExercise,6
1750626852.431285,dismissedAppOpening,Europe/Berlin,False,whastapp,breathingExercise,6
1750626869.5007339,openedApp,Europe/Berlin,False,whastapp,breathingExercise,6
1750627326.786118,openedApp,Europe/Berlin,False,whastapp,breathingExercise,6
1750627547.267103,dismissedAppOpening,Europe/Berlin,False,whastapp,breathingExercise,6
1750627566.1399689,dismissedAppOpening,Europe/Berlin,False,whastapp,breathingExercise,6
1750627569.899154,dismissedAppOpening,Europe/Berlin,False,whastapp,breathingExercise,6
1750627578.887568,dismissedAppOpening,Europe/Berlin,False,whastapp,breathingExercise,6
1750627585.259359,dismissedAppOpening,Europe/Berlin,False,whastapp,breathingExercise,6
1750627600.693633,dismissedAppOpening,Europe/Berlin,False,whastapp,breathingExercise,6
1750627606.698437,dismissedAppOpening,Europe/Berlin,False,whastapp,breathingExercise,6
1750627658.791327,openedApp,Europe/Berlin,False,whastapp,breathingExercise,6
1750627742.1379418,dismissedAppOpening,Europe/Berlin,False,whastapp,breathingExercise,6
1750627773.683659,openedApp,Europe/Berlin,False,whastapp,breathingExercise,6
1750628222.057736,dismissedAppOpening,Europe/Berlin,False,whastapp,breathingExercise,6
1750628472.584291,openedApp,Europe/Berlin,False,whastapp,breathingExercise,6
1750628540.603313,openedApp,Europe/Berlin,False,whastapp,breathingExercise,6
1750628637.188333,openedApp,Europe/Berlin,False,whastapp,breathingExercise,6
1750655460.503854,openedApp,Europe/Berlin,False,whastapp,breathingExercise,6
1750656474.565939,openedApp,Europe/Berlin,False,whastapp,breathingExercise,6
1750656584.4162269,dismissedAppOpening,Europe/Berlin,False,whastapp,breathingExercise,6
1750656984.318551,dismissedAppOpening,Europe/Berlin,False,whastapp,breathingExercise,6
1750656998.533361,openedApp,Europe/Berlin,False,whastapp,breathingExercise,6
1750657044.499222,dismissedAppOpening,Europe/Berlin,False,whastapp,breathingExercise,6
1750657850.393254,openedApp,Europe/Berlin,False,whastapp,breathingExercise,6
1750658344.209784,dismissedAppOpening,Europe/Berlin,False,whastapp,breathingExercise,6
1750658368.1655722,openedApp,Europe/Berlin,False,whastapp,breathingExercise,6
1750658987.609143,openedApp,Europe/Berlin,False,whastapp,breathingExercise,6
1750659025.951314,dismissedAppOpening,Europe/Berlin,False,whastapp,breathingExercise,6
1750659122.1059508,openedApp,Europe/Berlin,False,whastapp,breathingExercise,6
1750659145.046932,dismissedAppOpening,Europe/Berlin,False,whastapp,breathingExercise,6
1750659146.578179,dismissedAppOpening,Europe/Berlin,False,whastapp,breathingExercise,6
1750659165.144243,openedApp,Europe/Berlin,False,whastapp,breathingExercise,6
1750659384.5333009,openedApp,Europe/Berlin,False,whastapp,breathingExercise,6
1750660584.1461349,openedApp,Europe/Berlin,False,whastapp,breathingExercise,6
1750660681.9108648,openedApp,Europe/Berlin,False,whastapp,breathingExercise,6
1750660824.408742,openedApp,Europe/Berlin,False,whastapp,breathingExercise,6
1750663692.7917519,dismissedAppOpening,Europe/Berlin,False,whastapp,breathingExercise,6
1750663693.002284,dismissedAppOpening,Europe/Berlin,False,whastapp,breathingExercise,6
1750663713.091949,openedApp,Europe/Berlin,False,whastapp,breathingExercise,6
1750663809.510978,dismissedAppOpening,Europe/Berlin,False,whastapp,breathingExercise,6
1750663816.3262138,dismissedAppOpening,Europe/Berlin,False,whastapp,breathingExercise,6
1750663834.840632,openedApp,Europe/Berlin,False,whastapp,breathingExercise,6
