resolution,timezone,app,timestamp,interventionDuration,isReIntervention,interventionType,purpose
openedApp,Europe/Zurich,instagram,1753181065.738875,6,False,breathingExercise,
openedApp,Europe/Zurich,instagram,1753188250.120841,6,False,breathingExercise,
openedApp,Europe/Zurich,instagram,1753194109.551883,6,False,breathingExercise,
openedApp,Europe/Zurich,instagram,1753208311.992517,6,False,breathingExercise,
dismissedAppOpening,Europe/Zurich,instagram,1753208913.532292,6,False,breathingExercise,
openedApp,Europe/Zurich,instagram,1753209667.5030398,6,False,breathingExercise,
openedApp,Europe/Zurich,instagram,1753216948.5838552,6,False,breathingExercise,
openedApp,Europe/Zurich,instagram,1753248553.664644,6,False,breathingExercise,
openedApp,Europe/Zurich,instagram,1753261969.6409578,6,False,breathingExercise,
dismissedAppOpening,Europe/Zurich,instagram,1753262380.797163,6,False,breathingExercise,
openedApp,Europe/Zurich,instagram,1753270217.905621,6,False,breathingExercise,
openedApp,Europe/Zurich,instagram,1753272432.670761,6,False,breathingExercise,
openedApp,Europe/Zurich,instagram,1753272915.264174,6,False,breathingExercise,
dismissedAppOpening,Europe/Zurich,instagram,1753275760.564698,6,False,breathingExercise,
openedApp,Europe/Zurich,instagram,1753281902.390929,6,False,breathingExercise,
openedApp,Europe/Zurich,instagram,1753283683.407237,6,False,breathingExercise,
openedApp,Europe/Zurich,instagram,1753298599.599258,6,False,breathingExercise,
openedApp,Europe/Zurich,instagram,1753299357.935525,6,False,breathingExercise,
openedApp,Europe/Zurich,instagram,1753335069.431243,6,False,breathingExercise,
openedApp,Europe/Zurich,instagram,1753385424.172683,6,False,breathingExercise,Escape / Avoid
openedApp,Europe/Zurich,instagram,1753421807.89647,6,False,breathingExercise,Stay In the Loop
dismissedAppOpening,Europe/Zurich,instagram,1753421950.9733071,6,False,breathingExercise,
openedApp,Europe/Zurich,instagram,1753429988.22579,6,False,breathingExercise,Stay In the Loop
openedApp,Europe/Zurich,instagram,1753440092.0725698,6,False,breathingExercise,Escape / Avoid
dismissedAppOpening,Europe/Zurich,instagram,1753442660.4446511,6,False,breathingExercise,
openedApp,Europe/Zurich,instagram,1753442797.881895,6,False,breathingExercise,
dismissedAppOpening,Europe/Zurich,instagram,1753473821.5547628,6,False,breathingExercise,
openedApp,Europe/Zurich,instagram,1753474882.485344,6,False,breathingExercise,
openedApp,Europe/Zurich,instagram,1753475423.808249,6,False,breathingExercise,
openedApp,Europe/Zurich,instagram,1753475756.413422,6,False,breathingExercise,
openedApp,Europe/Zurich,instagram,1753477120.2489119,6,False,breathingExercise,
openedApp,Europe/Zurich,instagram,1753535426.606886,6,False,breathingExercise,
dismissedAppOpening,Europe/Zurich,instagram,1753544538.365909,6,False,breathingExercise,
openedApp,Europe/Zurich,instagram,1753564949.151027,6,False,breathingExercise,
openedApp,Europe/Zurich,instagram,1753611134.514954,6,False,breathingExercise,
openedApp,Europe/Zurich,instagram,1753619108.1131182,6,False,breathingExercise,
openedApp,Europe/Zurich,instagram,1753623260.0790892,6,False,breathingExercise,
dismissedAppOpening,Europe/Zurich,instagram,1753624836.734103,6,False,breathingExercise,
openedApp,Europe/Zurich,instagram,1753629857.2122421,6,False,breathingExercise,
dismissedAppOpening,Europe/Zurich,instagram,1753630064.97955,6,False,breathingExercise,
openedApp,Europe/Zurich,instagram,1753637278.525391,6,False,breathingExercise,
openedApp,Europe/Zurich,instagram,1753691445.772774,6,False,breathingExercise,
openedApp,Europe/Zurich,instagram,1753696042.412271,6,False,breathingExercise,
openedApp,Europe/Zurich,instagram,1753703614.537188,6,False,breathingExercise,
dismissedAppOpening,Europe/Zurich,instagram,1753707111.514481,6,False,breathingExercise,
openedApp,Europe/Zurich,instagram,1753709565.227485,6,False,breathingExercise,
openedApp,Europe/Zurich,instagram,1753712903.035234,6,False,breathingExercise,
openedApp,Europe/Zurich,instagram,1753725287.677388,6,False,breathingExercise,
openedApp,Europe/Zurich,instagram,1753778728.901414,6,False,breathingExercise,
openedApp,Europe/Zurich,instagram,1753790936.817379,6,False,breathingExercise,
openedApp,Europe/Zurich,instagram,1753798920.047176,6,False,breathingExercise,
openedApp,Europe/Zurich,instagram,1753801035.1712599,6,False,breathingExercise,
openedApp,Europe/Zurich,instagram,1753863873.146013,6,False,breathingExercise,
openedApp,Europe/Zurich,instagram,1753883668.298163,6,False,breathingExercise,
openedApp,Europe/Zurich,instagram,1753888083.234743,6,False,breathingExercise,
dismissedAppOpening,Europe/Zurich,instagram,1753908713.422996,6,False,breathingExercise,
openedApp,Europe/Zurich,instagram,1753940670.5893679,6,False,breathingExercise,
openedApp,Europe/Zurich,instagram,1753963183.846377,6,False,breathingExercise,
openedApp,Europe/Zurich,instagram,1753984873.295603,6,False,breathingExercise,
openedApp,Europe/Zurich,instagram,1753993788.215256,6,False,breathingExercise,
openedApp,Europe/Zurich,instagram,1754055330.688844,6,False,breathingExercise,
openedApp,Europe/Zurich,instagram,1754069171.840846,6,False,breathingExercise,
openedApp,Europe/Zurich,instagram,1754078327.796047,6,False,breathingExercise,
openedApp,Europe/Zurich,instagram,1754084534.911254,6,False,breathingExercise,
openedApp,Europe/Zurich,instagram,1754117690.119255,6,False,breathingExercise,
openedApp,Europe/Zurich,instagram,1754142381.651443,6,False,breathingExercise,
openedApp,Europe/Zurich,instagram,1754146913.988837,6,False,breathingExercise,
openedApp,Europe/Zurich,instagram,1754147580.585288,6,False,breathingExercise,
openedApp,Europe/Zurich,instagram,1754151432.2200441,6,False,breathingExercise,
openedApp,Europe/Zurich,instagram,1754152656.2024221,6,False,breathingExercise,
