isReIntervention,timezone,timestamp,interventionType,app,resolution,interventionDuration,timeIntervalUntilReIntervention
False,Europe/Berlin,1750743965.028363,breathingExercise,instagram,dismissedAppOpening,6.0,
False,Europe/Berlin,1750744083.726375,breathingExercise,instagram,dismissedAppOpening,6.0,
False,Europe/Berlin,1750744816.5831351,breathingExercise,instagram,dismissedAppOpening,6.0,
False,Europe/Berlin,1750759925.734693,breathingExercise,instagram,openedApp,6.0,
False,Europe/Berlin,1750760019.0587769,,instagram,closedApp,,
False,Europe/Berlin,1750761728.0642838,breathingExercise,instagram,openedApp,6.0,
False,Europe/Berlin,1750762003.464727,,instagram,closedApp,,
False,Europe/Berlin,1750762434.715811,breathingExercise,instagram,openedApp,6.0,
False,Europe/Berlin,1750762456.530789,,instagram,closedApp,,
False,Europe/Berlin,1750762480.363676,breathingExercise,instagram,openedApp,6.0,
False,Europe/Berlin,1750762699.11056,,instagram,closedApp,,
False,Europe/Berlin,1750762728.148937,breathingExercise,instagram,dismissedAppOpening,6.0,
False,Europe/Berlin,1750763348.0045729,,instagram,closedApp,,
False,Europe/Berlin,1750765467.116241,breathingExercise,youtube,openedApp,6.0,
False,Europe/Berlin,1750765483.917019,breathingExercise,youtube,dismissedAppOpening,6.0,
False,Europe/Berlin,1750765500.58173,breathingExercise,youtube,openedApp,6.0,
False,Europe/Berlin,1750765844.9001598,,youtube,closedApp,,
False,Europe/Berlin,1750770587.164411,breathingExercise,instagram,openedApp,6.0,
False,Europe/Berlin,1750770775.821723,,instagram,closedApp,,
False,Europe/Berlin,1750771135.4086719,breathingExercise,instagram,dismissedAppOpening,6.0,
False,Europe/Berlin,1750771406.4324288,breathingExercise,instagram,dismissedAppOpening,6.0,
False,Europe/Berlin,1750771424.332892,breathingExercise,instagram,openedApp,6.0,
False,Europe/Berlin,1750771627.049223,,instagram,closedApp,,
False,Europe/Berlin,1750771647.95963,breathingExercise,youtube,openedApp,6.0,
False,Europe/Berlin,1750771937.502452,,youtube,closedApp,,
False,Europe/Berlin,1750771954.798802,breathingExercise,youtube,dismissedAppOpening,6.0,
False,Europe/Berlin,1750772219.7428532,breathingExercise,instagram,dismissedAppOpening,6.0,
False,Europe/Berlin,1750772229.304191,breathingExercise,instagram,dismissedAppOpening,6.0,
False,Europe/Berlin,1750779082.374402,breathingExercise,instagram,dismissedAppOpening,6.0,
False,Europe/Berlin,1750786828.062255,,youtube,closedApp,,
False,Europe/Berlin,1750790913.9551868,breathingExercise,instagram,openedApp,6.0,540.0
False,Europe/Berlin,1750791463.8720431,,instagram,closedApp,,
False,Europe/Berlin,1750792610.5070372,breathingExercise,instagram,openedApp,6.0,60.0
True,Europe/Berlin,1750792719.1214972,breathingExercise,instagram,openedApp,6.0,60.0
False,Europe/Berlin,1750792677.7885032,,instagram,closedApp,,
False,Europe/Berlin,1750792757.0237,,instagram,closedApp,,
False,Europe/Berlin,1750832198.468968,breathingExercise,linkedin,openedApp,6.0,
False,Europe/Berlin,1750832291.6808891,,linkedin,closedApp,,
False,Europe/Berlin,1750832328.1356359,breathingExercise,linkedin,openedApp,6.0,
False,Europe/Berlin,1750832352.9460459,,linkedin,closedApp,,
False,Europe/Berlin,1750832370.574254,breathingExercise,instagram,openedApp,6.0,540.0
False,Europe/Berlin,1750832385.88519,,instagram,closedApp,,
False,Europe/Berlin,1750832411.273786,breathingExercise,instagram,openedApp,6.0,1260.0
False,Europe/Berlin,1750832711.6376472,,instagram,closedApp,,
False,Europe/Berlin,1750832740.631431,breathingExercise,linkedin,openedApp,6.0,
False,Europe/Berlin,1750832910.098651,,linkedin,closedApp,,
False,Europe/Berlin,1750833615.5959659,breathingExercise,youtube,openedApp,6.0,
False,Europe/Berlin,1750833632.471503,,youtube,closedApp,,
False,Europe/Berlin,1750842291.983479,breathingExercise,instagram,dismissedAppOpening,6.0,
False,Europe/Berlin,1750862393.7417789,breathingExercise,instagram,dismissedAppOpening,6.0,
False,Europe/Berlin,1750862419.121019,breathingExercise,instagram,openedApp,6.0,360.0
False,Europe/Berlin,1750862495.316965,,instagram,closedApp,,
False,Europe/Berlin,1750862516.195386,breathingExercise,instagram,openedApp,6.0,60.0
False,Europe/Berlin,1750862588.1829,,instagram,closedApp,,
False,Europe/Berlin,1750864057.1674662,breathingExercise,instagram,openedApp,6.0,420.0
False,Europe/Berlin,1750864394.1110969,,instagram,closedApp,,
False,Europe/Berlin,1750918187.924371,breathingExercise,instagram,dismissedAppOpening,6.0,
False,Europe/Berlin,1750918191.1888928,breathingExercise,instagram,dismissedAppOpening,6.0,
False,Europe/Berlin,1750918219.270053,breathingExercise,instagram,openedApp,6.0,360.0
False,Europe/Berlin,1750918420.102381,,instagram,closedApp,,
False,Europe/Berlin,1750918679.4281092,breathingExercise,linkedin,dismissedAppOpening,6.0,
False,Europe/Berlin,1750920908.1208448,breathingExercise,youtube,openedApp,6.0,
False,Europe/Berlin,1750922298.88233,,youtube,closedApp,,
False,Europe/Berlin,1750940831.285783,breathingExercise,instagram,openedApp,6.0,420.0
False,Europe/Berlin,1750940872.993655,,instagram,closedApp,,
False,Europe/Berlin,1750940896.7674232,,instagram,closedApp,,
False,Europe/Berlin,1750948304.015588,breathingExercise,instagram,openedApp,6.0,540.0
False,Europe/Berlin,1750948633.419621,,instagram,closedApp,,
False,Europe/Berlin,1750953596.4971929,breathingExercise,instagram,openedApp,6.0,720.0
False,Europe/Berlin,1750953734.555231,,instagram,closedApp,,
False,Europe/Berlin,1750957267.82036,breathingExercise,instagram,openedApp,6.0,60.0
False,Europe/Berlin,1750957332.139602,,instagram,closedApp,,
False,Europe/Berlin,1750957340.2567139,breathingExercise,instagram,dismissedAppOpening,6.0,
False,Europe/Berlin,1750957349.139086,breathingExercise,instagram,dismissedAppOpening,6.0,
False,Europe/Berlin,1750957359.397754,breathingExercise,instagram,dismissedAppOpening,6.0,
False,Europe/Berlin,1750957362.030943,breathingExercise,instagram,dismissedAppOpening,6.0,
False,Europe/Berlin,1750957365.817233,breathingExercise,instagram,dismissedAppOpening,6.0,
False,Europe/Berlin,1750957433.4259682,breathingExercise,instagram,dismissedAppOpening,6.0,
False,Europe/Berlin,1750970510.557831,breathingExercise,instagram,openedApp,6.0,240.0
True,Europe/Berlin,1750970770.388699,breathingExercise,instagram,openedApp,6.0,60.0
False,Europe/Berlin,1750970758.8247461,,instagram,closedApp,,
True,Europe/Berlin,1750970847.933371,breathingExercise,instagram,openedApp,6.0,60.0
False,Europe/Berlin,1750970835.538784,,instagram,closedApp,,
False,Europe/Berlin,1750970869.9472342,,instagram,closedApp,,
False,Europe/Berlin,1750970980.905717,,instagram,closedApp,,
False,Europe/Berlin,1750972057.862858,breathingExercise,instagram,dismissedAppOpening,6.0,
False,Europe/Berlin,1751002361.482131,breathingExercise,instagram,openedApp,6.0,240.0
False,Europe/Berlin,1751002516.266927,,instagram,closedApp,,
False,Europe/Berlin,1751002609.587294,breathingExercise,instagram,dismissedAppOpening,6.0,
False,Europe/Berlin,1751002644.071939,breathingExercise,instagram,openedApp,6.0,660.0
False,Europe/Berlin,1751002762.184669,,instagram,closedApp,,
False,Europe/Berlin,1751002875.508122,,instagram,closedApp,,
False,Europe/Berlin,1751005270.356663,breathingExercise,instagram,openedApp,6.0,480.0
False,Europe/Berlin,1751005759.9751859,,instagram,closedApp,,
False,Europe/Berlin,1751009956.281523,,instagram,closedApp,,
False,Europe/Berlin,1751009962.518933,breathingExercise,instagram,dismissedAppOpening,6.0,
False,Europe/Berlin,1751015524.442914,breathingExercise,instagram,dismissedAppOpening,6.0,
False,Europe/Berlin,1751019334.634606,breathingExercise,instagram,dismissedAppOpening,6.0,
False,Europe/Berlin,1751026774.3387918,breathingExercise,instagram,openedApp,6.0,660.0
False,Europe/Berlin,1751026810.757752,,instagram,closedApp,,
False,Europe/Berlin,1751028083.987458,breathingExercise,instagram,openedApp,6.0,780.0
False,Europe/Berlin,1751028149.812041,,instagram,closedApp,,
False,Europe/Berlin,1751028177.7683458,breathingExercise,instagram,openedApp,6.0,780.0
False,Europe/Berlin,1751028369.869741,,instagram,closedApp,,
False,Europe/Berlin,1751028411.051818,breathingExercise,instagram,openedApp,6.0,60.0
True,Europe/Berlin,1751028506.7859812,breathingExercise,instagram,openedApp,6.0,660.0
False,Europe/Berlin,1751028481.898201,,instagram,closedApp,,
False,Europe/Berlin,1751028544.389357,,instagram,closedApp,,
False,Europe/Berlin,1751028863.065258,breathingExercise,instagram,openedApp,6.0,240.0
False,Europe/Berlin,1751030232.892638,breathingExercise,instagram,dismissedAppOpening,6.0,
False,Europe/Berlin,1751029021.180557,,instagram,closedApp,,
False,Europe/Berlin,1751116225.082961,breathingExercise,instagram,openedApp,6.0,780.0
False,Europe/Berlin,1751116748.0372062,,instagram,closedApp,,
False,Europe/Berlin,1751122710.769898,breathingExercise,instagram,openedApp,6.0,240.0
False,Europe/Berlin,1751122734.507876,,instagram,closedApp,,
False,Europe/Berlin,1751127009.41744,breathingExercise,instagram,openedApp,6.0,480.0
False,Europe/Berlin,1751127187.59334,,instagram,closedApp,,
False,Europe/Berlin,1751135616.6705189,breathingExercise,youtube,openedApp,6.0,
False,Europe/Berlin,1751135639.42907,,youtube,closedApp,,
False,Europe/Berlin,1751135776.4123979,,youtube,closedApp,,
False,Europe/Berlin,1751141804.0909638,breathingExercise,instagram,openedApp,6.0,480.0
False,Europe/Berlin,1751141862.42384,,instagram,closedApp,,
False,Europe/Berlin,1751141910.616658,,instagram,closedApp,,
False,Europe/Berlin,1751142155.0861468,breathingExercise,instagram,dismissedAppOpening,6.0,
False,Europe/Berlin,1751142180.704327,breathingExercise,instagram,openedApp,6.0,780.0
False,Europe/Berlin,1751142286.779118,,instagram,closedApp,,
False,Europe/Berlin,1751142331.5144892,,instagram,closedApp,,
False,Europe/Berlin,1751142501.398032,,instagram,closedApp,,
False,Europe/Berlin,1751143046.348731,,instagram,closedApp,,
False,Europe/Berlin,1751146933.480262,,instagram,closedApp,,
False,Europe/Berlin,1751146933.9735389,,instagram,closedApp,,
False,Europe/Berlin,1751148560.8176332,breathingExercise,instagram,openedApp,6.0,660.0
False,Europe/Berlin,1751148894.1859,,instagram,closedApp,,
False,Europe/Berlin,1751148914.551111,,instagram,closedApp,,
False,Europe/Berlin,1751182396.972724,breathingExercise,instagram,openedApp,6.0,360.0
False,Europe/Berlin,1751183804.225224,breathingExercise,instagram,dismissedAppOpening,6.0,
