interventionDuration,interventionType,timestamp,app,isReIntervention,timezone,resolution,timeIntervalUntilReIntervention
6,breathingExercise,1752436246.274421,instagram,False,America/Chicago,dismissedAppOpening,
6,breathingExercise,1752436370.3231769,instagram,False,America/Chicago,openedApp,
6,breathingExercise,1752453116.094458,instagram,False,America/Chicago,openedApp,
6,breathingExercise,1752522274.378948,instagram,False,America/Chicago,openedApp,
6,breathingExercise,1752536084.9862928,instagram,False,America/Chicago,openedApp,
6,breathingExercise,1752605425.272129,instagram,False,America/Chicago,openedApp,
6,breathingExercise,1752613869.94309,instagram,False,America/Chicago,openedApp,
6,breathingExercise,1752614091.519752,instagram,False,America/Chicago,openedApp,
6,breathingExercise,1752618130.123904,instagram,False,America/Chicago,openedApp,
6,breathingExercise,1752622241.084659,instagram,False,America/Chicago,openedApp,
6,breathingExercise,1752625822.831476,instagram,False,America/Chicago,dismissedAppOpening,
6,breathingExercise,1752630777.388173,instagram,False,America/Chicago,openedApp,
6,breathingExercise,1752682134.2470121,instagram,False,America/Chicago,openedApp,
6,breathingExercise,1752709902.141979,instagram,False,America/Chicago,openedApp,
6,breathingExercise,1752714572.802751,instagram,False,America/Chicago,openedApp,
6,breathingExercise,1752721484.331888,instagram,False,America/Chicago,openedApp,
6,breathingExercise,1752724266.0475578,instagram,False,America/Chicago,openedApp,
6,breathingExercise,1752771746.5521069,instagram,False,America/Chicago,openedApp,
6,breathingExercise,1752776559.190933,instagram,False,America/Chicago,openedApp,
6,breathingExercise,1752776728.716023,instagram,False,America/Chicago,dismissedAppOpening,
6,breathingExercise,1752776743.6724272,instagram,False,America/Chicago,openedApp,
6,breathingExercise,1752778759.9815469,instagram,False,America/Chicago,openedApp,
6,breathingExercise,1752786475.106936,instagram,False,America/Chicago,openedApp,
6,breathingExercise,1752786764.069944,instagram,False,America/Chicago,openedApp,
6,breathingExercise,1752794316.2043319,instagram,False,America/Chicago,openedApp,
6,breathingExercise,1752801696.441673,instagram,False,America/Chicago,openedApp,
6,breathingExercise,1752846037.423408,instagram,False,America/Chicago,openedApp,
6,breathingExercise,1752871572.389048,instagram,False,America/Chicago,openedApp,
6,breathingExercise,1752895232.703731,instagram,False,America/Chicago,openedApp,
6,breathingExercise,1752952376.5384169,instagram,False,America/Chicago,openedApp,
6,breathingExercise,1752972917.25439,instagram,False,America/Chicago,openedApp,
6,breathingExercise,1752976544.175449,instagram,False,America/Chicago,openedApp,
6,breathingExercise,1753023034.1513891,instagram,False,America/Chicago,openedApp,
6,breathingExercise,1753024352.104511,instagram,False,America/Chicago,openedApp,
6,breathingExercise,1753063071.484758,instagram,False,America/Chicago,openedApp,
6,breathingExercise,1753098665.367846,instagram,False,America/Chicago,openedApp,
6,breathingExercise,1753231037.561143,instagram,False,America/Chicago,openedApp,
6,breathingExercise,1753283677.941474,instagram,False,America/Chicago,openedApp,
6,breathingExercise,1753286760.15092,instagram,False,America/Chicago,openedApp,
6,breathingExercise,1753296954.311283,instagram,False,America/Chicago,openedApp,
6,breathingExercise,1753298773.808687,instagram,False,America/Chicago,openedApp,
6,breathingExercise,1753303473.8394299,instagram,False,America/Chicago,openedApp,
6,breathingExercise,1753303610.290812,instagram,False,America/Chicago,openedApp,
6,breathingExercise,1753312042.679313,instagram,False,America/Chicago,openedApp,
6,breathingExercise,1753324134.044207,instagram,False,America/Chicago,dismissedAppOpening,
6,breathingExercise,1753324289.090461,instagram,False,America/Chicago,openedApp,
6,breathingExercise,1753326759.687656,instagram,False,America/Chicago,openedApp,
6,breathingExercise,1753328688.4698548,instagram,False,America/Chicago,openedApp,
6,breathingExercise,1753379220.314786,instagram,False,America/Chicago,openedApp,
6,breathingExercise,1753382873.296867,instagram,False,America/Chicago,dismissedAppOpening,
6,breathingExercise,1753382975.9002619,instagram,False,America/Chicago,openedApp,
6,breathingExercise,1753393004.759892,instagram,False,America/Chicago,openedApp,
6,breathingExercise,1753393482.452673,instagram,False,America/Chicago,openedApp,240.0
6,breathingExercise,1753393822.752734,instagram,False,America/Chicago,dismissedAppOpening,
6,breathingExercise,1753394035.533581,instagram,False,America/Chicago,openedApp,600.0
6,breathingExercise,1753394868.5278912,instagram,False,America/Chicago,openedApp,480.0
6,breathingExercise,1753405059.270359,instagram,False,America/Chicago,dismissedAppOpening,
6,breathingExercise,1753405198.454228,instagram,False,America/Chicago,openedApp,900.0
6,breathingExercise,1753405375.543416,instagram,False,America/Chicago,openedApp,480.0
6,breathingExercise,1753407309.899025,instagram,False,America/Chicago,dismissedAppOpening,
6,breathingExercise,1753407402.417307,instagram,False,America/Chicago,openedApp,900.0
6,breathingExercise,1753407812.4469109,instagram,False,America/Chicago,openedApp,900.0
6,breathingExercise,1753412379.550919,instagram,False,America/Chicago,openedApp,480.0
6,breathingExercise,1753413005.279763,instagram,False,America/Chicago,openedApp,120.0
6,breathingExercise,1753413147.1596742,instagram,True,America/Chicago,openedApp,180.0
6,breathingExercise,1753415849.979364,instagram,False,America/Chicago,openedApp,480.0
6,breathingExercise,1753457200.912986,instagram,False,America/Chicago,openedApp,900.0
6,breathingExercise,1753464284.5515451,instagram,False,America/Chicago,openedApp,900.0
6,breathingExercise,1753470071.329925,instagram,False,America/Chicago,openedApp,300.0
6,breathingExercise,1753471287.511821,instagram,False,America/Chicago,openedApp,300.0
6,breathingExercise,1753471610.444296,instagram,True,America/Chicago,openedApp,300.0
6,breathingExercise,1753472955.696742,instagram,False,America/Chicago,openedApp,720.0
6,breathingExercise,1753477072.621072,instagram,False,America/Chicago,openedApp,300.0
6,breathingExercise,1753477397.158759,instagram,True,America/Chicago,openedApp,360.0
6,breathingExercise,1753477580.182307,instagram,False,America/Chicago,openedApp,360.0
6,breathingExercise,1753477959.947341,instagram,True,America/Chicago,openedApp,300.0
6,breathingExercise,1753478274.6614342,instagram,True,America/Chicago,openedApp,240.0
6,breathingExercise,1753478530.511229,instagram,True,America/Chicago,openedApp,360.0
6,breathingExercise,1753485217.052901,instagram,False,America/Chicago,openedApp,900.0
6,breathingExercise,1753485506.7028,instagram,False,America/Chicago,dismissedAppOpening,
6,breathingExercise,1753485528.1453109,instagram,False,America/Chicago,openedApp,900.0
6,breathingExercise,1753492557.965996,instagram,False,America/Chicago,openedApp,900.0
