interventionDuration,resolution,interventionType,timestamp,timezone,isReIntervention,app
6,dismissedAppOpening,breathingExercise,1750154901.887712,Asia/Kuala_Lumpur,False,youtube
6,dismissedAppOpening,breathingExercise,1750154960.417149,Asia/Kuala_Lumpur,False,youtube
6,dismissedAppOpening,breathingExercise,1750155286.695961,Asia/Kuala_Lumpur,False,instagram
6,openedApp,breathingExercise,1750156518.0627341,Asia/Kuala_Lumpur,False,youtube
6,dismissedAppOpening,breathingExercise,1750156977.680184,Asia/Kuala_Lumpur,False,youtube
6,openedApp,breathingExercise,1750156993.291367,Asia/Kuala_Lumpur,False,youtube
6,openedApp,breathingExercise,1750157417.29806,Asia/Kuala_Lumpur,False,youtube
6,openedApp,breathingExercise,1750157424.88265,Asia/Kuala_Lumpur,False,youtube
6,openedApp,breathingExercise,1750157424.896429,Asia/Kuala_Lumpur,False,youtube
6,openedApp,breathingExercise,1750157424.899455,Asia/Kuala_Lumpur,False,youtube
6,openedApp,breathingExercise,1750157424.9025102,Asia/Kuala_Lumpur,False,youtube
6,openedApp,breathingExercise,1750157424.907627,Asia/Kuala_Lumpur,False,youtube
6,openedApp,breathingExercise,1750157424.914326,Asia/Kuala_Lumpur,False,youtube
6,openedApp,breathingExercise,1750159950.023964,Asia/Kuala_Lumpur,False,instagram
6,dismissedAppOpening,breathingExercise,1750160429.028328,Asia/Kuala_Lumpur,False,instagram
6,dismissedAppOpening,breathingExercise,1750165218.967688,Asia/Kuala_Lumpur,False,instagram
6,dismissedAppOpening,breathingExercise,1750166385.893467,Asia/Kuala_Lumpur,False,youtube
6,openedApp,breathingExercise,1750170894.026612,Asia/Kuala_Lumpur,False,instagram
6,dismissedAppOpening,breathingExercise,1750172098.963048,Asia/Kuala_Lumpur,False,instagram
6,dismissedAppOpening,breathingExercise,1750209449.191263,Asia/Kuala_Lumpur,False,youtube
6,dismissedAppOpening,breathingExercise,1750220825.896986,Asia/Kuala_Lumpur,False,instagram
6,openedApp,breathingExercise,1750222532.2025971,Asia/Kuala_Lumpur,False,instagram
6,openedApp,breathingExercise,1750222806.1722322,Asia/Kuala_Lumpur,False,instagram
6,dismissedAppOpening,breathingExercise,1750223031.7713408,Asia/Kuala_Lumpur,False,youtube
6,dismissedAppOpening,breathingExercise,1750241044.203295,Asia/Kuala_Lumpur,False,youtube
6,openedApp,breathingExercise,1750243997.342082,Asia/Kuala_Lumpur,False,youtube
6,dismissedAppOpening,breathingExercise,1750244079.95209,Asia/Kuala_Lumpur,False,youtube
6,dismissedAppOpening,breathingExercise,1750244125.523497,Asia/Kuala_Lumpur,False,youtube
6,openedApp,breathingExercise,1750244937.7364368,Asia/Kuala_Lumpur,False,instagram
6,openedApp,breathingExercise,1750248649.276614,Asia/Kuala_Lumpur,False,youtube
6,openedApp,breathingExercise,1750249955.566309,Asia/Kuala_Lumpur,False,youtube
6,openedApp,breathingExercise,1750261558.497153,Asia/Kuala_Lumpur,False,youtube
6,dismissedAppOpening,breathingExercise,1750263203.699071,Asia/Kuala_Lumpur,False,youtube
6,openedApp,breathingExercise,1750298737.1785579,Asia/Kuala_Lumpur,False,instagram
6,dismissedAppOpening,breathingExercise,1750299988.170502,Asia/Kuala_Lumpur,False,instagram
6,dismissedAppOpening,breathingExercise,1750299992.765923,Asia/Kuala_Lumpur,False,instagram
6,openedApp,breathingExercise,1750304560.87584,Asia/Kuala_Lumpur,False,youtube
6,openedApp,breathingExercise,1750305601.591619,Asia/Kuala_Lumpur,False,youtube
6,openedApp,breathingExercise,1750306067.383177,Asia/Kuala_Lumpur,False,youtube
