resolution,timezone,app,isReIntervention,interventionDuration,timestamp,interventionType,purpose,timeIntervalUntilReIntervention
dismissedAppOpening,Europe/Vilnius,instagram,False,3.0,1749066500.9826899,breathingExercise,,
openedApp,Europe/Vilnius,telegram,False,3.0,1749066545.7432199,breathingExercise,Написать сообщение,
closedApp,Europe/Vilnius,telegram,False,,1749066610.198164,,,
dismissedAppOpening,Europe/Vilnius,tikTok,False,3.0,1749066650.616156,breathingExercise,,
openedApp,Europe/Vilnius,tikTok,False,3.0,1749066683.425006,breathingExercise,Оставайтесь в курсе событий,120.0
openedApp,Europe/Vilnius,telegram,False,3.0,1749067194.98172,breathingExercise,Проверять лайки,
closedApp,Europe/Vilnius,telegram,False,,1749067244.586827,,,
openedApp,Europe/Vilnius,telegram,False,3.0,1749096615.1604729,breathingExercise,Написать сообщение,
closedApp,Europe/Vilnius,telegram,False,,1749096647.468474,,,
dismissedAppOpening,Europe/Vilnius,threads,False,3.0,1749098300.583318,breathingExercise,,
openedApp,Europe/Vilnius,telegram,False,3.0,1749098717.2606869,breathingExercise,"Проверять соцсети того, кто нравится",
closedApp,Europe/Vilnius,telegram,False,,1749098770.99716,,,
openedApp,Europe/Vilnius,tikTok,False,3.0,1749099423.695335,breathingExercise,Развлечься,240.0
dismissedAppOpening,Europe/Vilnius,threads,False,3.0,1749100071.0092301,breathingExercise,,
openedApp,Europe/Vilnius,tikTok,False,3.0,1749101263.0743232,breathingExercise,В туалете,240.0
openedApp,Europe/Vilnius,telegram,False,3.0,1749103905.95379,breathingExercise,Написать сообщение,
closedApp,Europe/Vilnius,telegram,False,,1749103919.7582731,,,
closedApp,Europe/Vilnius,telegram,False,,1749104827.809598,,,
closedApp,Europe/Vilnius,telegram,False,,1749104966.682795,,,
dismissedAppOpening,Europe/Vilnius,telegram,False,3.0,1749111210.859342,breathingExercise,,
openedApp,Europe/Vilnius,telegram,False,3.0,1749111234.5764961,breathingExercise,Написать сообщение,
closedApp,Europe/Vilnius,telegram,False,,1749111317.999621,,,
closedApp,Europe/Vilnius,telegram,False,,1749111347.999889,,,
openedApp,Europe/Vilnius,telegram,False,3.0,1749111589.178611,breathingExercise,Написать сообщение,
closedApp,Europe/Vilnius,telegram,False,,1749111678.479701,,,
closedApp,Europe/Vilnius,telegram,False,,1749111810.7232928,,,
dismissedAppOpening,Europe/Vilnius,instagram,False,3.0,1749113555.2473059,breathingExercise,,
openedApp,Europe/Vilnius,instagram,False,3.0,1749113567.9640899,breathingExercise,Развлечься,60.0
openedApp,Europe/Vilnius,instagram,False,3.0,1749113687.1315851,breathingExercise,Поискать информацию,600.0
dismissedAppOpening,Europe/Vilnius,instagram,False,3.0,1749114923.875856,breathingExercise,,
openedApp,Europe/Vilnius,telegram,False,3.0,1749114959.415736,breathingExercise,Написать сообщение,
closedApp,Europe/Vilnius,telegram,False,,1749114994.45955,,,
closedApp,Europe/Vilnius,telegram,False,,1749115429.923531,,,
dismissedAppOpening,Europe/Vilnius,instagram,False,3.0,1749115432.5760531,breathingExercise,,
openedApp,Europe/Vilnius,tikTok,False,3.0,1749115457.612226,breathingExercise,Оставайтесь в курсе событий,600.0
openedApp,Europe/Vilnius,instagram,False,3.0,1749115671.6705341,breathingExercise,Поискать информацию,600.0
openedApp,Europe/Vilnius,tikTok,False,3.0,1749115764.1618881,breathingExercise,Поискать информацию,180.0
dismissedAppOpening,Europe/Vilnius,tikTok,False,3.0,1749117847.468008,breathingExercise,,
openedApp,Europe/Vilnius,tikTok,False,3.0,1749117915.838099,breathingExercise,Оставайтесь в курсе событий,600.0
dismissedAppOpening,Europe/Vilnius,tikTok,False,3.0,1749118110.6203241,breathingExercise,,
dismissedAppOpening,Europe/Vilnius,tikTok,False,3.0,1749118187.588558,breathingExercise,,
openedApp,Europe/Vilnius,instagram,False,3.0,1749118225.75578,breathingExercise,Поискать информацию,600.0
openedApp,Europe/Vilnius,tikTok,False,3.0,1749118405.613117,breathingExercise,Поискать информацию,600.0
dismissedAppOpening,Europe/Vilnius,instagram,False,3.0,1749119793.780498,breathingExercise,,
openedApp,Europe/Vilnius,threads,False,3.0,1749122233.0232658,breathingExercise,Поискать информацию,
openedApp,Europe/Vilnius,telegram,False,3.0,1749122938.042845,breathingExercise,Поискать информацию,
closedApp,Europe/Vilnius,telegram,False,,1749123068.73821,,,
closedApp,Europe/Vilnius,telegram,False,,1749123424.136754,,,
openedApp,Europe/Vilnius,telegram,False,3.0,1749125164.128572,breathingExercise,Поискать информацию,
closedApp,Europe/Vilnius,telegram,False,,1749125868.37098,,,
dismissedAppOpening,Europe/Vilnius,instagram,False,3.0,1749126705.92271,breathingExercise,,
openedApp,Europe/Vilnius,telegram,False,3.0,1749126717.0935102,breathingExercise,Поискать информацию,
closedApp,Europe/Vilnius,telegram,False,,1749126840.064143,,,
dismissedAppOpening,Europe/Vilnius,instagram,False,3.0,1749128532.853884,breathingExercise,,
dismissedAppOpening,Europe/Vilnius,instagram,False,3.0,1749128931.4462829,breathingExercise,,
openedApp,Europe/Vilnius,telegram,False,3.0,1749129030.543525,breathingExercise,В туалете,
closedApp,Europe/Vilnius,telegram,False,,1749129056.5843391,,,
dismissedAppOpening,Europe/Vilnius,instagram,False,3.0,1749129058.9317222,breathingExercise,,
dismissedAppOpening,Europe/Vilnius,instagram,False,3.0,1749129087.9397058,breathingExercise,,
dismissedAppOpening,Europe/Vilnius,threads,False,3.0,1749129203.842259,breathingExercise,,
openedApp,Europe/Vilnius,telegram,False,3.0,1749130298.6887789,breathingExercise,Написать сообщение,
closedApp,Europe/Vilnius,telegram,False,,1749132118.901946,,,
dismissedAppOpening,Europe/Vilnius,tikTok,False,3.0,1749132724.0573502,breathingExercise,,
dismissedAppOpening,Europe/Vilnius,tikTok,False,3.0,1749132794.353335,breathingExercise,,
openedApp,Europe/Vilnius,telegram,False,3.0,1749133039.737185,breathingExercise,Написать сообщение,
closedApp,Europe/Vilnius,telegram,False,,1749133057.660953,,,
closedApp,Europe/Vilnius,telegram,False,,1749133146.9862971,,,
closedApp,Europe/Vilnius,telegram,False,,1749133236.0058742,,,
dismissedAppOpening,Europe/Vilnius,tikTok,False,3.0,1749133239.525085,breathingExercise,,
dismissedAppOpening,Europe/Vilnius,tikTok,False,3.0,1749133427.185485,breathingExercise,,
dismissedAppOpening,Europe/Vilnius,tikTok,False,3.0,1749133431.020549,breathingExercise,,
dismissedAppOpening,Europe/Vilnius,tikTok,False,3.0,1749133529.489245,breathingExercise,,
openedApp,Europe/Vilnius,telegram,False,3.0,1749134727.609292,breathingExercise,Написать сообщение,
openedApp,Europe/Vilnius,instagram,False,3.0,1749137448.0799232,breathingExercise,Поискать информацию,600.0
openedApp,Europe/Vilnius,instagram,False,3.0,1749142313.478972,breathingExercise,Оставайтесь в курсе событий,600.0
dismissedAppOpening,Europe/Vilnius,tikTok,False,3.0,1749142795.004211,breathingExercise,,
openedApp,Europe/Vilnius,tikTok,False,3.0,1749142986.922151,breathingExercise,Развлечься,240.0
dismissedAppOpening,Europe/Vilnius,telegram,False,3.0,1749143480.019069,breathingExercise,,
dismissedAppOpening,Europe/Vilnius,tikTok,False,3.0,1749144285.524873,breathingExercise,,
dismissedAppOpening,Europe/Vilnius,telegram,False,3.0,1749149186.1404638,breathingExercise,,
dismissedAppOpening,Europe/Vilnius,telegram,False,3.0,1749149187.809063,breathingExercise,,
openedApp,Europe/Vilnius,telegram,False,3.0,1749149203.5524402,breathingExercise,В туалете,
openedApp,Europe/Vilnius,instagram,False,3.0,1749152076.249928,breathingExercise,Оставайтесь в курсе событий,240.0
openedApp,Europe/Vilnius,threads,False,3.0,1749152160.878284,breathingExercise,Развлечься,
openedApp,Europe/Vilnius,instagram,False,3.0,1749152377.517438,breathingExercise,Написать сообщение,180.0
openedApp,Europe/Vilnius,tikTok,False,3.0,1749154890.145349,breathingExercise,Развлечься,180.0
openedApp,Europe/Vilnius,tikTok,True,3.0,1749155091.541359,breathingExercise,Развлечься,120.0
openedApp,Europe/Vilnius,telegram,False,3.0,1749155219.4441261,breathingExercise,Написать сообщение,
closedApp,Europe/Vilnius,telegram,False,,1749155243.273181,,,
dismissedAppOpening,Europe/Vilnius,instagram,False,3.0,1749155245.1875648,breathingExercise,,
dismissedAppOpening,Europe/Vilnius,tikTok,False,3.0,1749155341.6608849,breathingExercise,,
openedApp,Europe/Vilnius,telegram,False,3.0,1749180388.478641,breathingExercise,Написать сообщение,
closedApp,Europe/Vilnius,telegram,False,,1749180412.614583,,,
closedApp,Europe/Vilnius,telegram,False,,1749180484.997442,,,
closedApp,Europe/Vilnius,telegram,False,,1749180660.038485,,,
openedApp,Europe/Vilnius,instagram,False,3.0,1749180673.244235,breathingExercise,Оставайтесь в курсе событий,180.0
dismissedAppOpening,Europe/Vilnius,instagram,False,3.0,1749181398.8565578,breathingExercise,,
dismissedAppOpening,Europe/Vilnius,tikTok,False,3.0,1749183261.284236,breathingExercise,,
openedApp,Europe/Vilnius,telegram,False,3.0,1749184691.619028,breathingExercise,Написать сообщение,
closedApp,Europe/Vilnius,telegram,False,,1749184719.711273,,,
closedApp,Europe/Vilnius,telegram,False,,1749184894.3121781,,,
dismissedAppOpening,Europe/Vilnius,instagram,False,3.0,1749184899.507327,breathingExercise,,
dismissedAppOpening,Europe/Vilnius,instagram,False,3.0,1749185001.3900151,breathingExercise,,
dismissedAppOpening,Europe/Vilnius,instagram,False,3.0,1749186711.9232621,breathingExercise,,
openedApp,Europe/Vilnius,tikTok,False,3.0,1749186974.416928,breathingExercise,В туалете,180.0
openedApp,Europe/Vilnius,telegram,False,3.0,1749187106.661889,breathingExercise,Написать сообщение,
closedApp,Europe/Vilnius,telegram,False,,1749187155.765784,,,
openedApp,Europe/Vilnius,tikTok,False,3.0,1749187179.9785728,breathingExercise,В туалете,60.0
dismissedAppOpening,Europe/Vilnius,telegram,False,3.0,1749187670.641537,breathingExercise,,
openedApp,Europe/Vilnius,telegram,False,3.0,1749187685.510988,breathingExercise,Написать сообщение,
dismissedAppOpening,Europe/Vilnius,threads,False,3.0,1749187751.818135,breathingExercise,,
closedApp,Europe/Vilnius,telegram,False,,1749187704.194329,,,
closedApp,Europe/Vilnius,telegram,False,,1749187745.049662,,,
closedApp,Europe/Vilnius,telegram,False,,1749188036.33476,,,
closedApp,Europe/Vilnius,telegram,False,,1749188066.880261,,,
closedApp,Europe/Vilnius,telegram,False,,1749188109.022294,,,
closedApp,Europe/Vilnius,telegram,False,,1749188879.2280111,,,
closedApp,Europe/Vilnius,telegram,False,,1749190083.2196531,,,
closedApp,Europe/Vilnius,telegram,False,,1749190113.0169811,,,
dismissedAppOpening,Europe/Vilnius,instagram,False,3.0,1749192782.0005322,breathingExercise,,
dismissedAppOpening,Europe/Vilnius,instagram,False,3.0,1749192784.8244572,breathingExercise,,
dismissedAppOpening,Europe/Vilnius,instagram,False,3.0,1749192789.724735,breathingExercise,,
openedApp,Europe/Vilnius,telegram,False,3.0,1749194384.726131,breathingExercise,Поискать информацию,
dismissedAppOpening,Europe/Vilnius,telegram,False,3.0,1749194778.555801,breathingExercise,,
openedApp,Europe/Vilnius,telegram,False,3.0,1749196196.4925299,breathingExercise,Поискать информацию,
closedApp,Europe/Vilnius,telegram,False,,1749196257.70428,,,
openedApp,Europe/Vilnius,instagram,False,3.0,1749196727.20806,breathingExercise,Сбежать от реальности/дел,180.0
openedApp,Europe/Vilnius,telegram,False,3.0,1749196875.139711,breathingExercise,Поискать информацию,
openedApp,Europe/Vilnius,telegram,False,3.0,1749198830.665586,breathingExercise,Поискать информацию,
dismissedAppOpening,Europe/Vilnius,tikTok,False,3.0,1749199983.974268,breathingExercise,,
closedApp,Europe/Vilnius,telegram,False,,1749198881.655599,,,
closedApp,Europe/Vilnius,telegram,False,,1749198965.756091,,,
closedApp,Europe/Vilnius,telegram,False,,1749199066.4387732,,,
closedApp,Europe/Vilnius,telegram,False,,1749199086.8613749,,,
dismissedAppOpening,Europe/Vilnius,instagram,False,3.0,1749200720.3989182,breathingExercise,,
dismissedAppOpening,Europe/Vilnius,tikTok,False,3.0,1749200778.322719,breathingExercise,,
dismissedAppOpening,Europe/Vilnius,instagram,False,3.0,1749201480.296562,breathingExercise,,
dismissedAppOpening,Europe/Vilnius,instagram,False,3.0,1749202881.244835,breathingExercise,,
dismissedAppOpening,Europe/Vilnius,instagram,False,3.0,1749204506.987685,breathingExercise,,
dismissedAppOpening,Europe/Vilnius,instagram,False,3.0,1749204537.7190251,breathingExercise,,
dismissedAppOpening,Europe/Vilnius,instagram,False,3.0,1749204572.0403872,breathingExercise,,
dismissedAppOpening,Europe/Vilnius,instagram,False,3.0,1749206568.316627,breathingExercise,,
dismissedAppOpening,Europe/Vilnius,instagram,False,3.0,1749206687.826292,breathingExercise,,
openedApp,Europe/Vilnius,instagram,False,3.0,1749206707.17458,breathingExercise,Оставайтесь в курсе событий,180.0
openedApp,Europe/Vilnius,telegram,False,3.0,1749208728.176611,breathingExercise,Написать сообщение,
closedApp,Europe/Vilnius,telegram,False,,1749208799.142809,,,
closedApp,Europe/Vilnius,telegram,False,,1749208992.923516,,,
closedApp,Europe/Vilnius,telegram,False,,1749209209.134022,,,
closedApp,Europe/Vilnius,telegram,False,,1749209251.539041,,,
dismissedAppOpening,Europe/Vilnius,instagram,False,3.0,1749209254.530939,breathingExercise,,
dismissedAppOpening,Europe/Vilnius,threads,False,3.0,1749209257.178848,breathingExercise,,
closedApp,Europe/Vilnius,telegram,False,,1749209330.661166,,,
dismissedAppOpening,Europe/Vilnius,instagram,False,3.0,1749209332.722879,breathingExercise,,
dismissedAppOpening,Europe/Vilnius,telegram,False,3.0,1749212496.95117,breathingExercise,,
openedApp,Europe/Vilnius,tikTok,False,3.0,1749218557.602377,breathingExercise,Развлечься,600.0
openedApp,Europe/Vilnius,telegram,False,3.0,1749218687.272705,breathingExercise,Написать сообщение,
closedApp,Europe/Vilnius,telegram,False,,1749218756.931044,,,
openedApp,Europe/Vilnius,tikTok,False,3.0,1749218771.0033011,breathingExercise,Написать сообщение,240.0
closedApp,Europe/Vilnius,telegram,False,,1749218825.110948,,,
closedApp,Europe/Vilnius,telegram,False,,1749218894.735962,,,
closedApp,Europe/Vilnius,telegram,False,,1749218922.2302098,,,
closedApp,Europe/Vilnius,telegram,False,,1749219125.5243778,,,
closedApp,Europe/Vilnius,telegram,False,,1749219154.620552,,,
closedApp,Europe/Vilnius,telegram,False,,1749219219.581867,,,
dismissedAppOpening,Europe/Vilnius,telegram,False,3.0,1749219627.663127,breathingExercise,,
dismissedAppOpening,Europe/Vilnius,telegram,False,3.0,1749219895.782059,breathingExercise,,
dismissedAppOpening,Europe/Vilnius,tikTok,False,3.0,1749220105.148538,breathingExercise,,
openedApp,Europe/Vilnius,telegram,False,3.0,1749220335.945329,breathingExercise,Поискать информацию,
closedApp,Europe/Vilnius,telegram,False,,1749220367.250288,,,
dismissedAppOpening,Europe/Vilnius,instagram,False,3.0,1749220375.532177,breathingExercise,,
openedApp,Europe/Vilnius,instagram,False,3.0,1749220394.390036,breathingExercise,Оставайтесь в курсе событий,180.0
dismissedAppOpening,Europe/Vilnius,threads,False,3.0,1749220642.4470248,breathingExercise,,
openedApp,Europe/Vilnius,instagram,False,3.0,1749220678.311596,breathingExercise,Развлечься,120.0
dismissedAppOpening,Europe/Vilnius,instagram,False,3.0,1749220912.705718,breathingExercise,,
dismissedAppOpening,Europe/Vilnius,instagram,False,3.0,1749220931.382112,breathingExercise,,
openedApp,Europe/Vilnius,telegram,False,3.0,1749221178.327631,breathingExercise,Написать сообщение,
closedApp,Europe/Vilnius,telegram,False,,1749221284.638339,,,
closedApp,Europe/Vilnius,telegram,False,,1749221313.2230802,,,
openedApp,Europe/Vilnius,telegram,False,3.0,1749221727.547941,breathingExercise,Написать сообщение,
openedApp,Europe/Vilnius,telegram,False,3.0,1749223648.326974,breathingExercise,Поискать информацию,
closedApp,Europe/Vilnius,telegram,False,,1749221758.761199,,,
closedApp,Europe/Vilnius,telegram,False,,1749221816.209313,,,
closedApp,Europe/Vilnius,telegram,False,,1749221831.5432549,,,
openedApp,Europe/Vilnius,telegram,False,3.0,1749224457.2585502,breathingExercise,Написать сообщение,
openedApp,Europe/Vilnius,threads,False,3.0,1749225841.248568,breathingExercise,Оставайтесь в курсе событий,
dismissedAppOpening,Europe/Vilnius,telegram,False,3.0,1749229060.258265,breathingExercise,,
openedApp,Europe/Vilnius,telegram,False,3.0,1749229072.7363439,breathingExercise,Поискать информацию,
closedApp,Europe/Vilnius,telegram,False,,1749229575.01933,,,
openedApp,Europe/Vilnius,telegram,False,3.0,1749230856.35209,breathingExercise,Опубликовать что-нибудь,
dismissedAppOpening,Europe/Vilnius,tikTok,False,3.0,1749233378.0352101,breathingExercise,,
dismissedAppOpening,Europe/Vilnius,instagram,False,3.0,1749234319.5263371,breathingExercise,,
dismissedAppOpening,Europe/Vilnius,tikTok,False,3.0,1749234353.2054071,breathingExercise,,
dismissedAppOpening,Europe/Vilnius,instagram,False,3.0,1749237555.680894,breathingExercise,,
openedApp,Europe/Vilnius,instagram,False,3.0,1749237644.856224,breathingExercise,Развлечься,600.0
openedApp,Europe/Vilnius,instagram,False,3.0,1749238409.797226,breathingExercise,Написать сообщение,240.0
openedApp,Europe/Vilnius,tikTok,False,3.0,1749241650.8671942,breathingExercise,Развлечься,240.0
openedApp,Europe/Vilnius,tikTok,True,3.0,1749241914.1785278,breathingExercise,Проверять лайки,600.0
openedApp,Europe/Vilnius,instagram,False,3.0,1749242281.518888,breathingExercise,Оставайтесь в курсе событий,240.0
openedApp,Europe/Vilnius,threads,False,3.0,1749242570.659089,breathingExercise,Оставайтесь в курсе событий,
dismissedAppOpening,Europe/Vilnius,instagram,False,3.0,1749242672.261263,breathingExercise,,
openedApp,Europe/Vilnius,telegram,False,3.0,1749243451.6513948,breathingExercise,Поискать информацию,
closedApp,Europe/Vilnius,telegram,False,,1749243658.988133,,,
openedApp,Europe/Vilnius,instagram,False,3.0,1749281797.0675569,breathingExercise,Оставайтесь в курсе событий,360.0
openedApp,Europe/Vilnius,instagram,False,3.0,1749282126.8125339,breathingExercise,Проверять лайки,420.0
openedApp,Europe/Vilnius,tikTok,False,3.0,1749282165.718871,breathingExercise,Поискать информацию,180.0
openedApp,Europe/Vilnius,tikTok,True,3.0,1749282363.800993,breathingExercise,Развлечься,240.0
dismissedAppOpening,Europe/Vilnius,instagram,False,3.0,1749282503.789174,breathingExercise,,
dismissedAppOpening,Europe/Vilnius,instagram,False,3.0,1749282506.473905,breathingExercise,,
openedApp,Europe/Vilnius,tikTok,False,3.0,1749288639.70369,breathingExercise,Проверять лайки,180.0
openedApp,Europe/Vilnius,telegram,False,3.0,1749291214.0486689,breathingExercise,Написать сообщение,
closedApp,Europe/Vilnius,telegram,False,,1749291236.569374,,,
closedApp,Europe/Vilnius,telegram,False,,1749291363.785933,,,
dismissedAppOpening,Europe/Vilnius,instagram,False,3.0,1749291365.502749,breathingExercise,,
openedApp,Europe/Vilnius,instagram,False,3.0,1749291377.8667212,breathingExercise,Развлечься,180.0
openedApp,Europe/Vilnius,telegram,False,3.0,1749291984.15619,breathingExercise,Написать сообщение,
openedApp,Europe/Vilnius,tikTok,False,3.0,1749292902.3846421,breathingExercise,Развлечься,600.0
dismissedAppOpening,Europe/Vilnius,tikTok,False,3.0,1749293149.15554,breathingExercise,,
openedApp,Europe/Vilnius,tikTok,False,3.0,1749293399.634074,breathingExercise,Развлечься,360.0
closedApp,Europe/Vilnius,tikTok,False,,1749293765.777045,,,
openedApp,Europe/Vilnius,instagram,False,3.0,1749293904.0841532,breathingExercise,Проверять лайки,180.0
closedApp,Europe/Vilnius,instagram,False,,1749293938.7751288,,,
closedApp,Europe/Vilnius,instagram,False,,1749294728.8920588,,,
openedApp,Europe/Vilnius,tikTok,False,3.0,1749294960.7454681,breathingExercise,Развлечься,120.0
closedApp,Europe/Vilnius,tikTok,False,,1749295017.463629,,,
openedApp,Europe/Vilnius,telegram,False,3.0,1749296803.1493979,breathingExercise,Поискать информацию,
closedApp,Europe/Vilnius,telegram,False,,1749296840.987411,,,
closedApp,Europe/Vilnius,telegram,False,,1749296882.219109,,,
closedApp,Europe/Vilnius,telegram,False,,1749298202.070931,,,
openedApp,Europe/Vilnius,telegram,False,3.0,1749299182.564188,breathingExercise,Написать сообщение,
closedApp,Europe/Vilnius,telegram,False,,1749299218.069837,,,
dismissedAppOpening,Europe/Vilnius,tikTok,False,3.0,1749299221.590503,breathingExercise,,
closedApp,Europe/Vilnius,telegram,False,,1749299256.117288,,,
closedApp,Europe/Vilnius,telegram,False,,1749299272.6822581,,,
dismissedAppOpening,Europe/Vilnius,instagram,False,3.0,1749300981.237987,breathingExercise,,
openedApp,Europe/Vilnius,telegram,False,3.0,1749301642.862313,breathingExercise,Написать сообщение,
closedApp,Europe/Vilnius,telegram,False,,1749301668.1189408,,,
closedApp,Europe/Vilnius,telegram,False,,1749301733.225522,,,
closedApp,Europe/Vilnius,telegram,False,,1749301750.6142821,,,
closedApp,Europe/Vilnius,telegram,False,,1749301779.896972,,,
closedApp,Europe/Vilnius,telegram,False,,1749301880.450216,,,
closedApp,Europe/Vilnius,telegram,False,,1749301929.958147,,,
closedApp,Europe/Vilnius,telegram,False,,1749302067.521339,,,
closedApp,Europe/Vilnius,telegram,False,,1749302093.4060001,,,
closedApp,Europe/Vilnius,telegram,False,,1749302143.930952,,,
dismissedAppOpening,Europe/Vilnius,instagram,False,3.0,1749302148.049988,breathingExercise,,
openedApp,Europe/Vilnius,instagram,False,3.0,1749302164.761127,breathingExercise,Развлечься,180.0
closedApp,Europe/Vilnius,instagram,False,,1749302179.185248,,,
dismissedAppOpening,Europe/Vilnius,instagram,False,3.0,1749303888.154443,breathingExercise,,
closedApp,Europe/Vilnius,instagram,False,,1749303945.031848,,,
dismissedAppOpening,Europe/Vilnius,instagram,False,3.0,1749304469.48699,breathingExercise,,
openedApp,Europe/Vilnius,instagram,False,3.0,1749307024.925815,breathingExercise,Оставайтесь в курсе событий,600.0
closedApp,Europe/Vilnius,instagram,False,,1749307086.3670611,,,
closedApp,Europe/Vilnius,instagram,False,,1749307126.129417,,,
closedApp,Europe/Vilnius,instagram,False,,1749307225.688667,,,
openedApp,Europe/Vilnius,instagram,False,3.0,1749310614.813455,breathingExercise,Скука,240.0
dismissedAppOpening,Europe/Vilnius,instagram,False,3.0,1749312347.9843001,breathingExercise,,
openedApp,Europe/Vilnius,instagram,False,3.0,1749312651.4911919,breathingExercise,Развлечься,60.0
closedApp,Europe/Vilnius,instagram,False,,1749312867.630995,,,
openedApp,Europe/Vilnius,telegram,False,3.0,1749312918.757039,breathingExercise,Написать сообщение,
closedApp,Europe/Vilnius,telegram,False,,1749312959.855845,,,
closedApp,Europe/Vilnius,telegram,False,,1749313005.86651,,,
dismissedAppOpening,Europe/Vilnius,tikTok,False,3.0,1749313625.609278,breathingExercise,,
openedApp,Europe/Vilnius,tikTok,False,3.0,1749316196.7879329,breathingExercise,Поискать информацию,180.0
closedApp,Europe/Vilnius,tikTok,False,,1749316259.3508701,,,
dismissedAppOpening,Europe/Vilnius,tikTok,False,3.0,1749319418.876845,breathingExercise,,
dismissedAppOpening,Europe/Vilnius,tikTok,False,3.0,1749319462.3970618,breathingExercise,,
openedApp,Europe/Vilnius,tikTok,False,3.0,1749319588.177777,breathingExercise,Поискать информацию,60.0
closedApp,Europe/Vilnius,tikTok,False,,1749319654.473856,,,
dismissedAppOpening,Europe/Vilnius,instagram,False,3.0,1749319960.0012832,breathingExercise,,
dismissedAppOpening,Europe/Vilnius,instagram,False,3.0,1749319963.0075479,breathingExercise,,
dismissedAppOpening,Europe/Vilnius,tikTok,False,3.0,1749320165.051295,breathingExercise,,
dismissedAppOpening,Europe/Vilnius,instagram,False,3.0,1749353254.323842,breathingExercise,,
dismissedAppOpening,Europe/Vilnius,telegram,False,3.0,1749353395.1447191,breathingExercise,,
openedApp,Europe/Vilnius,tikTok,False,3.0,1749354261.8254051,breathingExercise,Развлечься,240.0
closedApp,Europe/Vilnius,tikTok,False,,1749354467.02894,,,
openedApp,Europe/Vilnius,instagram,False,3.0,1749354511.29129,breathingExercise,Написать сообщение,120.0
closedApp,Europe/Vilnius,instagram,False,,1749354583.49967,,,
openedApp,Europe/Vilnius,telegram,False,3.0,1749354592.657579,breathingExercise,Развлечься,
closedApp,Europe/Vilnius,telegram,False,,1749354616.911755,,,
closedApp,Europe/Vilnius,telegram,False,,1749354647.04818,,,
openedApp,Europe/Vilnius,instagram,False,3.0,1749354788.0773978,breathingExercise,Опубликовать что-нибудь,600.0
closedApp,Europe/Vilnius,instagram,False,,1749355109.839686,,,
closedApp,Europe/Vilnius,instagram,False,,1749355158.029299,,,
openedApp,Europe/Vilnius,instagram,False,3.0,1749361293.8098779,breathingExercise,Поискать информацию,60.0
dismissedAppOpening,Europe/Vilnius,telegram,False,3.0,1749361957.835192,breathingExercise,,
dismissedAppOpening,Europe/Vilnius,instagram,False,3.0,1749361992.370078,breathingExercise,,
openedApp,Europe/Vilnius,tikTok,False,3.0,1749363456.007765,breathingExercise,Развлечься,300.0
closedApp,Europe/Vilnius,tikTok,False,,1749363569.721267,,,
openedApp,Europe/Vilnius,telegram,False,3.0,1749364144.997004,breathingExercise,Написать сообщение,
dismissedAppOpening,Europe/Vilnius,instagram,False,3.0,1749364159.464645,breathingExercise,,
dismissedAppOpening,Europe/Vilnius,instagram,False,3.0,1749364169.753747,breathingExercise,,
closedApp,Europe/Vilnius,telegram,False,,1749364162.986105,,,
closedApp,Europe/Vilnius,telegram,False,,1749364233.042068,,,
openedApp,Europe/Vilnius,instagram,False,3.0,1749364245.569392,breathingExercise,Написать сообщение,240.0
closedApp,Europe/Vilnius,instagram,False,,1749364341.314941,,,
dismissedAppOpening,Europe/Vilnius,threads,False,3.0,1749364344.374769,breathingExercise,,
openedApp,Europe/Vilnius,instagram,False,3.0,1749368708.0029979,breathingExercise,Поискать информацию,420.0
closedApp,Europe/Vilnius,instagram,False,,1749368819.0800939,,,
openedApp,Europe/Vilnius,telegram,False,3.0,1749370421.562443,breathingExercise,Написать сообщение,
closedApp,Europe/Vilnius,telegram,False,,1749370470.545702,,,
