timeIntervalUntilReIntervention,interventionType,timezone,resolution,timestamp,interventionDuration,app,isReIntervention
300.0,breathingExercise,America/Los_Angeles,openedApp,1751548532.227529,6.0,instagram,False
,,America/Los_Angeles,closedApp,1751548560.419765,,instagram,False
,breathingExercise,America/Los_Angeles,dismissedAppOpening,1751548586.746904,6.0,facebook,False
,breathingExercise,America/Los_Angeles,dismissedAppOpening,1751548854.230274,6.0,facebook,False
,breathingExercise,America/Los_Angeles,dismissedAppOpening,1751548870.093841,6.0,facebook,False
,breathingExercise,America/Los_Angeles,dismissedAppOpening,1751548954.569819,6.0,facebook,False
,breathingExercise,America/Los_Angeles,dismissedAppOpening,1751552820.881102,6.0,facebook,False
,breathingExercise,America/Los_Angeles,dismissedAppOpening,1751552940.146531,6.0,facebook,False
,breathingExercise,America/Los_Angeles,dismissedAppOpening,1751553238.2054749,6.0,facebook,False
,breathingExercise,America/Los_Angeles,dismissedAppOpening,1751553628.135579,6.0,facebook,False
,breathingExercise,America/Los_Angeles,dismissedAppOpening,1751557157.709398,6.0,facebook,False
,breathingExercise,America/Los_Angeles,dismissedAppOpening,1751557485.946111,6.0,facebook,False
,breathingExercise,America/Los_Angeles,dismissedAppOpening,1751557529.931401,6.0,facebook,False
300.0,breathingExercise,America/Los_Angeles,openedApp,1751557565.7770371,6.0,facebook,False
,,America/Los_Angeles,closedApp,1751557627.995578,,facebook,False
,breathingExercise,America/Los_Angeles,dismissedAppOpening,1751558036.2683249,6.0,facebook,False
,breathingExercise,America/Los_Angeles,dismissedAppOpening,1751559157.4211369,6.0,facebook,False
,breathingExercise,America/Los_Angeles,dismissedAppOpening,1751561769.444141,6.0,facebook,False
,breathingExercise,America/Los_Angeles,dismissedAppOpening,1751563047.458076,6.0,facebook,False
,breathingExercise,America/Los_Angeles,dismissedAppOpening,1751563217.034451,6.0,facebook,False
180.0,breathingExercise,America/Los_Angeles,openedApp,1751567923.864931,6.0,facebook,False
,breathingExercise,America/Los_Angeles,dismissedAppOpening,1751568195.950685,6.0,facebook,False
,breathingExercise,America/Los_Angeles,dismissedAppOpening,1751569026.989727,6.0,facebook,False
,breathingExercise,America/Los_Angeles,dismissedAppOpening,1751573529.215495,6.0,facebook,False
,breathingExercise,America/Los_Angeles,dismissedAppOpening,1751573612.528555,6.0,facebook,False
,breathingExercise,America/Los_Angeles,dismissedAppOpening,1751573615.662837,6.0,facebook,False
,breathingExercise,America/Los_Angeles,dismissedAppOpening,1751573738.4304152,6.0,facebook,False
300.0,breathingExercise,America/Los_Angeles,openedApp,1751573966.327495,6.0,facebook,False
