app,timezone,timestamp,isReIntervention,interventionType,interventionDuration,resolution,timeIntervalUntilReIntervention
tikTok,America/New_York,1749057662.755822,False,breathingExercise,6.0,dismissedAppOpening,
tikTok,America/New_York,1749059900.6208692,False,breathingExercise,6.0,openedApp,
tikTok,America/New_York,1749060486.465864,False,breathingExercise,6.0,dismissedAppOpening,
tikTok,America/New_York,1749065779.113344,False,breathingExercise,6.0,openedApp,
tikTok,America/New_York,1749065823.072329,False,breathingExercise,6.0,openedApp,
tikTok,America/New_York,1749065879.72417,False,breathingExercise,6.0,dismissedAppOpening,
tikTok,America/New_York,1749081224.8690472,False,breathingExercise,6.0,openedApp,
tikTok,America/New_York,1749122554.619316,False,breathingExercise,6.0,dismissedAppOpening,
tikTok,America/New_York,1749122567.940371,False,breathingExercise,6.0,openedApp,
tikTok,America/New_York,1749123462.155482,False,breathingExercise,6.0,openedApp,
tikTok,America/New_York,1749130557.170576,False,breathingExercise,6.0,openedApp,
tikTok,America/New_York,1749139047.271996,False,breathingExercise,6.0,openedApp,
tikTok,America/New_York,1749139550.83516,False,breathingExercise,6.0,dismissedAppOpening,
tikTok,America/New_York,1749139565.626707,False,breathingExercise,6.0,openedApp,
tikTok,America/New_York,1749140664.811902,False,breathingExercise,6.0,openedApp,
tikTok,America/New_York,1749147823.3832731,False,breathingExercise,6.0,openedApp,
tikTok,America/New_York,1749147984.110973,False,breathingExercise,6.0,openedApp,
tikTok,America/New_York,1749148105.6866698,False,breathingExercise,6.0,openedApp,
tikTok,America/New_York,1749158793.490391,False,breathingExercise,6.0,openedApp,
tikTok,America/New_York,1749159069.162794,False,breathingExercise,6.0,openedApp,
tikTok,America/New_York,1749164193.4277701,False,breathingExercise,6.0,openedApp,
tikTok,America/New_York,1749164771.1213021,False,breathingExercise,6.0,openedApp,
tikTok,America/New_York,1749165357.597423,False,breathingExercise,6.0,openedApp,
tikTok,America/New_York,1749167681.876412,False,breathingExercise,6.0,dismissedAppOpening,
tikTok,America/New_York,1749171792.285857,False,breathingExercise,6.0,openedApp,
tikTok,America/New_York,1749172101.572949,False,breathingExercise,6.0,openedApp,
tikTok,America/New_York,1749172301.34724,False,breathingExercise,6.0,openedApp,
tikTok,America/New_York,1749175909.410708,False,breathingExercise,6.0,dismissedAppOpening,
tikTok,America/New_York,1749175915.828098,False,breathingExercise,6.0,dismissedAppOpening,
tikTok,America/New_York,1749208389.253295,False,breathingExercise,6.0,openedApp,
tikTok,America/New_York,1749210364.2439442,False,breathingExercise,6.0,openedApp,
tikTok,America/New_York,1749227074.633442,False,breathingExercise,6.0,dismissedAppOpening,
tikTok,America/New_York,1749229663.0226312,False,breathingExercise,6.0,dismissedAppOpening,
tikTok,America/New_York,1749229878.093049,False,breathingExercise,6.0,dismissedAppOpening,
