timezone,interventionType,isReIntervention,app,resolution,timestamp,interventionDuration,purpose,timeIntervalUntilReIntervention
Europe/Brussels,breathingExercise,False,instagram,openedApp,1753004207.2039251,6.0,Entertainment,360.0
Europe/Brussels,breathingExercise,False,youtube,openedApp,1753009551.167593,6.0,Entertainment,1080.0
Europe/Brussels,,False,youtube,closedApp,1753009575.643005,,,
Europe/Brussels,,False,youtube,closedApp,1753010837.789151,,,
Europe/Brussels,breathingExercise,False,instagram,openedApp,1753011976.830239,6.0,Entertainment,600.0
Europe/Brussels,breathingExercise,False,youtube,openedApp,1753019468.855828,6.0,Entertainment,1020.0
Europe/Brussels,,False,youtube,closedApp,1753019582.2530231,,,
Europe/Brussels,,False,youtube,closedApp,1753020028.024198,,,
Europe/Brussels,,False,youtube,closedApp,1753022918.597204,,,
Europe/Brussels,,False,youtube,closedApp,1753023252.559929,,,
Europe/Brussels,,False,youtube,closedApp,1753024228.8328729,,,
Europe/Brussels,,False,youtube,closedApp,1753024868.2780972,,,
Europe/Brussels,,False,youtube,closedApp,1753025010.122778,,,
Europe/Brussels,breathingExercise,False,instagram,openedApp,1753025558.632801,6.0,Entertainment,360.0
Europe/Brussels,breathingExercise,False,instagram,openedApp,1753028942.3419929,6.0,Entertainment,600.0
Europe/Brussels,breathingExercise,False,instagram,openedApp,1753044071.461547,6.0,Entertainment,600.0
Europe/Brussels,breathingExercise,False,instagram,dismissedAppOpening,1753044359.811393,6.0,,
Europe/Brussels,breathingExercise,False,instagram,dismissedAppOpening,1753044509.802614,6.0,,
Europe/Brussels,breathingExercise,False,youtube,openedApp,1753044600.317651,6.0,Entertainment,1800.0
Europe/Brussels,,False,youtube,closedApp,1753045591.585466,,,
Europe/Brussels,breathingExercise,False,instagram,dismissedAppOpening,1753045717.634264,6.0,,
Europe/Brussels,breathingExercise,False,instagram,openedApp,1753045734.6278582,6.0,Entertainment,300.0
Europe/Brussels,breathingExercise,False,instagram,dismissedAppOpening,1753046077.54617,6.0,,
Europe/Brussels,breathingExercise,False,youtube,openedApp,1753046649.984686,6.0,Entertainment,1020.0
Europe/Brussels,,False,youtube,closedApp,1753046971.861114,,,
Europe/Brussels,,False,youtube,closedApp,1753047698.545274,,,
Europe/Brussels,breathingExercise,True,youtube,openedApp,1753047714.8287349,6.0,Entertainment,900.0
Europe/Brussels,,False,youtube,closedApp,1753048611.611786,,,
Europe/Brussels,breathingExercise,False,youtube,openedApp,1753051676.305887,6.0,Entertainment,780.0
Europe/Brussels,,False,youtube,closedApp,1753051701.557694,,,
Europe/Brussels,breathingExercise,False,youtube,openedApp,1753052234.793971,6.0,Entertainment,1800.0
Europe/Brussels,structured,False,instagram,dismissedByStructuredIntervention,1753081581.743299,,,
Europe/Brussels,,False,youtube,closedApp,1753054072.131044,,,
Europe/Brussels,,False,youtube,closedApp,1753054424.1048799,,,
Europe/Brussels,breathingExercise,False,instagram,openedApp,1753081900.85177,6.0,Entertainment,600.0
Europe/Brussels,structured,False,instagram,dismissedByStructuredIntervention,1753081901.006742,,,
Europe/Brussels,breathingExercise,False,instagram,openedApp,1753088487.07265,6.0,Message,300.0
Europe/Brussels,breathingExercise,False,instagram,dismissedAppOpening,1753116254.75554,6.0,,
Europe/Brussels,breathingExercise,False,instagram,openedApp,1753116269.922951,6.0,Entertainment,420.0
Europe/Brussels,breathingExercise,False,instagram,openedApp,1753123133.734153,6.0,Entertainment,600.0
Europe/Brussels,breathingExercise,False,instagram,openedApp,1753124414.891715,6.0,Entertainment,300.0
Europe/Brussels,breathingExercise,False,instagram,openedApp,1753124743.667438,6.0,Entertainment,420.0
Europe/Brussels,breathingExercise,False,instagram,openedApp,1753125339.854797,6.0,Entertainment,600.0
Europe/Brussels,breathingExercise,False,instagram,dismissedAppOpening,1753125831.072962,6.0,,
Europe/Brussels,breathingExercise,False,instagram,openedApp,1753130046.365075,6.0,Entertainment,300.0
Europe/Brussels,breathingExercise,False,youtube,openedApp,1753132047.749769,6.0,Entertainment,1800.0
Europe/Brussels,,False,youtube,closedApp,1753132165.646616,,,
Europe/Brussels,breathingExercise,False,youtube,dismissedAppOpening,1753132363.175395,6.0,,
Europe/Brussels,breathingExercise,False,youtube,openedApp,1753132471.26549,6.0,Entertainment,1800.0
Europe/Brussels,,False,youtube,closedApp,1753133304.737704,,,
Europe/Brussels,breathingExercise,False,instagram,openedApp,1753198884.130455,6.0,Entertainment,300.0
Europe/Brussels,structured,False,instagram,dismissedByStructuredIntervention,1753200310.742821,,,
Europe/Brussels,breathingExercise,False,instagram,openedApp,1753200344.8524709,6.0,Entertainment,420.0
Europe/Brussels,structured,False,instagram,dismissedByStructuredIntervention,1753200344.994007,,,
Europe/Brussels,breathingExercise,False,instagram,openedApp,1753203373.271813,6.0,Entertainment,600.0
Europe/Brussels,breathingExercise,False,instagram,dismissedAppOpening,1753203740.009202,6.0,,
Europe/Brussels,breathingExercise,False,instagram,openedApp,1753203760.72439,6.0,Entertainment,600.0
Europe/Brussels,breathingExercise,False,instagram,dismissedAppOpening,1753204688.406079,6.0,,
Europe/Brussels,breathingExercise,False,instagram,openedApp,1753204728.662136,6.0,Entertainment,600.0
Europe/Brussels,breathingExercise,False,instagram,openedApp,1753205457.933014,6.0,Entertainment,480.0
Europe/Brussels,structured,False,instagram,dismissedByStructuredIntervention,1753209676.282794,,,
Europe/Brussels,breathingExercise,False,instagram,openedApp,1753209708.798479,6.0,Entertainment,600.0
Europe/Brussels,structured,False,instagram,dismissedByStructuredIntervention,1753209708.984099,,,
Europe/Brussels,structured,False,instagram,dismissedByStructuredIntervention,1753209710.3167028,,,
Europe/Brussels,breathingExercise,False,instagram,openedApp,1753209755.4321442,6.0,Entertainment,600.0
Europe/Brussels,structured,False,instagram,dismissedByStructuredIntervention,1753209755.600169,,,
Europe/Brussels,breathingExercise,False,instagram,openedApp,1753210482.8509011,6.0,Entertainment,60.0
Europe/Brussels,breathingExercise,True,instagram,openedApp,1753210564.289997,6.0,Entertainment,360.0
Europe/Brussels,breathingExercise,False,instagram,dismissedAppOpening,1753211931.331029,6.0,,
Europe/Brussels,breathingExercise,False,youtube,openedApp,1753218795.307897,6.0,Entertainment,900.0
Europe/Brussels,,False,youtube,closedApp,1753218861.445967,,,
Europe/Brussels,,False,youtube,closedApp,1753218960.8185081,,,
Europe/Brussels,,False,youtube,closedApp,1753219898.529223,,,
Europe/Brussels,breathingExercise,True,youtube,openedApp,1753219913.979445,6.0,Entertainment,1800.0
Europe/Brussels,,False,youtube,closedApp,1753220430.963378,,,
Europe/Brussels,,False,youtube,closedApp,1753245041.0318332,,,
Europe/Brussels,breathingExercise,False,instagram,dismissedAppOpening,1753245157.00804,6.0,,
Europe/Brussels,breathingExercise,False,instagram,openedApp,1753245179.6321712,6.0,Entertainment,240.0
Europe/Brussels,breathingExercise,False,instagram,openedApp,1753252049.158667,6.0,Entertainment,600.0
Europe/Brussels,breathingExercise,False,instagram,dismissedAppOpening,1753255342.974751,6.0,,
Europe/Brussels,breathingExercise,False,instagram,openedApp,1753283743.7628732,6.0,Entertainment,600.0
Europe/Brussels,breathingExercise,False,instagram,openedApp,1753284302.104011,6.0,Entertainment,600.0
Europe/Brussels,breathingExercise,False,instagram,dismissedAppOpening,1753284522.336267,6.0,,
Europe/Brussels,breathingExercise,False,instagram,openedApp,1753284539.809026,6.0,Entertainment,360.0
Europe/Brussels,breathingExercise,False,instagram,openedApp,1753285076.956882,6.0,Entertainment,600.0
Europe/Brussels,breathingExercise,False,instagram,openedApp,1753285524.396538,6.0,Entertainment,180.0
Europe/Brussels,breathingExercise,False,instagram,openedApp,1753290171.475774,6.0,Entertainment,600.0
Europe/Brussels,breathingExercise,False,instagram,openedApp,1753290909.1415029,6.0,Entertainment,600.0
Europe/Brussels,breathingExercise,False,instagram,dismissedAppOpening,1753291285.163175,6.0,,
Europe/Brussels,breathingExercise,False,instagram,openedApp,1753292265.071957,6.0,Entertainment,600.0
Europe/Brussels,breathingExercise,False,youtube,openedApp,1753295797.154911,6.0,Entertainment,660.0
Europe/Brussels,breathingExercise,False,youtube,dismissedAppOpening,1753302581.3079572,6.0,,
Europe/Brussels,,False,youtube,closedApp,1753296442.348456,,,
Europe/Brussels,breathingExercise,False,youtube,openedApp,1753302603.479898,6.0,Entertainment,1800.0
Europe/Brussels,,False,youtube,closedApp,1753302812.204227,,,
Europe/Brussels,,False,youtube,closedApp,1753303040.317971,,,
Europe/Brussels,breathingExercise,False,youtube,openedApp,1753303359.3126988,6.0,Entertainment,1800.0
Europe/Brussels,,False,youtube,closedApp,1753304243.435587,,,
Europe/Brussels,,False,youtube,closedApp,1753307379.5359712,,,
Europe/Brussels,breathingExercise,False,youtube,openedApp,1753310081.6427479,6.0,Entertainment,1800.0
Europe/Brussels,,False,youtube,closedApp,1753310712.578623,,,
Europe/Brussels,,False,youtube,closedApp,1753311303.480861,,,
Europe/Brussels,breathingExercise,False,youtube,dismissedAppOpening,1753332991.001265,6.0,,
Europe/Brussels,breathingExercise,False,pinterest,openedApp,1753381698.641296,6.0,Entertainment,
Europe/Brussels,breathingExercise,False,pinterest,openedApp,1753382739.221901,6.0,Entertainment,
Europe/Brussels,breathingExercise,False,pinterest,openedApp,1753384035.823515,6.0,Entertainment,
Europe/Brussels,breathingExercise,False,pinterest,openedApp,1753384691.4329538,6.0,Entertainment,
Europe/Brussels,breathingExercise,False,youtube,openedApp,1753456449.681426,6.0,Entertainment,660.0
Europe/Brussels,,False,youtube,closedApp,1753456684.587061,,,
Europe/Brussels,breathingExercise,False,youtube,dismissedAppOpening,1753457155.669568,6.0,,
Europe/Brussels,breathingExercise,False,youtube,openedApp,1753457178.162827,6.0,Entertainment,1200.0
Europe/Brussels,breathingExercise,False,instagram,openedApp,1753460576.070859,6.0,Entertainment,600.0
Europe/Brussels,breathingExercise,False,instagram,dismissedAppOpening,1753462177.978753,6.0,,
Europe/Brussels,breathingExercise,False,instagram,dismissedAppOpening,1753463946.774846,6.0,,
Europe/Brussels,breathingExercise,False,youtube,dismissedAppOpening,1753463967.350216,6.0,,
Europe/Brussels,breathingExercise,False,youtube,openedApp,1753463987.7823648,6.0,Entertainment,1800.0
Europe/Brussels,,False,youtube,closedApp,1753464990.13429,,,
Europe/Brussels,breathingExercise,False,instagram,openedApp,1753468349.633264,6.0,Entertainment,60.0
Europe/Brussels,breathingExercise,True,instagram,openedApp,1753468437.8250751,6.0,Entertainment,600.0
Europe/Brussels,breathingExercise,False,instagram,dismissedAppOpening,1753468631.300376,6.0,,
Europe/Brussels,breathingExercise,False,instagram,openedApp,1753468661.338017,6.0,Entertainment,600.0
Europe/Brussels,breathingExercise,False,instagram,openedApp,1753475623.066386,6.0,Entertainment,600.0
Europe/Brussels,breathingExercise,False,youtube,openedApp,1753477337.3414469,6.0,Entertainment,600.0
Europe/Brussels,,False,youtube,closedApp,1753477406.175453,,,
Europe/Brussels,,False,youtube,closedApp,1753477951.478926,,,
Europe/Brussels,breathingExercise,True,youtube,openedApp,1753477975.986391,6.0,Entertainment,1800.0
Europe/Brussels,,False,youtube,closedApp,1753479962.494148,,,
Europe/Brussels,,False,youtube,closedApp,1753490852.528949,,,
Europe/Brussels,,False,youtube,closedApp,1753493983.573081,,,
Europe/Brussels,,False,youtube,closedApp,1753506927.314827,,,
Europe/Brussels,,False,youtube,closedApp,1753519039.803496,,,
Europe/Brussels,breathingExercise,False,instagram,dismissedAppOpening,1753533105.6430988,6.0,,
Europe/Brussels,breathingExercise,False,instagram,dismissedAppOpening,1753533141.874047,6.0,,
Europe/Brussels,breathingExercise,False,instagram,openedApp,1753533163.374454,6.0,Entertainment,600.0
Europe/Brussels,breathingExercise,False,instagram,openedApp,1753543264.050187,6.0,Entertainment,600.0
Europe/Brussels,breathingExercise,True,instagram,openedApp,1753543885.161231,6.0,Entertainment,300.0
Europe/Brussels,breathingExercise,False,instagram,openedApp,1753551471.391293,6.0,Entertainment,600.0
Europe/Brussels,breathingExercise,False,youtube,openedApp,1753560447.059418,6.0,Entertainment,1680.0
Europe/Brussels,,False,youtube,closedApp,1753561040.070158,,,
Europe/Brussels,,False,youtube,closedApp,1753561115.6128368,,,
Europe/Brussels,,False,youtube,closedApp,1753562002.535452,,,
Europe/Brussels,breathingExercise,False,youtube,openedApp,1753562829.918346,6.0,Entertainment,1800.0
Europe/Brussels,,False,youtube,closedApp,1753564638.560379,,,
Europe/Brussels,breathingExercise,False,youtube,openedApp,1753564699.138947,6.0,Entertainment,1800.0
Europe/Brussels,,False,youtube,closedApp,1753565348.212603,,,
Europe/Brussels,,False,youtube,closedApp,1753566504.666666,,,
Europe/Brussels,breathingExercise,True,youtube,openedApp,1753566523.4539099,6.0,Entertainment,360.0
Europe/Brussels,,False,youtube,closedApp,1753566792.224576,,,
Europe/Brussels,,False,youtube,closedApp,1753566867.8429232,,,
Europe/Brussels,breathingExercise,True,youtube,openedApp,1753566887.029336,6.0,Entertainment,1140.0
Europe/Brussels,,False,youtube,closedApp,1753567528.816996,,,
Europe/Brussels,,False,youtube,closedApp,1753567757.997342,,,
Europe/Brussels,,False,youtube,closedApp,1753568277.873489,,,
Europe/Brussels,breathingExercise,True,youtube,openedApp,1753568293.4022532,6.0,Entertainment,1800.0
Europe/Brussels,,False,youtube,closedApp,1753570137.253264,,,
Europe/Brussels,,False,youtube,closedApp,1753572476.9073482,,,
Europe/Brussels,breathingExercise,False,youtube,openedApp,1753572915.402494,6.0,Entertainment,1800.0
Europe/Brussels,,False,youtube,closedApp,1753572977.103085,,,
Europe/Brussels,,False,youtube,closedApp,1753574795.2502909,,,
Europe/Brussels,,False,youtube,closedApp,1753605045.252491,,,
Europe/Brussels,breathingExercise,False,youtube,dismissedAppOpening,1753608631.8745131,6.0,,
Europe/Brussels,breathingExercise,False,youtube,openedApp,1753608862.049255,6.0,Entertainment,480.0
Europe/Brussels,,False,youtube,closedApp,1753608999.6490312,,,
Europe/Brussels,,False,youtube,closedApp,1753609170.20966,,,
Europe/Brussels,breathingExercise,False,youtube,dismissedAppOpening,1753617764.4135962,6.0,,
Europe/Brussels,breathingExercise,False,youtube,dismissedAppOpening,1753617783.14992,6.0,,
Europe/Brussels,breathingExercise,False,youtube,dismissedAppOpening,1753618062.952944,6.0,,
Europe/Brussels,breathingExercise,False,youtube,openedApp,1753618086.214011,6.0,Entertainment,1800.0
Europe/Brussels,,False,youtube,closedApp,1753618369.395251,,,
Europe/Brussels,breathingExercise,False,instagram,openedApp,1753621594.451638,6.0,Entertainment,600.0
Europe/Brussels,breathingExercise,True,instagram,openedApp,1753622221.86046,6.0,Entertainment,600.0
Europe/Brussels,breathingExercise,True,instagram,openedApp,1753622980.296973,6.0,Entertainment,600.0
Europe/Brussels,breathingExercise,False,instagram,openedApp,1753623274.305851,6.0,Entertainment,600.0
Europe/Brussels,breathingExercise,True,instagram,openedApp,1753623892.984973,6.0,Entertainment,600.0
Europe/Brussels,breathingExercise,False,instagram,openedApp,1753624527.351495,6.0,Entertainment,600.0
Europe/Brussels,breathingExercise,False,instagram,openedApp,1753635229.1815639,6.0,Entertainment,540.0
Europe/Brussels,breathingExercise,False,youtube,openedApp,1753639911.938744,6.0,Entertainment,1800.0
Europe/Brussels,,False,youtube,closedApp,1753641057.265524,,,
Europe/Brussels,,False,youtube,closedApp,1753641412.264121,,,
Europe/Brussels,,False,youtube,closedApp,1753641479.234709,,,
Europe/Brussels,breathingExercise,False,youtube,dismissedAppOpening,1753642937.611278,6.0,,
Europe/Brussels,breathingExercise,False,youtube,openedApp,1753642979.5693622,6.0,Entertainment,1440.0
Europe/Brussels,,False,youtube,closedApp,1753643416.679034,,,
Europe/Brussels,,False,youtube,closedApp,1753644667.048861,,,
Europe/Brussels,,False,youtube,closedApp,1753681625.1076732,,,
Europe/Brussels,breathingExercise,False,instagram,openedApp,1753695220.488872,6.0,Entertainment,300.0
Europe/Brussels,breathingExercise,False,youtube,openedApp,1753701459.74752,6.0,Entertainment,840.0
Europe/Brussels,,False,youtube,closedApp,1753702315.139216,,,
Europe/Brussels,breathingExercise,True,youtube,openedApp,1753702339.447376,6.0,Entertainment,1800.0
Europe/Brussels,,False,youtube,closedApp,1753702676.136169,,,
Europe/Brussels,,False,youtube,closedApp,1753702681.293683,,,
Europe/Brussels,breathingExercise,False,instagram,openedApp,1753708658.273531,6.0,Entertainment,600.0
Europe/Brussels,breathingExercise,False,instagram,dismissedAppOpening,1753728848.7700129,6.0,,
Europe/Brussels,breathingExercise,False,youtube,openedApp,1753733836.8764992,6.0,Entertainment,1800.0
Europe/Brussels,,False,youtube,closedApp,1753734288.694779,,,
Europe/Brussels,breathingExercise,False,youtube,openedApp,1753734559.021934,6.0,Entertainment,1800.0
Europe/Brussels,,False,youtube,closedApp,1753735537.7676601,,,
Europe/Brussels,,False,youtube,closedApp,1753738705.828597,,,
Europe/Brussels,,False,youtube,closedApp,1753738890.787568,,,
Europe/Brussels,breathingExercise,False,youtube,openedApp,1753739099.179391,6.0,Entertainment,1260.0
Europe/Brussels,,False,youtube,closedApp,1753739118.5569348,,,
Europe/Brussels,breathingExercise,False,youtube,openedApp,1753739354.801657,6.0,Entertainment,1800.0
Europe/Brussels,breathingExercise,False,youtube,openedApp,1753739909.7017698,6.0,Entertainment,1800.0
Europe/Amsterdam,,False,youtube,closedApp,1753740888.469368,,,
Europe/Amsterdam,breathingExercise,False,instagram,openedApp,1753792775.649382,6.0,Entertainment,600.0
Europe/Brussels,breathingExercise,False,youtube,openedApp,1753812306.51619,6.0,Entertainment,1800.0
Europe/Brussels,,False,youtube,closedApp,1753813740.680604,,,
Europe/Brussels,breathingExercise,False,instagram,dismissedAppOpening,1753814854.873976,6.0,,
Europe/Brussels,breathingExercise,False,instagram,openedApp,1753815349.671205,6.0,Entertainment,600.0
Europe/Brussels,breathingExercise,True,instagram,openedApp,1753815969.8389,6.0,Entertainment,600.0
Europe/Brussels,breathingExercise,False,youtube,openedApp,1753818059.7594051,6.0,Entertainment,1800.0
Europe/Brussels,,False,youtube,closedApp,1753818140.713825,,,
Europe/Brussels,breathingExercise,False,youtube,dismissedAppOpening,1753819331.2302299,6.0,,
Europe/Brussels,breathingExercise,False,youtube,openedApp,1753819355.954977,6.0,Entertainment,960.0
Europe/Brussels,breathingExercise,False,youtube,dismissedAppOpening,1753819696.1544409,6.0,,
Europe/Brussels,breathingExercise,False,youtube,openedApp,1753819731.037878,6.0,Can’t sleep,1140.0
Europe/Brussels,,False,youtube,closedApp,1753821057.768605,,,
Europe/Brussels,,False,youtube,closedApp,1753851690.684435,,,
Europe/Brussels,breathingExercise,False,instagram,openedApp,1753889916.602922,6.0,Entertainment,600.0
Europe/Brussels,breathingExercise,False,instagram,dismissedAppOpening,1753890140.3099399,6.0,,
Europe/Brussels,breathingExercise,False,instagram,openedApp,1753890155.469785,6.0,Entertainment,600.0
Europe/Brussels,breathingExercise,False,instagram,dismissedAppOpening,1753890477.9927711,6.0,,
Europe/Brussels,breathingExercise,False,youtube,openedApp,1753891895.862547,6.0,Entertainment,1800.0
Europe/Brussels,,False,youtube,closedApp,1753891969.304008,,,
Europe/Brussels,,False,youtube,closedApp,1753892352.164061,,,
Europe/Brussels,breathingExercise,False,instagram,openedApp,1753892879.8857079,6.0,Entertainment,600.0
Europe/Brussels,breathingExercise,False,youtube,openedApp,1753893521.083199,6.0,Entertainment,1800.0
Europe/Brussels,,False,youtube,closedApp,1753893813.008328,,,
Europe/Brussels,breathingExercise,False,instagram,openedApp,1753893838.274088,6.0,Entertainment,600.0
Europe/Brussels,breathingExercise,False,youtube,openedApp,1753901066.0468268,6.0,Entertainment,360.0
Europe/Brussels,,False,youtube,closedApp,1753901185.425173,,,
Europe/Brussels,,False,youtube,closedApp,1753901487.034205,,,
Europe/Brussels,breathingExercise,False,youtube,openedApp,1753906599.7079601,6.0,Entertainment,1080.0
Europe/Brussels,,False,youtube,closedApp,1753906736.845432,,,
Europe/Brussels,,False,youtube,closedApp,1753906861.8731198,,,
Europe/Brussels,breathingExercise,False,youtube,openedApp,1753908201.1534371,6.0,Entertainment,1140.0
Europe/Brussels,breathingExercise,False,youtube,dismissedAppOpening,1753908405.785585,6.0,,
Europe/Brussels,breathingExercise,False,youtube,openedApp,1753908457.425047,6.0,Entertainment,1140.0
Europe/Brussels,,False,youtube,closedApp,1753908783.663182,,,
Europe/Brussels,breathingExercise,False,instagram,openedApp,1753976921.541013,6.0,Entertainment,360.0
Europe/Brussels,breathingExercise,False,instagram,openedApp,1753984853.150045,6.0,Entertainment,300.0
Europe/Brussels,breathingExercise,True,instagram,openedApp,1753985186.980702,6.0,Entertainment,360.0
Europe/Brussels,breathingExercise,False,instagram,openedApp,1753985583.2387671,6.0,Entertainment,360.0
Europe/Brussels,breathingExercise,False,instagram,openedApp,1753991621.954482,6.0,Entertainment,360.0
Europe/Brussels,breathingExercise,False,youtube,dismissedAppOpening,1753992970.4332829,6.0,,
Europe/Brussels,breathingExercise,False,instagram,openedApp,1754048003.01751,6.0,Entertainment,600.0
Europe/Brussels,breathingExercise,False,youtube,openedApp,1754048174.929862,6.0,Entertainment,840.0
Europe/Brussels,breathingExercise,False,instagram,openedApp,1754050158.326939,6.0,Entertainment,360.0
Europe/Brussels,breathingExercise,True,instagram,openedApp,1754050623.120103,6.0,Entertainment,300.0
Europe/Brussels,breathingExercise,True,instagram,openedApp,1754050946.7474341,6.0,Entertainment,360.0
