interventionType,interventionDuration,timezone,resolution,isReIntervention,timestamp,app,purpose
breathingExercise,6.0,America/Sao_Paulo,dismissedAppOpening,False,1750786130.021882,instagram,
,,America/Sao_Paulo,openedApp,False,1750788500.2288299,tikTok,
,,America/Sao_Paulo,closedApp,False,1750788800.2288299,tikTok,
,,America/Sao_Paulo,dismissedAppOpening,False,1750788800.2288299,tikTok,
breathingExercise,6.0,America/Sao_Paulo,openedApp,False,1750788844.285496,tikTok,Mensagem
breathingExercise,6.0,America/Sao_Paulo,openedApp,False,1750789790.79269,tikTok,Relaxar
breathingExercise,6.0,America/Sao_Paulo,openedApp,False,1750793041.984383,instagram,Distração
breathingExercise,6.0,America/Sao_Paulo,dismissedAppOpening,False,1750793651.272859,instagram,
breathingExercise,6.0,America/Sao_Paulo,openedApp,False,1750793678.046576,instagram,Postar algo
breathingExercise,6.0,America/Sao_Paulo,openedApp,False,1750794003.205947,instagram,Postar algo
breathingExercise,6.0,America/Sao_Paulo,openedApp,False,1750804290.393461,instagram,Distração
breathingExercise,6.0,America/Sao_Paulo,openedApp,False,1750814685.537673,instagram,Postar algo
breathingExercise,6.0,America/Sao_Paulo,dismissedAppOpening,False,1750854704.046682,tikTok,
breathingExercise,6.0,America/Sao_Paulo,openedApp,False,1750862927.627118,instagram,Relaxar
breathingExercise,6.0,America/Sao_Paulo,openedApp,False,1750894918.067729,instagram,Mensagem
breathingExercise,6.0,America/Sao_Paulo,openedApp,False,1750951939.156281,instagram,Postar algo
breathingExercise,6.0,America/Sao_Paulo,openedApp,False,1750954809.751463,instagram,Sanitário
breathingExercise,6.0,America/Sao_Paulo,dismissedAppOpening,False,1750972144.930614,instagram,
,,America/Sao_Paulo,openedApp,False,1750972037.566669,instagram,
,,America/Sao_Paulo,closedApp,False,1750972157.566669,instagram,
,,America/Sao_Paulo,dismissedAppOpening,False,1750972157.566669,instagram,
breathingExercise,6.0,America/Sao_Paulo,dismissedAppOpening,False,1750974538.017407,instagram,
breathingExercise,6.0,America/Sao_Paulo,openedApp,False,1750974563.828368,instagram,Entretenimento
breathingExercise,6.0,America/Sao_Paulo,openedApp,False,1750982649.873677,instagram,Ficar por dentro
breathingExercise,6.0,America/Sao_Paulo,dismissedAppOpening,False,1750984026.8118901,tikTok,
breathingExercise,6.0,America/Sao_Paulo,openedApp,False,1751027763.8746328,instagram,Ficar por dentro
breathingExercise,6.0,America/Sao_Paulo,openedApp,False,1751028514.583045,instagram,Pesquisar informações
breathingExercise,6.0,America/Sao_Paulo,openedApp,False,1751030214.57773,instagram,Distração
breathingExercise,6.0,America/Sao_Paulo,openedApp,False,1751031452.573052,tikTok,Distração
breathingExercise,6.0,America/Sao_Paulo,openedApp,False,1751061240.691205,instagram,Distração
breathingExercise,6.0,America/Sao_Paulo,openedApp,False,1751119857.567605,instagram,Ficar por dentro
breathingExercise,6.0,America/Sao_Paulo,openedApp,False,1751130299.938299,instagram,Distração
breathingExercise,6.0,America/Sao_Paulo,dismissedAppOpening,False,1751134308.482143,instagram,
breathingExercise,6.0,America/Sao_Paulo,openedApp,False,1751141887.955326,tikTok,Entretenimento
breathingExercise,6.0,America/Sao_Paulo,openedApp,False,1751143554.563932,instagram,Distração
breathingExercise,6.0,America/Sao_Paulo,openedApp,False,1751201591.205812,instagram,Entretenimento
breathingExercise,6.0,America/Sao_Paulo,openedApp,False,1751202142.890082,instagram,Entretenimento
breathingExercise,6.0,America/Sao_Paulo,openedApp,False,1751210635.883885,instagram,Entretenimento
breathingExercise,6.0,America/Sao_Paulo,openedApp,False,1751214778.425911,instagram,Pesquisar informações
breathingExercise,6.0,America/Sao_Paulo,dismissedAppOpening,False,1751222482.9391341,instagram,
breathingExercise,6.0,America/Sao_Paulo,openedApp,False,1751222813.452149,instagram,Entediado
breathingExercise,6.0,America/Sao_Paulo,openedApp,False,1751231564.87213,instagram,Sanitário
breathingExercise,6.0,America/Sao_Paulo,openedApp,False,1751233996.8238811,tikTok,Distração
breathingExercise,6.0,America/Sao_Paulo,openedApp,False,1751237489.305325,instagram,Entretenimento
breathingExercise,6.0,America/Sao_Paulo,openedApp,False,1751237686.566135,tikTok,Relaxar
breathingExercise,6.0,America/Sao_Paulo,openedApp,False,1751238921.202584,tikTok,Ficar por dentro
breathingExercise,6.0,America/Sao_Paulo,openedApp,False,1751242953.982736,tikTok,Ficar por dentro
breathingExercise,6.0,America/Sao_Paulo,openedApp,False,1751285333.7923388,instagram,Ficar por dentro
breathingExercise,6.0,America/Sao_Paulo,openedApp,False,1751294989.232435,instagram,Relaxar
breathingExercise,6.0,America/Sao_Paulo,openedApp,False,1751300495.407084,tikTok,Distração
breathingExercise,6.0,America/Sao_Paulo,dismissedAppOpening,False,1751306412.686194,tikTok,
breathingExercise,6.0,America/Sao_Paulo,dismissedAppOpening,False,1751306587.7434912,tikTok,
breathingExercise,6.0,America/Sao_Paulo,openedApp,False,1751306681.680095,tikTok,Distração
breathingExercise,6.0,America/Sao_Paulo,dismissedAppOpening,False,1751310315.2889462,instagram,
,,America/Sao_Paulo,openedApp,False,1751336027.405424,instagram,
,,America/Sao_Paulo,closedApp,False,1751336147.405425,instagram,
,,America/Sao_Paulo,dismissedAppOpening,False,1751336147.405425,instagram,
,,America/Sao_Paulo,openedApp,False,1751336038.795279,instagram,
,,America/Sao_Paulo,closedApp,False,1751336158.795279,instagram,
,,America/Sao_Paulo,dismissedAppOpening,False,1751336158.795279,instagram,
breathingExercise,6.0,America/Sao_Paulo,openedApp,False,1751377401.001915,instagram,Ficar por dentro
breathingExercise,6.0,America/Sao_Paulo,dismissedAppOpening,False,1751391979.1814132,instagram,
breathingExercise,6.0,America/Sao_Paulo,openedApp,False,1751393794.189621,tikTok,Distração
breathingExercise,6.0,America/Sao_Paulo,dismissedAppOpening,False,1751394472.5358539,tikTok,
breathingExercise,6.0,America/Sao_Paulo,dismissedAppOpening,False,1751394523.54943,tikTok,
breathingExercise,6.0,America/Sao_Paulo,openedApp,False,1751396541.3816872,instagram,Pesquisar informações
breathingExercise,6.0,America/Sao_Paulo,openedApp,False,1751399947.619457,instagram,Ficar por dentro
breathingExercise,6.0,America/Sao_Paulo,dismissedAppOpening,False,1751401888.2230868,instagram,
breathingExercise,6.0,America/Sao_Paulo,openedApp,False,1751401968.0346231,instagram,Pesquisar informações
breathingExercise,6.0,America/Sao_Paulo,openedApp,False,1751404036.908606,instagram,Distração
breathingExercise,6.0,America/Sao_Paulo,dismissedAppOpening,False,1751405084.595491,tikTok,
breathingExercise,6.0,America/Sao_Paulo,openedApp,False,1751405133.0289521,tikTok,Entretenimento
breathingExercise,6.0,America/Sao_Paulo,openedApp,False,1751416399.318517,instagram,Distração
breathingExercise,6.0,America/Sao_Paulo,openedApp,False,1751459501.554291,instagram,Entretenimento
breathingExercise,6.0,America/Sao_Paulo,openedApp,False,1751464197.411532,instagram,Entretenimento
breathingExercise,6.0,America/Sao_Paulo,openedApp,False,1751493600.3252249,instagram,Entretenimento
breathingExercise,6.0,America/Sao_Paulo,openedApp,False,1751494667.898031,instagram,Entretenimento
,,America/Sao_Paulo,openedApp,False,1751506889.1994271,instagram,
,,America/Sao_Paulo,closedApp,False,1751507009.1994271,instagram,
,,America/Sao_Paulo,dismissedAppOpening,False,1751507009.199428,instagram,
breathingExercise,6.0,America/Sao_Paulo,openedApp,False,1751547910.140234,instagram,Entretenimento
breathingExercise,6.0,America/Sao_Paulo,dismissedAppOpening,False,1751550212.64123,tikTok,
breathingExercise,6.0,America/Sao_Paulo,openedApp,False,1751554974.488313,instagram,Entretenimento
breathingExercise,6.0,America/Sao_Paulo,openedApp,False,1751560582.058433,instagram,Distração
breathingExercise,6.0,America/Sao_Paulo,dismissedAppOpening,False,1751561698.768127,tikTok,
breathingExercise,6.0,America/Sao_Paulo,openedApp,False,1751568795.760552,instagram,Distração
breathingExercise,6.0,America/Sao_Paulo,openedApp,False,1751574052.853712,tikTok,Distração
breathingExercise,6.0,America/Sao_Paulo,openedApp,False,1751575328.979929,instagram,Relaxar
breathingExercise,6.0,America/Sao_Paulo,openedApp,False,1751588852.773761,instagram,Entretenimento
,,America/Sao_Paulo,openedApp,False,1751592956.187965,tikTok,
,,America/Sao_Paulo,closedApp,False,1751593856.187965,tikTok,
,,America/Sao_Paulo,dismissedAppOpening,False,1751593856.187965,tikTok,
,,America/Sao_Paulo,openedApp,False,1751592956.898983,tikTok,
,,America/Sao_Paulo,closedApp,False,1751593856.898984,tikTok,
,,America/Sao_Paulo,dismissedAppOpening,False,1751593856.898984,tikTok,
,,America/Sao_Paulo,openedApp,False,1751593024.659755,tikTok,
,,America/Sao_Paulo,closedApp,False,1751593924.659756,tikTok,
,,America/Sao_Paulo,dismissedAppOpening,False,1751593924.659756,tikTok,
breathingExercise,6.0,America/Sao_Paulo,openedApp,False,1751593998.948606,tikTok,Distração
breathingExercise,6.0,America/Sao_Paulo,openedApp,False,1751595331.294372,tikTok,Entretenimento
breathingExercise,6.0,America/Sao_Paulo,openedApp,False,1751596075.455172,tikTok,Entretenimento
