isReIntervention,app,timestamp,resolution,timezone,interventionType,interventionDuration
False,instagram,1749244754.541696,openedApp,America/New_York,,
False,instagram,1749244874.541697,closedApp,America/New_York,,
False,instagram,1749244874.541697,dismissedAppOpening,America/New_York,,
False,instagram,1749245775.476345,openedApp,America/New_York,,
False,instagram,1749245895.476346,closedApp,America/New_York,,
False,instagram,1749245895.476346,dismissedAppOpening,America/New_York,,
False,instagram,1749245928.53915,openedApp,America/New_York,breathingExercise,6.0
False,instagram,1749251919.8082519,dismissedAppOpening,America/New_York,breathingExercise,6.0
False,instagram,1749252016.092917,openedApp,America/New_York,,
False,instagram,1749252136.092918,closedApp,America/New_York,,
False,instagram,1749252136.092918,dismissedAppOpening,America/New_York,,
False,instagram,1749252159.592647,dismissedAppOpening,America/New_York,breathingExercise,6.0
False,instagram,1749252209.304998,dismissedAppOpening,America/New_York,breathingExercise,6.0
False,instagram,1749252230.471391,openedApp,America/New_York,breathingExercise,6.0
False,instagram,1749259851.473413,openedApp,America/New_York,,
False,instagram,1749259971.473413,closedApp,America/New_York,,
False,instagram,1749259971.473413,dismissedAppOpening,America/New_York,,
False,instagram,1749259989.2469501,dismissedAppOpening,America/New_York,breathingExercise,6.0
False,instagram,1749259871.350587,openedApp,America/New_York,,
False,instagram,1749259991.350591,closedApp,America/New_York,,
False,instagram,1749259991.350591,dismissedAppOpening,America/New_York,,
False,instagram,1749263088.482593,openedApp,America/New_York,breathingExercise,6.0
False,instagram,1749267004.951083,dismissedAppOpening,America/New_York,breathingExercise,6.0
False,instagram,1749267022.00652,openedApp,America/New_York,breathingExercise,6.0
False,instagram,1749267845.318996,openedApp,America/New_York,breathingExercise,6.0
False,instagram,1749298795.929657,openedApp,America/New_York,breathingExercise,6.0
False,instagram,1749312791.835326,openedApp,America/New_York,breathingExercise,6.0
False,instagram,1749313439.859993,dismissedAppOpening,America/New_York,breathingExercise,6.0
False,instagram,1749313461.985189,openedApp,America/New_York,breathingExercise,6.0
False,instagram,1749317298.351554,openedApp,America/New_York,breathingExercise,6.0
False,instagram,1749318179.681579,openedApp,America/New_York,,
False,instagram,1749318299.68158,closedApp,America/New_York,,
False,instagram,1749318299.68158,dismissedAppOpening,America/New_York,,
False,instagram,1749327940.928021,openedApp,America/New_York,,
False,instagram,1749328060.928021,closedApp,America/New_York,,
False,instagram,1749328060.928021,dismissedAppOpening,America/New_York,,
False,instagram,1749328079.517767,openedApp,America/New_York,breathingExercise,6.0
False,instagram,1749343120.050191,openedApp,America/New_York,,
False,instagram,1749343240.0501919,closedApp,America/New_York,,
False,instagram,1749343240.0501919,dismissedAppOpening,America/New_York,,
False,instagram,1749343257.470974,dismissedAppOpening,America/New_York,breathingExercise,6.0
False,instagram,1749343139.2111712,openedApp,America/New_York,,
False,instagram,1749343259.2111712,closedApp,America/New_York,,
False,instagram,1749343259.2111712,dismissedAppOpening,America/New_York,,
False,instagram,1749343282.1434999,openedApp,America/New_York,breathingExercise,6.0
False,instagram,1749343731.608217,openedApp,America/New_York,breathingExercise,6.0
False,instagram,1749343912.293014,openedApp,America/New_York,,
False,instagram,1749344032.293015,closedApp,America/New_York,,
False,instagram,1749344032.293015,dismissedAppOpening,America/New_York,,
False,instagram,1749344053.142771,dismissedAppOpening,America/New_York,breathingExercise,6.0
False,instagram,1749344074.505581,openedApp,America/New_York,breathingExercise,6.0
False,instagram,1749344412.008681,openedApp,America/New_York,,
False,instagram,1749344532.008681,closedApp,America/New_York,,
False,instagram,1749344532.008681,dismissedAppOpening,America/New_York,,
False,instagram,1749344549.4080029,openedApp,America/New_York,breathingExercise,6.0
False,instagram,1749346351.42736,openedApp,America/New_York,breathingExercise,6.0
False,instagram,1749349412.099066,dismissedAppOpening,America/New_York,breathingExercise,6.0
False,instagram,1749351251.121395,openedApp,America/New_York,,
False,instagram,1749351371.121395,closedApp,America/New_York,,
False,instagram,1749351371.121395,dismissedAppOpening,America/New_York,,
False,instagram,1749351387.3491979,openedApp,America/New_York,breathingExercise,6.0
False,instagram,1749351451.87994,openedApp,America/New_York,breathingExercise,6.0
False,instagram,1749351869.016846,openedApp,America/New_York,breathingExercise,6.0
False,instagram,1749352052.402114,openedApp,America/New_York,breathingExercise,6.0
False,instagram,1749388069.662527,openedApp,America/New_York,,
False,instagram,1749388189.662527,closedApp,America/New_York,,
False,instagram,1749388189.662527,dismissedAppOpening,America/New_York,,
False,instagram,1749388210.092846,openedApp,America/New_York,breathingExercise,6.0
False,instagram,1749390699.877843,openedApp,America/New_York,breathingExercise,6.0
False,instagram,1749393980.0051389,openedApp,America/New_York,,
False,instagram,1749394100.0051398,closedApp,America/New_York,,
False,instagram,1749394100.0051398,dismissedAppOpening,America/New_York,,
False,instagram,1749394116.639159,openedApp,America/New_York,breathingExercise,6.0
False,instagram,1749394320.8521252,openedApp,America/New_York,breathingExercise,6.0
False,instagram,1749397739.398685,openedApp,America/New_York,breathingExercise,6.0
False,instagram,1749398196.9568381,openedApp,America/New_York,breathingExercise,6.0
False,instagram,1749402973.015302,openedApp,America/New_York,breathingExercise,6.0
False,instagram,1749403230.197171,openedApp,America/New_York,breathingExercise,6.0
False,instagram,1749426129.21298,openedApp,America/New_York,breathingExercise,6.0
False,instagram,1749431488.7540631,dismissedAppOpening,America/New_York,breathingExercise,6.0
False,instagram,1749431509.715663,openedApp,America/New_York,breathingExercise,6.0
False,instagram,1749431767.820051,openedApp,America/New_York,breathingExercise,6.0
False,instagram,1749433063.469757,openedApp,America/New_York,breathingExercise,6.0
False,instagram,1749433260.196042,openedApp,America/New_York,breathingExercise,6.0
False,instagram,1749433966.903033,openedApp,America/New_York,breathingExercise,6.0
False,instagram,1749433820.2921119,openedApp,America/New_York,,
False,instagram,1749433940.2921128,closedApp,America/New_York,,
False,instagram,1749433940.2921128,dismissedAppOpening,America/New_York,,
False,instagram,1749434534.729817,dismissedAppOpening,America/New_York,breathingExercise,6.0
False,instagram,1749434556.25414,openedApp,America/New_York,breathingExercise,6.0
False,instagram,1749467729.133421,openedApp,America/New_York,breathingExercise,6.0
False,instagram,1749471175.095409,openedApp,America/New_York,breathingExercise,6.0
False,instagram,1749472991.427279,openedApp,America/New_York,breathingExercise,6.0
False,instagram,1749473603.3551378,openedApp,America/New_York,breathingExercise,6.0
False,instagram,1749474194.360752,openedApp,America/New_York,breathingExercise,6.0
False,instagram,1749476114.5641851,openedApp,America/New_York,breathingExercise,6.0
False,instagram,1749476243.439713,openedApp,America/New_York,breathingExercise,6.0
False,instagram,1749476933.581744,openedApp,America/New_York,breathingExercise,6.0
False,instagram,1749477402.383045,openedApp,America/New_York,breathingExercise,6.0
False,instagram,1749477942.9559898,openedApp,America/New_York,breathingExercise,6.0
False,instagram,1749478364.6100059,openedApp,America/New_York,breathingExercise,6.0
False,instagram,1749489387.978153,openedApp,America/New_York,breathingExercise,6.0
False,instagram,1749495301.636775,openedApp,America/New_York,breathingExercise,6.0
