isReIntervention,resolution,timezone,interventionType,app,timestamp,interventionDuration,timeIntervalUntilReIntervention
False,dismissedAppOpening,America/Indiana/Indianapolis,breathingExercise,instagram,1752452508.2709908,6,
False,dismissedAppOpening,America/Indiana/Indianapolis,breathingExercise,instagram,1752453323.356742,6,
False,dismissedAppOpening,America/Indiana/Indianapolis,breathingExercise,instagram,1752453412.399584,6,
False,openedApp,America/Indiana/Indianapolis,breathingExercise,instagram,1752454686.532659,6,
False,openedApp,America/Indiana/Indianapolis,breathingExercise,instagram,1752455958.112047,6,
False,dismissedAppOpening,America/Indiana/Indianapolis,breathingExercise,instagram,1752456423.286643,6,
False,dismissedAppOpening,America/Indiana/Indianapolis,breathingExercise,instagram,1752456504.184781,6,
False,dismissedAppOpening,America/Indiana/Indianapolis,breathingExercise,instagram,1752484326.3970962,6,
False,openedApp,America/Indiana/Indianapolis,breathingExercise,instagram,1752485023.1973171,6,
False,openedApp,America/Indiana/Indianapolis,breathingExercise,instagram,1752485546.225644,6,
False,dismissedAppOpening,America/Indiana/Indianapolis,breathingExercise,instagram,1752486699.455739,6,
False,dismissedAppOpening,America/Indiana/Indianapolis,breathingExercise,instagram,1752486751.181896,6,
False,openedApp,America/Indiana/Indianapolis,breathingExercise,instagram,1752501243.4382482,6,
False,openedApp,America/Indiana/Indianapolis,breathingExercise,instagram,1752509781.271501,6,
False,openedApp,America/Indiana/Indianapolis,breathingExercise,instagram,1752518093.031842,6,
False,dismissedAppOpening,America/Indiana/Indianapolis,breathingExercise,instagram,1752520524.907793,6,
False,dismissedAppOpening,America/Indiana/Indianapolis,breathingExercise,instagram,1752528378.941128,6,
False,openedApp,America/Indiana/Indianapolis,breathingExercise,instagram,1752529414.1387181,6,
False,dismissedAppOpening,America/Indiana/Indianapolis,breathingExercise,instagram,1752530182.0822139,6,
False,dismissedAppOpening,America/Indiana/Indianapolis,breathingExercise,instagram,1752530797.23212,6,
False,openedApp,America/Indiana/Indianapolis,breathingExercise,instagram,1752537771.922565,6,
False,dismissedAppOpening,America/Indiana/Indianapolis,breathingExercise,instagram,1752537910.645883,6,
False,openedApp,America/Indiana/Indianapolis,breathingExercise,instagram,1752538880.550045,6,
False,dismissedAppOpening,America/Indiana/Indianapolis,breathingExercise,instagram,1752539690.0358891,6,
False,openedApp,America/Indiana/Indianapolis,breathingExercise,instagram,1752540118.453498,6,
False,openedApp,America/Indiana/Indianapolis,breathingExercise,instagram,1752542730.132412,6,
False,openedApp,America/Indiana/Indianapolis,breathingExercise,instagram,1752573164.6135721,6,
False,openedApp,America/Indiana/Indianapolis,breathingExercise,instagram,1752581313.6361,6,
False,openedApp,America/Indiana/Indianapolis,breathingExercise,instagram,1752596287.991094,6,
False,openedApp,America/Indiana/Indianapolis,breathingExercise,instagram,1752597259.744406,6,
False,openedApp,America/Indiana/Indianapolis,breathingExercise,instagram,1752601004.111582,6,
False,dismissedAppOpening,America/Indiana/Indianapolis,breathingExercise,instagram,1752604768.216058,6,
False,openedApp,America/Indiana/Indianapolis,breathingExercise,instagram,1752604918.1936622,6,
False,dismissedAppOpening,America/Indiana/Indianapolis,breathingExercise,instagram,1752605011.996433,6,
False,dismissedAppOpening,America/Indiana/Indianapolis,breathingExercise,instagram,1752605157.9895802,6,
False,openedApp,America/Indiana/Indianapolis,breathingExercise,instagram,1752609408.520231,6,
False,openedApp,America/Indiana/Indianapolis,breathingExercise,instagram,1752611483.080219,6,
False,dismissedAppOpening,America/Indiana/Indianapolis,breathingExercise,instagram,1752613473.317749,6,
False,openedApp,America/Indiana/Indianapolis,breathingExercise,instagram,1752613696.867913,6,
False,openedApp,America/Indiana/Indianapolis,breathingExercise,instagram,1752614954.1657748,6,
False,openedApp,America/Indiana/Indianapolis,breathingExercise,instagram,1752615566.348021,6,
False,dismissedAppOpening,America/Indiana/Indianapolis,breathingExercise,instagram,1752618541.165612,6,
False,openedApp,America/Indiana/Indianapolis,breathingExercise,instagram,1752618745.104134,6,
False,dismissedAppOpening,America/Indiana/Indianapolis,breathingExercise,instagram,1752619029.829283,6,
False,openedApp,America/Indiana/Indianapolis,breathingExercise,instagram,1752624200.4516869,6,
False,openedApp,America/Indiana/Indianapolis,breathingExercise,instagram,1752626231.7409282,6,
False,openedApp,America/Indiana/Indianapolis,breathingExercise,instagram,1752626898.424734,6,
False,dismissedAppOpening,America/Indiana/Indianapolis,breathingExercise,instagram,1752627452.299819,6,
False,dismissedAppOpening,America/Indiana/Indianapolis,breathingExercise,instagram,1752628230.508531,6,
False,dismissedAppOpening,America/Indiana/Indianapolis,breathingExercise,instagram,1752628918.398189,6,
False,openedApp,America/Indiana/Indianapolis,breathingExercise,instagram,1752628998.735543,6,
False,openedApp,America/Indiana/Indianapolis,breathingExercise,instagram,1752659470.735975,6,
False,openedApp,America/Indiana/Indianapolis,breathingExercise,instagram,1752667200.486901,6,
False,openedApp,America/Indiana/Indianapolis,breathingExercise,instagram,1752674667.4458818,6,
False,openedApp,America/Indiana/Indianapolis,breathingExercise,instagram,1752674808.356499,6,
False,openedApp,America/Indiana/Indianapolis,breathingExercise,instagram,1752683174.987123,6,
False,openedApp,America/Indiana/Indianapolis,breathingExercise,instagram,1752683842.2154331,6,
False,openedApp,America/Indiana/Indianapolis,breathingExercise,instagram,1752684866.3184562,6,
False,openedApp,America/Indiana/Indianapolis,breathingExercise,instagram,1752690889.0222979,6,
False,openedApp,America/Indiana/Indianapolis,breathingExercise,instagram,1752692384.8493938,6,
False,openedApp,America/Indiana/Indianapolis,breathingExercise,instagram,1752693864.684814,6,
False,openedApp,America/Indiana/Indianapolis,breathingExercise,instagram,1752693960.942781,6,
False,dismissedAppOpening,America/Indiana/Indianapolis,breathingExercise,instagram,1752696029.45419,6,
False,openedApp,America/Indiana/Indianapolis,breathingExercise,instagram,1752697980.451048,6,
False,openedApp,America/Indiana/Indianapolis,breathingExercise,instagram,1752698237.409971,6,
False,openedApp,America/Indiana/Indianapolis,breathingExercise,instagram,1752702709.968405,6,
False,openedApp,America/Indiana/Indianapolis,breathingExercise,instagram,1752703410.2513618,6,
False,openedApp,America/Indiana/Indianapolis,breathingExercise,instagram,1752704436.41769,6,
False,dismissedAppOpening,America/Indiana/Indianapolis,breathingExercise,instagram,1752704905.068186,6,
False,dismissedAppOpening,America/Indiana/Indianapolis,breathingExercise,instagram,1752704912.775107,6,
False,openedApp,America/Indiana/Indianapolis,breathingExercise,instagram,1752709210.997023,6,
False,dismissedAppOpening,America/Indiana/Indianapolis,breathingExercise,instagram,1752711001.958744,6,
False,openedApp,America/Indiana/Indianapolis,breathingExercise,instagram,1752718038.693274,6,
False,openedApp,America/Indiana/Indianapolis,breathingExercise,instagram,1752745943.318869,6,
False,openedApp,America/Indiana/Indianapolis,breathingExercise,instagram,1752754706.794948,6,
False,openedApp,America/Indiana/Indianapolis,breathingExercise,instagram,1752760420.266056,6,
False,openedApp,America/Indiana/Indianapolis,breathingExercise,instagram,1752763341.9800658,6,
False,openedApp,America/Indiana/Indianapolis,breathingExercise,instagram,1752768708.1846309,6,
False,openedApp,America/Indiana/Indianapolis,breathingExercise,instagram,1752768921.3606992,6,
False,openedApp,America/Indiana/Indianapolis,breathingExercise,instagram,1752777295.1112618,6,
False,dismissedAppOpening,America/Indiana/Indianapolis,breathingExercise,instagram,1752781674.495013,6,
False,openedApp,America/Indiana/Indianapolis,breathingExercise,instagram,1752785465.830317,6,
False,openedApp,America/Indiana/Indianapolis,breathingExercise,instagram,1752786605.362428,6,
False,dismissedAppOpening,America/Indiana/Indianapolis,breathingExercise,instagram,1752786754.279757,6,
False,openedApp,America/Indiana/Indianapolis,breathingExercise,instagram,1752792752.4173899,6,
False,openedApp,America/Indiana/Indianapolis,breathingExercise,instagram,1752792823.7829142,6,
False,openedApp,America/Indiana/Indianapolis,breathingExercise,instagram,1752793141.108974,6,
False,openedApp,America/Indiana/Indianapolis,breathingExercise,instagram,1752793163.736047,6,
False,openedApp,America/Indiana/Indianapolis,breathingExercise,instagram,1752795979.635503,6,
False,openedApp,America/Indiana/Indianapolis,breathingExercise,instagram,1752797228.944684,6,
