app,interventionType,resolution,timezone,timestamp,interventionDuration,isReIntervention
instagram,breathingExercise,openedApp,America/Los_Angeles,1749606157.947616,3.0,False
instagram,breathingExercise,openedApp,America/Los_Angeles,1749609242.978663,3.0,False
instagram,breathingExercise,openedApp,America/Los_Angeles,1749758281.9990048,3.0,False
instagram,,openedApp,America/Los_Angeles,1749773096.3973331,,False
instagram,,closedApp,America/Los_Angeles,1749773696.3973331,,False
instagram,,dismissedAppOpening,America/Los_Angeles,1749773696.3973331,,False
instagram,breathingExercise,openedApp,America/Los_Angeles,1749841163.156536,3.0,False
instagram,,openedApp,America/Los_Angeles,1749850945.308649,,False
instagram,,closedApp,America/Los_Angeles,1749851545.308649,,False
instagram,,dismissedAppOpening,America/Los_Angeles,1749851545.308649,,False
instagram,,openedApp,America/Los_Angeles,1749859203.0907779,,False
instagram,,closedApp,America/Los_Angeles,1749859803.0907779,,False
instagram,,dismissedAppOpening,America/Los_Angeles,1749859803.0907779,,False
instagram,,openedApp,America/Los_Angeles,1749871689.101399,,False
instagram,,closedApp,America/Los_Angeles,1749872289.1014,,False
instagram,,dismissedAppOpening,America/Los_Angeles,1749872289.1014,,False
instagram,,openedApp,America/Los_Angeles,1749880933.3377252,,False
instagram,,closedApp,America/Los_Angeles,1749881533.3377252,,False
instagram,,dismissedAppOpening,America/Los_Angeles,1749881533.3377252,,False
instagram,breathingExercise,openedApp,America/Los_Angeles,1749881581.50554,3.0,False
instagram,,openedApp,America/Los_Angeles,1749880950.7363272,,False
instagram,,closedApp,America/Los_Angeles,1749881550.7363281,,False
instagram,,dismissedAppOpening,America/Los_Angeles,1749881550.7363281,,False
instagram,,openedApp,America/Los_Angeles,1749881465.2477021,,False
instagram,,closedApp,America/Los_Angeles,1749882065.2477021,,False
instagram,,dismissedAppOpening,America/Los_Angeles,1749882065.2477021,,False
instagram,,openedApp,America/Los_Angeles,1749924004.890479,,False
instagram,,closedApp,America/Los_Angeles,1749924604.890479,,False
instagram,,dismissedAppOpening,America/Los_Angeles,1749924604.890479,,False
instagram,,openedApp,America/Los_Angeles,1750056215.161717,,False
instagram,,closedApp,America/Los_Angeles,1750056815.161717,,False
instagram,,dismissedAppOpening,America/Los_Angeles,1750056815.161717,,False
instagram,,openedApp,America/Los_Angeles,1750059959.7819118,,False
instagram,,closedApp,America/Los_Angeles,1750060559.781913,,False
instagram,,dismissedAppOpening,America/Los_Angeles,1750060559.781913,,False
instagram,,openedApp,America/Los_Angeles,1750096802.7802281,,False
instagram,,closedApp,America/Los_Angeles,1750097402.780231,,False
instagram,,dismissedAppOpening,America/Los_Angeles,1750097402.780231,,False
instagram,,openedApp,America/Los_Angeles,1750112920.1764421,,False
instagram,,closedApp,America/Los_Angeles,1750113520.176444,,False
