timestamp,timezone,interventionType,isReIntervention,app,interventionDuration,resolution
1751873329.474022,Europe/Athens,breathingExercise,False,instagram,3,dismissedAppOpening
1751873415.340461,Europe/Athens,breathingExercise,False,instagram,3,dismissedAppOpening
1751873465.334334,Europe/Athens,breathingExercise,False,instagram,3,dismissedAppOpening
1751874678.386652,Europe/Athens,breathingExercise,False,instagram,3,openedApp
1751875056.0105271,Europe/Athens,breathingExercise,False,instagram,3,openedApp
1751875119.9449391,Europe/Athens,breathingExercise,False,instagram,3,openedApp
1751875291.7404299,Europe/Athens,breathingExercise,False,instagram,3,dismissedAppOpening
1751880554.819666,Europe/Athens,breathingExercise,False,instagram,3,dismissedAppOpening
1751883760.003012,Europe/Athens,breathingExercise,False,instagram,3,openedApp
1751886043.442522,Europe/Athens,breathingExercise,False,instagram,3,dismissedAppOpening
1751886058.455023,Europe/Athens,breathingExercise,False,instagram,3,dismissedAppOpening
1751886071.945584,Europe/Athens,breathingExercise,False,instagram,3,dismissedAppOpening
1751886078.313304,Europe/Athens,breathingExercise,False,instagram,3,dismissedAppOpening
1751887790.43308,Europe/Athens,breathingExercise,False,instagram,3,dismissedAppOpening
1751890593.085095,Europe/Athens,breathingExercise,False,instagram,3,openedApp
1751890857.713253,Europe/Athens,breathingExercise,False,instagram,3,dismissedAppOpening
1751891009.18138,Europe/Athens,breathingExercise,False,instagram,3,openedApp
1751891825.899794,Europe/Athens,breathingExercise,False,instagram,3,openedApp
1751892570.123512,Europe/Athens,breathingExercise,False,instagram,3,openedApp
1751892651.267683,Europe/Athens,breathingExercise,False,instagram,3,dismissedAppOpening
1751892667.49068,Europe/Athens,breathingExercise,False,instagram,3,dismissedAppOpening
1751892678.651744,Europe/Athens,breathingExercise,False,instagram,3,dismissedAppOpening
1751893002.3570461,Europe/Athens,breathingExercise,False,instagram,3,dismissedAppOpening
1751894549.245398,Europe/Athens,breathingExercise,False,instagram,3,openedApp
1751894993.572822,Europe/Athens,breathingExercise,False,instagram,3,openedApp
1751895150.028857,Europe/Athens,breathingExercise,False,instagram,3,openedApp
1751896588.9199672,Europe/Athens,breathingExercise,False,instagram,3,openedApp
1751896893.762082,Europe/Athens,breathingExercise,False,instagram,3,openedApp
