isReIntervention,resolution,interventionDuration,interventionType,timezone,timestamp,app,purpose
False,dismissedAppOpening,3,breathingExercise,Europe/Berlin,1752235397.174433,instagram,
False,openedApp,3,breathingExercise,Europe/Berlin,1752244334.3610559,instagram,
False,openedApp,3,breathingExercise,Europe/Berlin,1752244413.132472,instagram,
False,openedApp,3,breathingExercise,Europe/Berlin,1752244481.77318,instagram,
False,openedApp,3,breathingExercise,Europe/Berlin,1752244525.485344,instagram,
False,openedApp,3,breathingExercise,Europe/Berlin,1752244602.301981,instagram,
False,openedApp,3,breathingExercise,Europe/Berlin,1752245796.046607,instagram,
False,openedApp,3,breathingExercise,Europe/Berlin,1752249902.943939,instagram,
False,openedApp,3,breathingExercise,Europe/Berlin,1752250042.8989139,instagram,
False,openedApp,3,breathingExercise,Europe/Berlin,1752250567.332096,instagram,
False,dismissedAppOpening,3,breathingExercise,Europe/Berlin,1752251803.04151,instagram,
False,dismissedAppOpening,3,breathingExercise,Europe/Berlin,1752271246.4138122,instagram,
False,openedApp,3,breathingExercise,Europe/Berlin,1752271498.113231,instagram,
False,openedApp,3,breathingExercise,Europe/Berlin,1752271787.987568,instagram,
False,openedApp,3,breathingExercise,Europe/Berlin,1752273403.733519,instagram,
False,openedApp,3,breathingExercise,Europe/Berlin,1752273850.8781,instagram,
False,openedApp,3,breathingExercise,Europe/Berlin,1752274306.836465,instagram,
False,openedApp,3,breathingExercise,Europe/Berlin,1752276410.887609,instagram,
False,openedApp,3,breathingExercise,Europe/Berlin,1752302214.399951,instagram,
False,openedApp,3,breathingExercise,Europe/Berlin,1752302836.972396,instagram,
False,dismissedAppOpening,3,breathingExercise,Europe/Berlin,1752321321.180393,instagram,
False,openedApp,3,breathingExercise,Europe/Berlin,1752326716.005559,instagram,
False,openedApp,3,breathingExercise,Europe/Berlin,1752326981.416471,instagram,
False,openedApp,3,breathingExercise,Europe/Berlin,1752328207.728547,instagram,
False,openedApp,3,breathingExercise,Europe/Berlin,1752329616.119133,instagram,
False,openedApp,3,breathingExercise,Europe/Berlin,1752329999.780762,instagram,
False,openedApp,3,breathingExercise,Europe/Berlin,1752330457.737107,instagram,
False,openedApp,3,breathingExercise,Europe/Berlin,1752330506.086998,instagram,
False,dismissedAppOpening,3,breathingExercise,Europe/Berlin,1752333755.101985,instagram,
False,openedApp,3,breathingExercise,Europe/Berlin,1752334037.007411,instagram,
False,dismissedAppOpening,3,breathingExercise,Europe/Berlin,1752335346.5232,instagram,
False,dismissedAppOpening,3,breathingExercise,Europe/Berlin,1752339429.266098,instagram,
False,openedApp,3,breathingExercise,Europe/Berlin,1752340516.3082972,instagram,
False,openedApp,3,breathingExercise,Europe/Berlin,1752354475.670924,instagram,
False,openedApp,3,breathingExercise,Europe/Berlin,1752357048.0950189,instagram,
False,openedApp,3,breathingExercise,Europe/Berlin,1752357148.685158,instagram,
False,openedApp,3,breathingExercise,Europe/Berlin,1752388370.158802,instagram,
False,openedApp,3,breathingExercise,Europe/Berlin,1752390488.6484041,instagram,
False,openedApp,3,breathingExercise,Europe/Berlin,1752395072.393462,instagram,
False,openedApp,3,breathingExercise,Europe/Berlin,1752395751.059579,instagram,
False,dismissedAppOpening,3,breathingExercise,Europe/Berlin,1752398855.112626,instagram,
False,openedApp,3,breathingExercise,Europe/Berlin,1752399780.3863869,instagram,
False,openedApp,3,breathingExercise,Europe/Berlin,1752400746.819717,instagram,
False,openedApp,3,breathingExercise,Europe/Berlin,1752400981.728849,instagram,
False,openedApp,3,breathingExercise,Europe/Berlin,1752413671.05914,instagram,
False,openedApp,3,breathingExercise,Europe/Berlin,1752420450.012665,instagram,
False,openedApp,3,breathingExercise,Europe/Berlin,1752421064.249683,instagram,
False,openedApp,3,breathingExercise,Europe/Berlin,1752422978.0500321,instagram,
False,openedApp,3,breathingExercise,Europe/Berlin,1752424167.485917,instagram,
False,openedApp,3,breathingExercise,Europe/Berlin,1752426310.837247,instagram,
False,openedApp,3,breathingExercise,Europe/Berlin,1752427095.4385529,instagram,
False,openedApp,3,breathingExercise,Europe/Berlin,1752427388.654985,instagram,
False,openedApp,3,breathingExercise,Europe/Berlin,1752427449.023741,instagram,
False,openedApp,3,breathingExercise,Europe/Berlin,1752427609.8951159,instagram,
False,openedApp,3,breathingExercise,Europe/Berlin,1752428246.2844539,instagram,
False,openedApp,3,breathingExercise,Europe/Berlin,1752428407.5256371,instagram,
False,openedApp,3,breathingExercise,Europe/Berlin,1752428437.924567,instagram,
False,dismissedAppOpening,3,breathingExercise,Europe/Berlin,1752428472.7251391,instagram,
False,dismissedAppOpening,3,breathingExercise,Europe/Berlin,1752428482.10843,instagram,
False,openedApp,3,breathingExercise,Europe/Berlin,1752436287.745,instagram,
False,dismissedAppOpening,3,breathingExercise,Europe/Berlin,1752436334.5432901,instagram,
False,openedApp,3,breathingExercise,Europe/Berlin,1752436576.4100041,instagram,
False,openedApp,3,breathingExercise,Europe/Berlin,1752438569.165862,instagram,
False,openedApp,3,breathingExercise,Europe/Berlin,1752438880.342637,instagram,
False,openedApp,3,breathingExercise,Europe/Berlin,1752441846.487704,instagram,
False,openedApp,3,breathingExercise,Europe/Berlin,1752442329.659227,instagram,
False,openedApp,3,breathingExercise,Europe/Berlin,1752442719.19994,instagram,
False,openedApp,3,breathingExercise,Europe/Berlin,1752445162.454144,instagram,
False,openedApp,3,breathingExercise,Europe/Berlin,1752475044.404152,instagram,
False,openedApp,3,breathingExercise,Europe/Berlin,1752475235.28224,instagram,
False,openedApp,3,breathingExercise,Europe/Berlin,1752475740.93719,instagram,
False,openedApp,3,breathingExercise,Europe/Berlin,1752476136.1276798,instagram,
False,openedApp,3,breathingExercise,Europe/Berlin,1752476249.484892,instagram,
False,openedApp,3,breathingExercise,Europe/Berlin,1752476493.32619,instagram,
False,openedApp,3,breathingExercise,Europe/Berlin,1752483867.4532042,instagram,
False,openedApp,3,breathingExercise,Europe/Berlin,1752486483.363687,instagram,
False,openedApp,3,breathingExercise,Europe/Berlin,1752492078.1099339,instagram,
False,openedApp,3,breathingExercise,Europe/Berlin,1752493994.030301,instagram,
False,dismissedAppOpening,3,breathingExercise,Europe/Berlin,1752500229.6039739,instagram,
False,dismissedAppOpening,3,breathingExercise,Europe/Berlin,1752501907.06722,instagram,
False,openedApp,3,breathingExercise,Europe/Berlin,1752510080.883171,instagram,
False,dismissedAppOpening,3,breathingExercise,Europe/Berlin,1752513406.339365,instagram,
False,dismissedAppOpening,3,breathingExercise,Europe/Berlin,1752522982.219132,instagram,
False,dismissedAppOpening,3,breathingExercise,Europe/Berlin,1752526870.6598868,instagram,
False,openedApp,3,breathingExercise,Europe/Berlin,1752532838.606868,instagram,
False,openedApp,3,breathingExercise,Europe/Berlin,1752571266.716308,instagram,
False,openedApp,3,breathingExercise,Europe/Berlin,1752596399.2935948,instagram,
False,openedApp,3,breathingExercise,Europe/Berlin,1752596644.6275768,instagram,
False,dismissedAppOpening,3,breathingExercise,Europe/Berlin,1752603646.969688,instagram,
False,openedApp,3,breathingExercise,Europe/Berlin,1752604578.637667,instagram,
False,openedApp,3,breathingExercise,Europe/Berlin,1752605366.6641002,instagram,
False,openedApp,3,breathingExercise,Europe/Berlin,1752610856.821,instagram,
False,dismissedAppOpening,3,breathingExercise,Europe/Berlin,1752611517.657559,instagram,
False,openedApp,3,breathingExercise,Europe/Berlin,1752611529.789418,instagram,
False,openedApp,3,breathingExercise,Europe/Berlin,1752611576.073151,instagram,
False,dismissedAppOpening,3,breathingExercise,Europe/Berlin,1752612734.130564,instagram,
False,openedApp,3,breathingExercise,Europe/Berlin,1752614187.871906,instagram,
False,openedApp,3,breathingExercise,Europe/Berlin,1752614353.7822518,instagram,
False,openedApp,3,breathingExercise,Europe/Berlin,1752614982.949751,instagram,
False,openedApp,3,breathingExercise,Europe/Berlin,1752616352.689826,instagram,
False,dismissedAppOpening,3,breathingExercise,Europe/Berlin,1752617389.756692,instagram,
False,openedApp,3,breathingExercise,Europe/Berlin,1752649606.1937752,instagram,
False,openedApp,3,breathingExercise,Europe/Berlin,1752650716.004986,instagram,
False,openedApp,3,breathingExercise,Europe/Berlin,1752656434.907048,instagram,
False,dismissedAppOpening,3,breathingExercise,Europe/Berlin,1752656904.70292,instagram,
False,openedApp,3,breathingExercise,Europe/Berlin,1752657217.272646,instagram,
False,openedApp,3,breathingExercise,Europe/Berlin,1752657613.0423121,instagram,
False,dismissedAppOpening,3,breathingExercise,Europe/Berlin,1752672780.428889,instagram,
False,openedApp,3,breathingExercise,Europe/Berlin,1752672796.287037,instagram,
False,openedApp,3,breathingExercise,Europe/Berlin,1752675446.870339,instagram,
False,dismissedAppOpening,3,breathingExercise,Europe/Berlin,1752676500.277874,instagram,
False,openedApp,3,breathingExercise,Europe/Berlin,1752676654.063134,instagram,
False,openedApp,3,breathingExercise,Europe/Berlin,1752683746.316709,instagram,
False,dismissedAppOpening,3,breathingExercise,Europe/Berlin,1752683799.4438848,instagram,
False,openedApp,3,breathingExercise,Europe/Berlin,1752683827.463657,instagram,
False,dismissedAppOpening,3,breathingExercise,Europe/Berlin,1752705159.101914,instagram,
False,openedApp,3,breathingExercise,Europe/Berlin,1752709141.392868,instagram,
False,openedApp,3,breathingExercise,Europe/Berlin,1752736601.956852,instagram,
False,openedApp,3,breathingExercise,Europe/Berlin,1752737554.3909202,instagram,
False,dismissedAppOpening,3,breathingExercise,Europe/Berlin,1752744644.649053,instagram,
False,openedApp,3,breathingExercise,Europe/Berlin,1752756563.172316,instagram,Auf dem Laufenden bleiben
False,dismissedAppOpening,3,breathingExercise,Europe/Berlin,1752756592.413075,instagram,
False,dismissedAppOpening,3,breathingExercise,Europe/Berlin,1752756651.401268,instagram,
False,dismissedAppOpening,3,breathingExercise,Europe/Berlin,1752756653.593525,instagram,
False,openedApp,3,breathingExercise,Europe/Berlin,1752756675.1451259,instagram,Auf dem Laufenden bleiben
False,openedApp,3,breathingExercise,Europe/Berlin,1752757922.952458,instagram,Auf dem Laufenden bleiben
False,openedApp,3,breathingExercise,Europe/Berlin,1752758557.37646,instagram,Auf dem Laufenden bleiben
False,openedApp,3,breathingExercise,Europe/Berlin,1752758812.320692,instagram,Auf dem Laufenden bleiben
False,openedApp,3,breathingExercise,Europe/Berlin,1752768994.971309,instagram,Auf dem Laufenden bleiben
False,dismissedAppOpening,3,breathingExercise,Europe/Berlin,1752777205.162669,instagram,
False,openedApp,3,breathingExercise,Europe/Berlin,1752783470.326013,instagram,Auf dem Laufenden bleiben
False,openedApp,3,breathingExercise,Europe/Berlin,1752789844.31409,instagram,Auf dem Laufenden bleiben
False,openedApp,3,breathingExercise,Europe/Berlin,1752790054.1850061,instagram,Auf dem Laufenden bleiben
False,dismissedAppOpening,3,breathingExercise,Europe/Berlin,1752790165.160379,instagram,
