isReIntervention,timezone,timestamp,app,interventionType,resolution,interventionDuration
False,Europe/Berlin,1750669268.127864,instagram,breathingExercise,dismissedAppOpening,3.0
False,Europe/Berlin,1750687472.83032,instagram,breathingExercise,dismissedAppOpening,3.0
False,Europe/Berlin,1750754023.8397021,instagram,breathingExercise,dismissedAppOpening,3.0
False,Europe/Berlin,1750784825.179312,instagram,breathingExercise,dismissedAppOpening,3.0
False,Europe/Berlin,1750793375.474688,instagram,breathingExercise,openedApp,3.0
False,Europe/Berlin,1750793400.241613,instagram,,closedApp,
False,Europe/Berlin,1750830420.454962,instagram,breathingExercise,openedApp,3.0
False,Europe/Berlin,1750830562.9964151,instagram,,closedApp,
False,Europe/Berlin,1750830852.8776221,instagram,,closedApp,
False,Europe/Berlin,1750831065.871996,instagram,,closedApp,
False,Europe/Berlin,1750852231.70806,instagram,breathingExercise,dismissedAppOpening,3.0
False,Europe/Berlin,1750917662.148974,instagram,breathingExercise,openedApp,3.0
False,Europe/Berlin,1750919134.2299972,instagram,,closedApp,
False,Europe/Berlin,1750957589.942151,youtube,breathingExercise,dismissedAppOpening,3.0
False,Europe/Berlin,1751032044.9558868,instagram,breathingExercise,openedApp,3.0
False,Europe/Berlin,1751032270.2011762,instagram,,closedApp,
False,Europe/Berlin,1751032330.711812,instagram,,closedApp,
False,Europe/Berlin,1751041157.0732322,instagram,breathingExercise,openedApp,3.0
False,Europe/Berlin,1751041286.430157,instagram,,closedApp,
False,Europe/Berlin,1751041647.3843498,instagram,,closedApp,
False,Europe/Berlin,1751042006.528826,instagram,breathingExercise,dismissedAppOpening,3.0
False,Europe/Berlin,1751091325.053314,instagram,breathingExercise,openedApp,3.0
False,Europe/Berlin,1751113790.9125838,instagram,breathingExercise,dismissedAppOpening,3.0
False,Europe/Berlin,1751091635.2975612,instagram,,closedApp,
False,Europe/Berlin,1751091715.296778,instagram,,closedApp,
False,Europe/Berlin,1751113810.8055658,youtube,breathingExercise,openedApp,3.0
False,Europe/Berlin,1751114168.1431909,youtube,,closedApp,
False,Europe/Berlin,1751114671.4180942,instagram,breathingExercise,openedApp,3.0
False,Europe/Berlin,1751114689.500648,instagram,,closedApp,
False,Europe/Berlin,1751114719.038501,instagram,breathingExercise,openedApp,3.0
False,Europe/Berlin,1751114751.0723681,instagram,,closedApp,
False,Europe/Berlin,1751114873.949904,instagram,,closedApp,
False,Europe/Berlin,1751115573.0197291,instagram,,closedApp,
False,Europe/Berlin,1751140474.6184,instagram,breathingExercise,openedApp,3.0
False,Europe/Berlin,1751140508.16433,instagram,,closedApp,
False,Europe/Berlin,1751148352.937175,instagram,breathingExercise,openedApp,3.0
False,Europe/Berlin,1751148687.56532,instagram,,closedApp,
False,Europe/Berlin,1751148718.11202,instagram,breathingExercise,openedApp,3.0
False,Europe/Berlin,1751148768.5896049,instagram,,closedApp,
False,Europe/Berlin,1751148853.934042,instagram,,closedApp,
False,Europe/Berlin,1751148932.2319288,instagram,,closedApp,
False,Europe/Berlin,1751148944.242447,instagram,breathingExercise,openedApp,3.0
False,Europe/Berlin,1751149067.298383,instagram,,closedApp,
False,Europe/Berlin,1751149144.5635529,instagram,,closedApp,
False,Europe/Berlin,1751149228.1700459,instagram,,closedApp,
False,Europe/Berlin,1751149310.934742,instagram,,closedApp,
False,Europe/Berlin,1751149398.8527951,instagram,,closedApp,
False,Europe/Berlin,1751149517.21562,instagram,,closedApp,
False,Europe/Berlin,1751149628.2938662,instagram,,closedApp,
False,Europe/Berlin,1751149714.834579,instagram,,closedApp,
False,Europe/Berlin,1751149800.315944,instagram,,closedApp,
False,Europe/Berlin,1751149958.300758,instagram,,closedApp,
False,Europe/Berlin,1751177431.069357,instagram,breathingExercise,openedApp,3.0
False,Europe/Berlin,1751177582.290413,instagram,,closedApp,
False,Europe/Berlin,1751205641.8041592,instagram,breathingExercise,openedApp,3.0
False,Europe/Berlin,1751206829.780919,instagram,,closedApp,
False,Europe/Berlin,1751277364.37939,instagram,breathingExercise,dismissedAppOpening,3.0
