timestamp,interventionType,resolution,timezone,interventionDuration,isReIntervention,app,purpose
1748737396.1699018,breathingExercise,dismissedAppOpening,America/New_York,3,False,facebook,
1748737449.4620519,breathingExercise,dismissedAppOpening,America/New_York,3,False,facebook,
1748737524.006342,breathingExercise,dismissedAppOpening,America/New_York,3,False,instagram,
1748737535.373949,breathingExercise,dismissedAppOpening,America/New_York,3,False,tikTok,
1748740560.64295,breathingExercise,dismissedAppOpening,America/New_York,3,False,facebook,
1748740565.991444,breathingExercise,dismissedAppOpening,America/New_York,3,False,facebook,
1748747173.947555,breathingExercise,dismissedAppOpening,America/New_York,3,False,facebook,
1748747970.6411572,breathingExercise,dismissedAppOpening,America/New_York,3,False,facebook,
1748747981.508074,breathingExercise,dismissedAppOpening,America/New_York,3,False,facebook,
1748773390.666916,breathingExercise,openedApp,America/New_York,3,False,facebook,Can’t sleep
1748776225.646978,breathingExercise,dismissedAppOpening,America/New_York,3,False,facebook,
1748776256.362582,breathingExercise,openedApp,America/New_York,3,False,facebook,Watch some comedy videos
1748776768.710096,breathingExercise,openedApp,America/New_York,3,False,facebook,Watch comedy videos
1748777329.088443,breathingExercise,openedApp,America/New_York,3,False,facebook,Watch comedy videos
1748777692.1897988,breathingExercise,dismissedAppOpening,America/New_York,3,False,facebook,
1748790903.019683,breathingExercise,openedApp,America/New_York,3,False,facebook,Message
1748797946.0382938,breathingExercise,openedApp,America/New_York,3,False,facebook,Post something
1748798028.746268,breathingExercise,openedApp,America/New_York,3,False,facebook,Post something
1748800430.8008962,breathingExercise,dismissedAppOpening,America/New_York,3,False,facebook,
1748800515.736253,breathingExercise,openedApp,America/New_York,3,False,facebook,Business Post
1748800592.5919461,breathingExercise,openedApp,America/New_York,3,False,facebook,Business Post
1748800669.598026,breathingExercise,openedApp,America/New_York,3,False,facebook,Business Post
1748810342.7958698,breathingExercise,dismissedAppOpening,America/New_York,3,False,facebook,
1748812292.278894,breathingExercise,openedApp,America/New_York,3,False,facebook,Post something
1748812595.548304,breathingExercise,openedApp,America/New_York,3,False,facebook,Post something
1748813127.4711561,breathingExercise,openedApp,America/New_York,3,False,facebook,Business Post
1748820569.518384,breathingExercise,openedApp,America/New_York,3,False,facebook,Bored
1748826231.4367208,breathingExercise,dismissedAppOpening,America/New_York,3,False,facebook,
1748832018.473006,breathingExercise,dismissedAppOpening,America/New_York,3,False,facebook,
1748832501.56068,breathingExercise,openedApp,America/New_York,3,False,facebook,Watch comedy videos
1748835609.632125,breathingExercise,dismissedAppOpening,America/New_York,3,False,facebook,
1748835611.8472939,breathingExercise,dismissedAppOpening,America/New_York,3,False,facebook,
1748835625.1358318,breathingExercise,openedApp,America/New_York,3,False,facebook,Watch comedy videos
1748835991.109326,breathingExercise,openedApp,America/New_York,3,False,instagram,Post something
1748836017.71236,breathingExercise,dismissedAppOpening,America/New_York,3,False,facebook,
1748836033.350416,breathingExercise,openedApp,America/New_York,3,False,facebook,Watch comedy videos
1748836076.4285688,breathingExercise,openedApp,America/New_York,3,False,facebook,Watch some comedy videos
1748840154.114452,breathingExercise,openedApp,America/New_York,3,False,instagram,Search Info
1748840182.899699,breathingExercise,openedApp,America/New_York,3,False,facebook,Watch comedy videos
1748841623.447746,breathingExercise,dismissedAppOpening,America/New_York,3,False,instagram,
1748841626.287225,breathingExercise,dismissedAppOpening,America/New_York,3,False,instagram,
1748841628.503927,breathingExercise,dismissedAppOpening,America/New_York,3,False,instagram,
