app,isReIntervention,resolution,timestamp,timezone,interventionType,interventionDuration
instagram,False,closedApp,1752522239.844308,Europe/London,,
snapchat,False,openedApp,1752522264.9397979,Europe/London,breathingExercise,1.5
instagram,False,dismissedAppOpening,1752574153.748705,Europe/London,breathingExercise,1.5
instagram,False,closedApp,1752523835.851541,Europe/London,,
instagram,False,closedApp,1752524381.2119389,Europe/London,,
instagram,False,closedApp,1752525580.842922,Europe/London,,
instagram,False,closedApp,1752527225.5979152,Europe/London,,
instagram,False,closedApp,1752527479.6021008,Europe/London,,
instagram,False,closedApp,1752528963.179572,Europe/London,,
instagram,False,closedApp,1752529583.774503,Europe/London,,
instagram,False,closedApp,1752573249.4285378,Europe/London,,
instagram,False,closedApp,1752573316.340609,Europe/London,,
instagram,False,closedApp,1752573387.225037,Europe/London,,
instagram,False,closedApp,1752573583.141889,Europe/London,,
instagram,False,openedApp,1752574160.665096,Europe/London,breathingExercise,1.5
instagram,False,openedApp,1752594848.9951758,Europe/London,breathingExercise,1.5
instagram,False,dismissedAppOpening,1752649370.463396,Europe/London,breathingExercise,1.5
snapchat,False,openedApp,1752661776.089242,Europe/London,breathingExercise,1.5
snapchat,False,dismissedAppOpening,1752744702.7730942,Europe/London,breathingExercise,1.5
snapchat,False,dismissedAppOpening,1752776553.697752,Europe/London,breathingExercise,1.5
snapchat,False,dismissedAppOpening,1752776558.710033,Europe/London,breathingExercise,1.5
snapchat,False,dismissedAppOpening,1752776560.597849,Europe/London,breathingExercise,1.5
snapchat,False,dismissedAppOpening,1752776565.428032,Europe/London,breathingExercise,1.5
instagram,False,closedApp,1752574876.2972388,Europe/London,,
instagram,False,closedApp,1752576636.775096,Europe/London,,
instagram,False,closedApp,1752576862.120045,Europe/London,,
instagram,False,closedApp,1752578425.4095268,Europe/London,,
instagram,False,closedApp,1752579436.784011,Europe/London,,
instagram,False,closedApp,1752586276.3139548,Europe/London,,
instagram,False,closedApp,1752587913.337718,Europe/London,,
instagram,False,closedApp,1752594849.3953109,Europe/London,,
instagram,False,closedApp,1752605487.8457,Europe/London,,
instagram,False,closedApp,1752605643.834734,Europe/London,,
instagram,False,closedApp,1752605989.068677,Europe/London,,
instagram,False,closedApp,1752606742.076057,Europe/London,,
instagram,False,closedApp,1752606871.3596191,Europe/London,,
instagram,False,closedApp,1752607140.152317,Europe/London,,
instagram,False,closedApp,1752608900.1176019,Europe/London,,
instagram,False,closedApp,1752608975.062564,Europe/London,,
instagram,False,closedApp,1752610756.37796,Europe/London,,
instagram,False,closedApp,1752611056.844291,Europe/London,,
instagram,False,closedApp,1752613451.2018209,Europe/London,,
instagram,False,closedApp,1752613837.602802,Europe/London,,
instagram,False,closedApp,1752613891.9339151,Europe/London,,
instagram,False,closedApp,1752615608.372908,Europe/London,,
instagram,False,closedApp,1752616283.913471,Europe/London,,
instagram,False,closedApp,1752649361.939997,Europe/London,,
instagram,False,closedApp,1752650346.226962,Europe/London,,
instagram,False,closedApp,1752654762.701936,Europe/London,,
instagram,False,closedApp,1752656928.690058,Europe/London,,
instagram,False,closedApp,1752666495.14739,Europe/London,,
instagram,False,closedApp,1752674922.149535,Europe/London,,
instagram,False,closedApp,1752689061.1004481,Europe/London,,
instagram,False,closedApp,1752697186.651003,Europe/London,,
instagram,False,closedApp,1752760935.666189,Europe/London,,
instagram,False,closedApp,1752772713.28027,Europe/London,,
instagram,False,closedApp,1752773231.749934,Europe/London,,
instagram,False,closedApp,1752774998.095856,Europe/London,,
instagram,False,closedApp,1752775795.40025,Europe/London,,
instagram,False,closedApp,1752776415.2810159,Europe/London,,
instagram,False,closedApp,1752776662.782129,Europe/London,,
instagram,False,closedApp,1752777352.404191,Europe/London,,
snapchat,False,dismissedAppOpening,1752778258.43628,Europe/London,breathingExercise,1.5
snapchat,False,openedApp,1752778267.585993,Europe/London,breathingExercise,1.5
instagram,False,openedApp,1752790425.227109,Europe/London,breathingExercise,1.5
snapchat,False,dismissedAppOpening,1752867601.639255,Europe/London,breathingExercise,1.5
snapchat,False,openedApp,1752869283.0371752,Europe/London,breathingExercise,1.5
instagram,False,closedApp,1752779569.8074641,Europe/London,,
instagram,False,closedApp,1752781308.1091561,Europe/London,,
instagram,False,closedApp,1752784411.438661,Europe/London,,
instagram,False,closedApp,1752784775.407176,Europe/London,,
instagram,False,closedApp,1752785782.162533,Europe/London,,
instagram,False,closedApp,1752786047.304154,Europe/London,,
instagram,False,closedApp,1752786620.01027,Europe/London,,
instagram,False,closedApp,1752786723.333159,Europe/London,,
instagram,False,closedApp,1752788042.97386,Europe/London,,
instagram,False,closedApp,1752788424.73294,Europe/London,,
instagram,False,closedApp,1752789869.2079139,Europe/London,,
instagram,False,closedApp,1752790592.73353,Europe/London,,
instagram,False,closedApp,1752790628.134548,Europe/London,,
instagram,False,closedApp,1752791157.770345,Europe/London,,
instagram,False,closedApp,1752791629.0712419,Europe/London,,
instagram,False,closedApp,1752791819.689599,Europe/London,,
instagram,False,closedApp,1752791901.009262,Europe/London,,
instagram,False,closedApp,1752792016.123242,Europe/London,,
instagram,False,closedApp,1752793013.69318,Europe/London,,
instagram,False,closedApp,1752829762.554562,Europe/London,,
instagram,False,closedApp,1752830580.622503,Europe/London,,
instagram,False,closedApp,1752830604.800159,Europe/London,,
instagram,False,closedApp,1752837375.333977,Europe/London,,
instagram,False,closedApp,1752837392.984009,Europe/London,,
instagram,False,closedApp,1752852543.19087,Europe/London,,
instagram,False,closedApp,1752853023.7973309,Europe/London,,
instagram,False,closedApp,1752854162.622371,Europe/London,,
instagram,False,closedApp,1752855420.7097921,Europe/London,,
instagram,False,closedApp,1752869081.9224901,Europe/London,,
instagram,False,closedApp,1752870549.247075,Europe/London,,
instagram,False,closedApp,1752870713.880073,Europe/London,,
instagram,False,closedApp,1752870762.5951061,Europe/London,,
instagram,False,closedApp,1752870932.70713,Europe/London,,
snapchat,False,dismissedAppOpening,1752870973.772202,Europe/London,breathingExercise,1.5
instagram,False,closedApp,1752871608.837194,Europe/London,,
instagram,False,closedApp,1752871972.645082,Europe/London,,
instagram,False,closedApp,1752872095.5351949,Europe/London,,
instagram,False,closedApp,1752872655.885051,Europe/London,,
instagram,False,closedApp,1752872785.854794,Europe/London,,
instagram,False,closedApp,1752873580.951737,Europe/London,,
instagram,False,closedApp,1752873674.802483,Europe/London,,
instagram,False,closedApp,1752874163.795443,Europe/London,,
snapchat,False,openedApp,1752874329.821626,Europe/London,breathingExercise,1.5
instagram,False,closedApp,1752874438.665504,Europe/London,,
instagram,False,closedApp,1752874617.447803,Europe/London,,
instagram,False,closedApp,1752875555.737376,Europe/London,,
instagram,False,closedApp,1752876358.060123,Europe/London,,
instagram,False,closedApp,1752876502.102816,Europe/London,,
instagram,False,closedApp,1752876580.869623,Europe/London,,
instagram,False,closedApp,1752876664.17408,Europe/London,,
instagram,False,closedApp,1752876703.942222,Europe/London,,
snapchat,False,openedApp,1752876906.836981,Europe/London,breathingExercise,1.5
instagram,False,closedApp,1752877075.6277452,Europe/London,,
instagram,False,dismissedAppOpening,1752877083.282222,Europe/London,breathingExercise,1.5
instagram,False,openedApp,1752877089.357667,Europe/London,breathingExercise,1.5
instagram,False,closedApp,1752877204.633868,Europe/London,,
instagram,False,closedApp,1752877555.722079,Europe/London,,
instagram,False,dismissedAppOpening,1752877567.446681,Europe/London,breathingExercise,1.5
instagram,False,dismissedAppOpening,1752877569.820822,Europe/London,breathingExercise,1.5
instagram,False,openedApp,1752877575.2248712,Europe/London,breathingExercise,1.5
instagram,False,closedApp,1752916120.1712809,Europe/London,,
instagram,False,closedApp,1752917295.675034,Europe/London,,
instagram,False,closedApp,1752917910.566093,Europe/London,,
instagram,False,closedApp,1752918033.528444,Europe/London,,
instagram,False,closedApp,1752918275.3548222,Europe/London,,
instagram,False,closedApp,1752919981.6223822,Europe/London,,
instagram,False,closedApp,1752920025.6333199,Europe/London,,
instagram,False,closedApp,1752920290.809169,Europe/London,,
instagram,False,closedApp,1752920450.665539,Europe/London,,
instagram,False,closedApp,1752920963.483223,Europe/London,,
instagram,False,closedApp,1752922185.877602,Europe/London,,
instagram,False,closedApp,1752924130.923847,Europe/London,,
instagram,False,closedApp,1752924162.307807,Europe/London,,
instagram,False,closedApp,1752924700.578068,Europe/London,,
instagram,False,closedApp,1752924763.7031322,Europe/London,,
instagram,False,closedApp,1752924827.927949,Europe/London,,
instagram,False,closedApp,1752924876.556659,Europe/London,,
instagram,False,closedApp,1752925000.025717,Europe/London,,
instagram,False,closedApp,1752925121.049368,Europe/London,,
instagram,False,closedApp,1752930612.727135,Europe/London,,
instagram,False,dismissedAppOpening,1752931107.610559,Europe/London,breathingExercise,1.5
instagram,False,closedApp,1752931119.3877048,Europe/London,,
instagram,False,closedApp,1752931538.5628572,Europe/London,,
instagram,False,closedApp,1752931675.940268,Europe/London,,
instagram,False,closedApp,1752933459.1725059,Europe/London,,
instagram,False,closedApp,1752934541.72821,Europe/London,,
instagram,False,closedApp,1752937164.771946,Europe/London,,
instagram,False,closedApp,1752937422.6761951,Europe/London,,
instagram,False,closedApp,1752937524.48737,Europe/London,,
instagram,False,closedApp,1752937626.7225509,Europe/London,,
instagram,False,closedApp,1752938073.644105,Europe/London,,
instagram,False,closedApp,1752938196.19959,Europe/London,,
instagram,False,closedApp,1752939556.38309,Europe/London,,
instagram,False,closedApp,1752939859.056196,Europe/London,,
instagram,False,closedApp,1752942925.308169,Europe/London,,
snapchat,False,openedApp,1752944738.083668,Europe/London,breathingExercise,1.5
instagram,False,closedApp,1752945407.2897,Europe/London,,
instagram,False,closedApp,1752947467.516973,Europe/London,,
instagram,False,closedApp,1752949078.687797,Europe/London,,
instagram,False,closedApp,1752951767.6909928,Europe/London,,
instagram,False,closedApp,1752951832.721058,Europe/London,,
instagram,False,dismissedAppOpening,1752952718.576755,Europe/London,breathingExercise,1.5
instagram,False,openedApp,1752952724.56459,Europe/London,breathingExercise,1.5
instagram,False,closedApp,1752954098.432475,Europe/London,,
instagram,False,closedApp,1752955166.158385,Europe/London,,
instagram,False,closedApp,1752956386.0930262,Europe/London,,
instagram,False,closedApp,1752956795.945609,Europe/London,,
instagram,False,closedApp,1752958425.5854158,Europe/London,,
instagram,False,closedApp,1752959184.130785,Europe/London,,
instagram,False,closedApp,1752960064.888164,Europe/London,,
instagram,False,closedApp,1752960508.394557,Europe/London,,
instagram,False,openedApp,1752961318.83223,Europe/London,breathingExercise,1.5
instagram,False,closedApp,1752962441.994344,Europe/London,,
instagram,False,closedApp,1752962523.969122,Europe/London,,
instagram,False,closedApp,1752962599.957875,Europe/London,,
instagram,False,closedApp,1752962738.768512,Europe/London,,
instagram,False,closedApp,1752962828.8381639,Europe/London,,
instagram,False,closedApp,1752962958.731559,Europe/London,,
instagram,False,closedApp,1752963014.311162,Europe/London,,
instagram,False,closedApp,1752963042.314824,Europe/London,,
instagram,False,closedApp,1752963119.3050961,Europe/London,,
instagram,False,closedApp,1752963220.581239,Europe/London,,
