interventionType,resolution,app,timestamp,timezone,interventionDuration,isReIntervention,timeIntervalUntilReIntervention,purpose
breathingExercise,dismissedAppOpening,grinder,1753028848.109717,Europe/Vienna,1.5,False,,
breathingExercise,dismissedAppOpening,grinder,1753028864.97934,Europe/Vienna,1.5,False,,
breathingExercise,dismissedAppOpening,tikTok,1753029338.5075011,Europe/Vienna,1.5,False,,
breathingExercise,openedApp,instagram,1753029425.9183521,Europe/Vienna,1.5,False,180.0,Toilet
breathingExercise,openedApp,tikTok,1753029508.8731232,Europe/Vienna,1.5,False,60.0,Search Info
breathingExercise,dismissedAppOpening,tikTok,1753029714.4846911,Europe/Vienna,1.5,False,,
breathingExercise,openedApp,tikTok,1753029761.785026,Europe/Vienna,1.5,False,120.0,Search Info
breathingExercise,openedApp,tikTok,1753029914.17069,Europe/Vienna,1.5,True,240.0,Search Info
breathingExercise,dismissedAppOpening,tikTok,1753030071.869184,Europe/Vienna,1.5,False,,
breathingExercise,openedApp,tikTok,1753030087.929146,Europe/Vienna,1.5,False,180.0,Search Info
breathingExercise,dismissedAppOpening,instagram,1753030282.293539,Europe/Vienna,1.5,False,,
breathingExercise,openedApp,tikTok,1753030295.795837,Europe/Vienna,1.5,False,180.0,Search Info
,closedApp,tikTok,1753030329.371983,Europe/Vienna,,False,,
,closedApp,tikTok,1753030355.796708,Europe/Vienna,,False,,
breathingExercise,dismissedAppOpening,tikTok,1753031084.226245,Europe/Vienna,1.5,False,,
breathingExercise,dismissedAppOpening,tikTok,1753031355.7558088,Europe/Vienna,1.5,False,,
breathingExercise,openedApp,tikTok,1753031403.319919,Europe/Vienna,1.5,False,60.0,Search Info
breathingExercise,openedApp,instagram,1753033996.8431191,Europe/Vienna,1.5,False,120.0,Message
,closedApp,instagram,1753034016.8175,Europe/Vienna,,False,,
breathingExercise,dismissedAppOpening,instagram,1753034330.0363932,Europe/Vienna,1.5,False,,
breathingExercise,dismissedAppOpening,instagram,1753034334.7956328,Europe/Vienna,1.5,False,,
breathingExercise,openedApp,instagram,1753035743.9249768,Europe/Vienna,1.5,False,240.0,Message
,closedApp,instagram,1753035840.1295838,Europe/Vienna,,False,,
breathingExercise,openedApp,grinder,1753036030.175009,Europe/Vienna,1.5,False,,Bored
breathingExercise,openedApp,grinder,1753036712.1866531,Europe/Vienna,1.5,False,,Message
breathingExercise,dismissedAppOpening,instagram,1753037335.798744,Europe/Vienna,1.5,False,,
breathingExercise,dismissedAppOpening,instagram,1753037343.271955,Europe/Vienna,1.5,False,,
breathingExercise,dismissedAppOpening,instagram,1753037428.1584659,Europe/Vienna,1.5,False,,
breathingExercise,dismissedAppOpening,instagram,1753037564.479667,Europe/Vienna,1.5,False,,
breathingExercise,openedApp,grinder,1753037889.342711,Europe/Vienna,1.5,False,,Bored
breathingExercise,openedApp,grinder,1753038270.853739,Europe/Vienna,1.5,False,,Bored
breathingExercise,openedApp,grinder,1753038651.169475,Europe/Vienna,1.5,False,,Bored
breathingExercise,openedApp,grinder,1753038868.0614629,Europe/Vienna,1.5,False,,Bored
breathingExercise,openedApp,grinder,1753039146.804852,Europe/Vienna,1.5,False,,Bored
breathingExercise,openedApp,grinder,1753039487.132385,Europe/Vienna,1.5,False,,Bored
,closedApp,grinder,1753039549.147917,Europe/Vienna,,False,,
,closedApp,grinder,1753039790.792465,Europe/Vienna,,False,,
breathingExercise,dismissedAppOpening,instagram,1753040866.6152701,Europe/Vienna,1.5,False,,
breathingExercise,dismissedAppOpening,instagram,1753042491.3036299,Europe/Vienna,1.5,False,,
breathingExercise,dismissedAppOpening,instagram,1753042495.535081,Europe/Vienna,1.5,False,,
breathingExercise,dismissedAppOpening,instagram,1753079450.923253,Europe/Vienna,1.5,False,,
breathingExercise,dismissedAppOpening,instagram,1753080226.620095,Europe/Vienna,1.5,False,,
breathingExercise,dismissedAppOpening,instagram,1753080658.0353389,Europe/Vienna,1.5,False,,
breathingExercise,dismissedAppOpening,instagram,1753085284.566767,Europe/Vienna,1.5,False,,
breathingExercise,openedApp,instagram,1753085377.1403952,Europe/Vienna,1.5,False,120.0,Message
,closedApp,instagram,1753085466.288027,Europe/Vienna,,False,,
breathingExercise,dismissedAppOpening,instagram,1753086251.328302,Europe/Vienna,1.5,False,,
breathingExercise,dismissedAppOpening,instagram,1753091697.97347,Europe/Vienna,1.5,False,,
breathingExercise,dismissedAppOpening,instagram,1753092436.0780349,Europe/Vienna,1.5,False,,
breathingExercise,openedApp,instagram,1753099423.612214,Europe/Vienna,1.5,False,240.0,Post something
,closedApp,instagram,1753099631.822494,Europe/Vienna,,False,,
breathingExercise,dismissedAppOpening,instagram,1753100209.030198,Europe/Vienna,1.5,False,,
breathingExercise,dismissedAppOpening,instagram,1753100640.3174791,Europe/Vienna,1.5,False,,
breathingExercise,dismissedAppOpening,instagram,1753100736.3900418,Europe/Vienna,1.5,False,,
breathingExercise,dismissedAppOpening,instagram,1753100793.105743,Europe/Vienna,1.5,False,,
breathingExercise,openedApp,instagram,1753105048.6816568,Europe/Vienna,1.5,False,480.0,Message
,closedApp,instagram,1753105092.729251,Europe/Vienna,,False,,
,closedApp,instagram,1753106225.233973,Europe/Vienna,,False,,
breathingExercise,openedApp,instagram,1753107448.809905,Europe/Vienna,1.5,False,360.0,Check likes
,closedApp,instagram,1753107524.317555,Europe/Vienna,,False,,
,closedApp,instagram,1753108873.736234,Europe/Vienna,,False,,
,closedApp,instagram,1753109851.5555038,Europe/Vienna,,False,,
breathingExercise,openedApp,instagram,1753110519.964185,Europe/Vienna,1.5,False,60.0,Can’t sleep
,closedApp,instagram,1753110566.842514,Europe/Vienna,,False,,
breathingExercise,dismissedAppOpening,instagram,1753111060.49712,Europe/Vienna,1.5,False,,
breathingExercise,dismissedAppOpening,instagram,1753114353.26431,Europe/Vienna,1.5,False,,
breathingExercise,openedApp,instagram,1753115828.27487,Europe/Vienna,1.5,False,180.0,Stay In the Loop
,closedApp,instagram,1753115931.854608,Europe/Vienna,,False,,
breathingExercise,dismissedAppOpening,instagram,1753116801.935292,Europe/Vienna,1.5,False,,
breathingExercise,dismissedAppOpening,instagram,1753117071.499888,Europe/Vienna,1.5,False,,
breathingExercise,openedApp,grinder,1753118512.67419,Europe/Vienna,1.5,False,,Bored
,closedApp,grinder,1753118533.1815128,Europe/Vienna,,False,,
,closedApp,grinder,1753118557.407135,Europe/Vienna,,False,,
,closedApp,grinder,1753118645.0679069,Europe/Vienna,,False,,
,closedApp,grinder,1753118925.529451,Europe/Vienna,,False,,
,closedApp,grinder,1753119073.8156052,Europe/Vienna,,False,,
,closedApp,grinder,1753119510.2371058,Europe/Vienna,,False,,
,closedApp,grinder,1753119575.473172,Europe/Vienna,,False,,
,closedApp,grinder,1753119826.5782871,Europe/Vienna,,False,,
,closedApp,grinder,1753119980.94263,Europe/Vienna,,False,,
,closedApp,grinder,1753120199.9691238,Europe/Vienna,,False,,
breathingExercise,openedApp,grinder,1753120455.8215098,Europe/Vienna,1.5,False,,Bored
,closedApp,grinder,1753120757.966872,Europe/Vienna,,False,,
,closedApp,grinder,1753120822.994978,Europe/Vienna,,False,,
,closedApp,grinder,1753120923.359133,Europe/Vienna,,False,,
,closedApp,grinder,1753120973.46565,Europe/Vienna,,False,,
,closedApp,grinder,1753121394.464589,Europe/Vienna,,False,,
,closedApp,grinder,1753121473.331439,Europe/Vienna,,False,,
breathingExercise,openedApp,grinder,1753121739.5286531,Europe/Vienna,1.5,False,,Bored
,closedApp,grinder,1753122185.475059,Europe/Vienna,,False,,
breathingExercise,dismissedAppOpening,grinder,1753166534.840965,Europe/Vienna,1.5,False,,
,closedApp,instagram,1753165457.675947,Europe/Vienna,,False,,
breathingExercise,openedApp,grinder,1753166543.525648,Europe/Vienna,1.5,False,,Bored
,closedApp,grinder,1753166687.1557832,Europe/Vienna,,False,,
breathingExercise,openedApp,instagram,1753166800.774132,Europe/Vienna,1.5,False,600.0,Check likes
,closedApp,instagram,1753167408.8322659,Europe/Vienna,,False,,
breathingExercise,dismissedAppOpening,instagram,1753168696.500119,Europe/Vienna,1.5,False,,
breathingExercise,dismissedAppOpening,instagram,1753172184.042193,Europe/Vienna,1.5,False,,
breathingExercise,dismissedAppOpening,instagram,1753174019.030586,Europe/Vienna,1.5,False,,
breathingExercise,dismissedAppOpening,instagram,1753176894.839283,Europe/Vienna,1.5,False,,
breathingExercise,dismissedAppOpening,instagram,1753178853.112053,Europe/Vienna,1.5,False,,
breathingExercise,dismissedAppOpening,instagram,1753179025.296046,Europe/Vienna,1.5,False,,
