app,interventionDuration,resolution,timestamp,isReIntervention,interventionType,timezone
instagram,1.5,dismissedAppOpening,1748871766.836592,False,breathingExercise,Europe/Zurich
instagram,1.5,dismissedAppOpening,1748874610.839417,False,breathingExercise,Europe/Zurich
instagram,1.5,dismissedAppOpening,1748883995.786963,False,breathingExercise,Europe/Zurich
instagram,1.5,openedApp,1748885308.6807098,False,breathingExercise,Europe/Zurich
instagram,1.5,openedApp,1748885351.02614,False,breathingExercise,Europe/Zurich
instagram,1.5,dismissedAppOpening,1748886211.025587,False,breathingExercise,Europe/Zurich
instagram,1.5,openedApp,1748886219.749337,False,breathingExercise,Europe/Zurich
instagram,1.5,dismissedAppOpening,1748887104.471531,False,breathingExercise,Europe/Zurich
instagram,1.5,openedApp,1748887111.7147799,False,breathingExercise,Europe/Zurich
instagram,1.5,openedApp,1748889928.622273,False,breathingExercise,Europe/Zurich
instagram,1.5,openedApp,1748889980.821394,False,breathingExercise,Europe/Zurich
instagram,1.5,openedApp,1748890902.867965,False,breathingExercise,Europe/Zurich
instagram,1.5,openedApp,1748891499.427597,False,breathingExercise,Europe/Zurich
instagram,1.5,dismissedAppOpening,1748891770.26632,False,breathingExercise,Europe/Zurich
instagram,1.5,openedApp,1748891779.086786,False,breathingExercise,Europe/Zurich
instagram,1.5,openedApp,1748891814.2042742,False,breathingExercise,Europe/Zurich
instagram,1.5,openedApp,1748892004.392638,False,breathingExercise,Europe/Zurich
instagram,1.5,openedApp,1748892044.8784199,False,breathingExercise,Europe/Zurich
instagram,1.5,openedApp,1748892297.403397,False,breathingExercise,Europe/Zurich
instagram,1.5,openedApp,1748892702.180268,False,breathingExercise,Europe/Zurich
instagram,1.5,dismissedAppOpening,1748893598.787272,False,breathingExercise,Europe/Zurich
instagram,1.5,openedApp,1748937256.130121,False,breathingExercise,Europe/Zurich
instagram,1.5,dismissedAppOpening,1748938043.934367,False,breathingExercise,Europe/Zurich
instagram,1.5,openedApp,1748938052.4156861,False,breathingExercise,Europe/Zurich
instagram,1.5,openedApp,1748938120.3979049,False,breathingExercise,Europe/Zurich
instagram,1.5,openedApp,1748939019.719938,False,breathingExercise,Europe/Zurich
instagram,1.5,openedApp,1748939725.2242,False,breathingExercise,Europe/Zurich
instagram,1.5,openedApp,1748939925.623657,False,breathingExercise,Europe/Zurich
instagram,1.5,openedApp,1748939950.804127,False,breathingExercise,Europe/Zurich
instagram,1.5,openedApp,1748940556.50618,False,breathingExercise,Europe/Zurich
instagram,1.5,openedApp,1748940591.2198138,False,breathingExercise,Europe/Zurich
instagram,1.5,openedApp,1748940867.328323,False,breathingExercise,Europe/Zurich
instagram,1.5,openedApp,1748941877.224946,False,breathingExercise,Europe/Zurich
instagram,1.5,dismissedAppOpening,1748941930.1500869,False,breathingExercise,Europe/Zurich
instagram,1.5,openedApp,1748941971.194659,False,breathingExercise,Europe/Zurich
instagram,1.5,openedApp,1748942248.444094,False,breathingExercise,Europe/Zurich
instagram,1.5,openedApp,1748942801.883,False,breathingExercise,Europe/Zurich
instagram,1.5,openedApp,1748943684.822743,False,breathingExercise,Europe/Zurich
