interventionDuration,resolution,timezone,isReIntervention,app,purpose,interventionType,timestamp
1.5,openedApp,Europe/Berlin,False,instagram,Infos suchen,breathingExercise,1752571951.331423
1.5,openedApp,Europe/Berlin,False,instagram,Langeweile,breathingExercise,1752574250.0320048
1.5,dismissedAppOpening,Europe/Berlin,False,instagram,,breathingExercise,1752575979.3243
1.5,dismissedAppOpening,Europe/Berlin,False,instagram,,breathingExercise,1752575981.6031299
1.5,openedApp,Europe/Berlin,False,instagram,Unterhaltung,breathingExercise,1752576634.175609
1.5,openedApp,Europe/Berlin,False,outlook,Nachricht / Schreiben,breathingExercise,1752585753.944572
1.5,openedApp,Europe/Berlin,False,instagram,Klo,breathingExercise,1752589083.535054
1.5,dismissedAppOpening,Europe/Berlin,False,instagram,,breathingExercise,1752590032.890995
1.5,openedApp,Europe/Berlin,False,instagram,Ablenkung,breathingExercise,1752590742.635285
1.5,dismissedAppOpening,Europe/Berlin,False,instagram,,breathingExercise,1752593245.337111
1.5,openedApp,Europe/Berlin,False,instagram,Klo,breathingExercise,1752596529.566321
1.5,dismissedAppOpening,Europe/Berlin,False,instagram,,breathingExercise,1752597541.2297711
1.5,dismissedAppOpening,Europe/Berlin,False,instagram,,breathingExercise,1752597545.1439319
1.5,openedApp,Europe/Berlin,False,instagram,Langeweile,breathingExercise,1752599093.546589
1.5,dismissedAppOpening,Europe/Berlin,False,instagram,,breathingExercise,1752599378.300582
1.5,dismissedAppOpening,Europe/Berlin,False,instagram,,breathingExercise,1752599950.236589
1.5,openedApp,Europe/Berlin,False,instagram,Langeweile,breathingExercise,1752602903.1080132
1.5,openedApp,Europe/Berlin,False,instagram,Ablenkung,breathingExercise,1752608562.416552
1.5,openedApp,Europe/Berlin,False,instagram,Ablenkung,breathingExercise,1752609801.6429439
1.5,openedApp,Europe/Berlin,False,instagram,Auf dem Laufenden bleiben,breathingExercise,1752640316.449069
1.5,dismissedAppOpening,Europe/Berlin,False,instagram,,breathingExercise,1752640538.162774
1.5,openedApp,Europe/Berlin,False,instagram,Ablenkung,breathingExercise,1752642554.0942512
1.5,openedApp,Europe/Berlin,False,outlook,Auf dem Laufenden bleiben,breathingExercise,1752647440.735981
1.5,openedApp,Europe/Berlin,False,instagram,Klo,breathingExercise,1752647519.1983771
1.5,dismissedAppOpening,Europe/Berlin,False,instagram,,breathingExercise,1752647960.174491
1.5,openedApp,Europe/Berlin,False,instagram,Nachricht / Schreiben,breathingExercise,1752655254.241545
1.5,openedApp,Europe/Berlin,False,outlook,Auf dem Laufenden bleiben,breathingExercise,1752657912.5525599
1.5,openedApp,Europe/Berlin,False,instagram,Klo,breathingExercise,1752658327.516628
1.5,openedApp,Europe/Berlin,False,instagram,Auf dem Laufenden bleiben,breathingExercise,1752684779.651873
1.5,openedApp,Europe/Berlin,False,instagram,Ablenkung,breathingExercise,1752685173.963735
1.5,openedApp,Europe/Berlin,False,instagram,Auf dem Laufenden bleiben,breathingExercise,1752687133.54861
