timestamp,interventionType,isReIntervention,app,timezone,resolution,interventionDuration,purpose,timeIntervalUntilReIntervention
1753023812.896318,,False,A6F10C8E-C5B2-426B-A208-43C0A072FA43,Asia/Aqtau,closedApp,,,
1753023843.9996328,,False,A6F10C8E-C5B2-426B-A208-43C0A072FA43,Asia/Aqtau,closedApp,,,
1753023635.215996,,False,substack,Asia/Aqtau,closedApp,,,
1753023665.563813,,False,substack,Asia/Aqtau,closedApp,,,
1753025327.5453482,askForTimeLimit,False,instagram,Asia/Aqtau,openedApp,6.0,,300.0
1753026009.0432339,askForTimeLimit,False,instagram,Asia/Aqtau,openedApp,6.0,,360.0
1753026434.271673,breathingExercise,False,instagram,Asia/Aqtau,openedApp,6.0,Написать сообщение,480.0
1753028067.02887,breathingExercise,False,instagram,Asia/Aqtau,dismissedAppOpening,6.0,,
1753028085.1066232,breathingExercise,False,instagram,Asia/Aqtau,openedApp,6.0,Написать сообщение,600.0
1753029466.464141,askForTimeLimit,False,instagram,Asia/Aqtau,openedApp,6.0,,60.0
1753029547.932435,,False,A6F10C8E-C5B2-426B-A208-43C0A072FA43,Asia/Aqtau,closedApp,,,
1753029566.301122,,False,A6F10C8E-C5B2-426B-A208-43C0A072FA43,Asia/Aqtau,closedApp,,,
1753029573.124615,,False,A6F10C8E-C5B2-426B-A208-43C0A072FA43,Asia/Aqtau,closedApp,,,
1753029612.42543,,False,A6F10C8E-C5B2-426B-A208-43C0A072FA43,Asia/Aqtau,closedApp,,,
1753029640.0260181,,False,A6F10C8E-C5B2-426B-A208-43C0A072FA43,Asia/Aqtau,closedApp,,,
1753029674.2156649,,False,A6F10C8E-C5B2-426B-A208-43C0A072FA43,Asia/Aqtau,closedApp,,,
1753033865.830243,askForTimeLimit,False,instagram,Asia/Aqtau,openedApp,6.0,,480.0
1753034207.019758,,False,A6F10C8E-C5B2-426B-A208-43C0A072FA43,Asia/Aqtau,closedApp,,,
1753035299.376378,askForTimeLimit,False,instagram,Asia/Aqtau,openedApp,6.0,,300.0
1753035769.427373,breathingExercise,False,instagram,Asia/Aqtau,openedApp,6.0,Написать сообщение,600.0
1753036391.538931,breathingExercise,False,instagram,Asia/Aqtau,openedApp,6.0,Написать сообщение,600.0
1753037125.1204119,breathingExercise,False,instagram,Asia/Aqtau,openedApp,6.0,Написать сообщение,600.0
1753038568.763658,askForTimeLimit,False,instagram,Asia/Aqtau,openedApp,6.0,,60.0
1753038650.493285,breathingExercise,False,instagram,Asia/Aqtau,openedApp,6.0,Написать сообщение,360.0
1753040007.1586561,askForTimeLimit,False,instagram,Asia/Aqtau,openedApp,6.0,,480.0
1753040734.4095778,askForTimeLimit,False,instagram,Asia/Aqtau,openedApp,6.0,,300.0
1753041060.2592149,breathingExercise,False,instagram,Asia/Aqtau,dismissedAppOpening,6.0,,
1753042303.449538,breathingExercise,False,instagram,Asia/Aqtau,dismissedAppOpening,6.0,,
1753042306.1715798,breathingExercise,False,instagram,Asia/Aqtau,dismissedAppOpening,6.0,,
1753042678.82615,askForTimeLimit,False,instagram,Asia/Aqtau,openedApp,6.0,,60.0
1753043244.131854,breathingExercise,False,instagram,Asia/Aqtau,openedApp,6.0,Написать сообщение,540.0
1753077647.506602,askForTimeLimit,False,instagram,Asia/Aqtau,openedApp,6.0,,300.0
