app,isReIntervention,timestamp,resolution,interventionDuration,interventionType,timezone
instagram,False,1748355769.2593179,dismissedAppOpening,1.5,breathingExercise,America/New_York
instagram,False,1748356234.710174,dismissedAppOpening,1.5,breathingExercise,America/New_York
instagram,False,1748357428.846679,openedApp,1.5,breathingExercise,America/New_York
instagram,False,1748357978.614643,dismissedAppOpening,1.5,breathingExercise,America/New_York
instagram,False,1748359853.234805,dismissedAppOpening,1.5,breathingExercise,America/New_York
instagram,False,1748359862.542595,openedApp,1.5,breathingExercise,America/New_York
instagram,False,1748360652.6355739,dismissedAppOpening,1.5,breathingExercise,America/New_York
instagram,False,1748363396.3719869,openedApp,1.5,breathingExercise,America/New_York
instagram,False,1748363433.15133,dismissedAppOpening,1.5,breathingExercise,America/New_York
instagram,False,1748363471.1532679,dismissedAppOpening,1.5,breathingExercise,America/New_York
instagram,False,1748364003.216936,openedApp,1.5,breathingExercise,America/New_York
instagram,False,1748364043.314987,dismissedAppOpening,1.5,breathingExercise,America/New_York
instagram,False,1748365290.003333,openedApp,1.5,breathingExercise,America/New_York
instagram,False,1748367063.614108,dismissedAppOpening,1.5,breathingExercise,America/New_York
instagram,False,1748367084.6345801,openedApp,1.5,breathingExercise,America/New_York
instagram,False,1748367101.8742309,dismissedAppOpening,1.5,breathingExercise,America/New_York
instagram,False,1748367107.936028,dismissedAppOpening,1.5,breathingExercise,America/New_York
instagram,False,1748367402.338721,openedApp,1.5,breathingExercise,America/New_York
instagram,False,1748367481.9270902,dismissedAppOpening,1.5,breathingExercise,America/New_York
instagram,False,1748367668.16156,dismissedAppOpening,1.5,breathingExercise,America/New_York
instagram,False,1748367672.95824,dismissedAppOpening,1.5,breathingExercise,America/New_York
instagram,False,1748368589.390572,openedApp,1.5,breathingExercise,America/New_York
instagram,False,1748368628.556922,dismissedAppOpening,1.5,breathingExercise,America/New_York
instagram,False,1748368655.4565802,dismissedAppOpening,1.5,breathingExercise,America/New_York
tikTok,False,1748369050.306034,dismissedAppOpening,1.5,breathingExercise,America/New_York
instagram,False,1748369392.873797,openedApp,1.5,breathingExercise,America/New_York
instagram,False,1748369574.351016,openedApp,1.5,breathingExercise,America/New_York
instagram,False,1748370758.422046,dismissedAppOpening,1.5,breathingExercise,America/New_York
instagram,False,1748373424.2746859,dismissedAppOpening,1.5,breathingExercise,America/New_York
instagram,False,1748373430.813383,openedApp,1.5,breathingExercise,America/New_York
instagram,False,1748374025.341253,openedApp,1.5,breathingExercise,America/New_York
instagram,False,1748375103.910785,openedApp,1.5,breathingExercise,America/New_York
instagram,False,1748375231.2860641,dismissedAppOpening,1.5,breathingExercise,America/New_York
instagram,False,1748375453.9051409,openedApp,1.5,breathingExercise,America/New_York
instagram,False,1748377616.40994,openedApp,1.5,breathingExercise,America/New_York
instagram,False,1748377702.763344,openedApp,1.5,breathingExercise,America/New_York
instagram,False,1748379077.091659,dismissedAppOpening,1.5,breathingExercise,America/New_York
instagram,False,1748379085.660064,openedApp,1.5,breathingExercise,America/New_York
instagram,False,1748379319.204947,dismissedAppOpening,1.5,breathingExercise,America/New_York
instagram,False,1748379323.747604,dismissedAppOpening,1.5,breathingExercise,America/New_York
instagram,False,1748380267.682306,dismissedAppOpening,1.5,breathingExercise,America/New_York
instagram,False,1748380274.651876,openedApp,1.5,breathingExercise,America/New_York
instagram,False,1748380346.707364,openedApp,1.5,breathingExercise,America/New_York
instagram,False,1748382152.330482,openedApp,1.5,breathingExercise,America/New_York
instagram,False,1748382914.7456021,dismissedAppOpening,1.5,breathingExercise,America/New_York
instagram,False,1748383634.2055721,dismissedAppOpening,1.5,breathingExercise,America/New_York
instagram,False,1748383706.1050081,dismissedAppOpening,1.5,breathingExercise,America/New_York
instagram,False,1748383885.762959,openedApp,1.5,breathingExercise,America/New_York
instagram,False,1748383930.284229,dismissedAppOpening,1.5,breathingExercise,America/New_York
instagram,False,1748384257.3484511,openedApp,1.5,breathingExercise,America/New_York
instagram,False,1748384302.578928,dismissedAppOpening,1.5,breathingExercise,America/New_York
instagram,False,1748384346.319281,openedApp,1.5,breathingExercise,America/New_York
instagram,False,1748384447.1177769,dismissedAppOpening,1.5,breathingExercise,America/New_York
instagram,False,1748384453.434661,dismissedAppOpening,1.5,breathingExercise,America/New_York
instagram,False,1748384496.334569,dismissedAppOpening,1.5,breathingExercise,America/New_York
instagram,False,1748384505.405519,openedApp,1.5,breathingExercise,America/New_York
instagram,False,1748385856.485454,openedApp,1.5,breathingExercise,America/New_York
instagram,False,1748386277.170382,openedApp,1.5,breathingExercise,America/New_York
instagram,False,1748386487.486603,openedApp,1.5,breathingExercise,America/New_York
instagram,False,1748386851.19508,openedApp,1.5,breathingExercise,America/New_York
instagram,False,1748386978.278319,openedApp,1.5,breathingExercise,America/New_York
instagram,False,1748387220.076899,dismissedAppOpening,1.5,breathingExercise,America/New_York
instagram,False,1748389787.18887,openedApp,1.5,breathingExercise,America/New_York
instagram,False,1748389916.196381,dismissedAppOpening,1.5,breathingExercise,America/New_York
instagram,False,1748392748.877656,dismissedAppOpening,1.5,breathingExercise,America/New_York
instagram,False,1748392788.878131,dismissedAppOpening,1.5,breathingExercise,America/New_York
instagram,False,1748392798.64541,openedApp,1.5,breathingExercise,America/New_York
instagram,False,1748392867.582947,dismissedAppOpening,1.5,breathingExercise,America/New_York
instagram,False,1748392875.640902,openedApp,1.5,breathingExercise,America/New_York
instagram,False,1748392909.554912,dismissedAppOpening,1.5,breathingExercise,America/New_York
instagram,False,1748392993.791448,dismissedAppOpening,1.5,breathingExercise,America/New_York
instagram,False,1748394656.083554,dismissedAppOpening,1.5,breathingExercise,America/New_York
instagram,False,1748394661.679887,dismissedAppOpening,1.5,breathingExercise,America/New_York
instagram,False,1748394758.032882,dismissedAppOpening,1.5,breathingExercise,America/New_York
instagram,False,1748394812.2757301,dismissedAppOpening,1.5,breathingExercise,America/New_York
instagram,False,1748394884.287643,openedApp,1.5,breathingExercise,America/New_York
instagram,False,1748394987.416582,dismissedAppOpening,1.5,breathingExercise,America/New_York
instagram,False,1748395022.660157,openedApp,1.5,breathingExercise,America/New_York
instagram,False,1748397391.1311579,openedApp,1.5,breathingExercise,America/New_York
instagram,False,1748397591.081106,dismissedAppOpening,1.5,breathingExercise,America/New_York
instagram,False,1748398028.9268498,openedApp,1.5,breathingExercise,America/New_York
instagram,False,1748398515.920366,dismissedAppOpening,1.5,breathingExercise,America/New_York
instagram,False,1748398520.969273,dismissedAppOpening,1.5,breathingExercise,America/New_York
instagram,False,1748399327.22334,dismissedAppOpening,1.5,breathingExercise,America/New_York
instagram,False,1748400064.31615,dismissedAppOpening,1.5,breathingExercise,America/New_York
instagram,False,1748400068.826377,dismissedAppOpening,1.5,breathingExercise,America/New_York
instagram,False,1748400725.70829,dismissedAppOpening,1.5,breathingExercise,America/New_York
instagram,False,1748400730.836936,dismissedAppOpening,1.5,breathingExercise,America/New_York
instagram,False,1748400739.713389,openedApp,1.5,breathingExercise,America/New_York
instagram,False,1748400764.662005,dismissedAppOpening,1.5,breathingExercise,America/New_York
instagram,False,1748400772.224402,openedApp,1.5,breathingExercise,America/New_York
instagram,False,1748400793.1582742,dismissedAppOpening,1.5,breathingExercise,America/New_York
instagram,False,1748401059.3789139,dismissedAppOpening,1.5,breathingExercise,America/New_York
instagram,False,1748401066.7089791,openedApp,1.5,breathingExercise,America/New_York
instagram,False,1748401239.0709429,dismissedAppOpening,1.5,breathingExercise,America/New_York
instagram,False,1748401246.8365622,openedApp,1.5,breathingExercise,America/New_York
instagram,False,1748401398.0808601,openedApp,1.5,breathingExercise,America/New_York
instagram,False,1748401801.226572,openedApp,1.5,breathingExercise,America/New_York
instagram,False,1748401963.116035,openedApp,1.5,breathingExercise,America/New_York
