isReIntervention,timezone,timestamp,interventionDuration,interventionType,app,resolution,timeIntervalUntilReIntervention,purpose
False,Europe/Madrid,1753056555.282047,,,instagram,closedApp,,
True,Europe/Madrid,1753056561.372493,1.5,breathingExercise,instagram,openedApp,240.0,
False,Europe/Madrid,1753056797.606432,,,instagram,closedApp,,
True,Europe/Madrid,1753056806.255203,1.5,breathingExercise,instagram,openedApp,240.0,
False,Europe/Madrid,1753056961.745547,,,instagram,closedApp,,
False,Europe/Madrid,1753057037.950294,,,instagram,closedApp,,
False,Europe/Madrid,1753092856.734808,1.5,breathingExercise,youtube,openedApp,900.0,
False,Europe/Madrid,1753092922.3573132,,,youtube,closedApp,,
False,Europe/Madrid,1753093653.306869,,,youtube,closedApp,,
False,Europe/Madrid,1753111355.038708,1.5,breathingExercise,safari,openedApp,,
False,Europe/Madrid,1753124666.55953,1.5,breathingExercise,snapchat,openedApp,,
